"rownum","Id","Projectile","Animation","ImpactAnimation","i32_52","bool_56","bool_57","bool_58","bool_59","i32_60","i32_64","i32_68","bool_72","i32_73","bool_77","bool_78","BounceAnimation","i32_95","f32_99","f32_103","f32_107","bool_111","ImpactAnimation2","string_128"
0,0,119,20,461,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
1,1,129,20,525,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
2,2,130,20,530,0,"","","","",10,15,0,"",4,"","","",0,1,1,1,1,"",""
3,3,138,20,566,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
4,4,145,20,589,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
5,5,129,20,525,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
6,6,185,20,789,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
7,7,218,20,1033,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
8,8,292,20,1267,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
9,9,311,20,1399,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
10,10,317,31,1424,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
11,11,131,31,530,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
12,12,351,20,1557,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
13,13,358,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
14,14,359,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
15,15,379,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
16,16,379,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
17,17,383,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
18,18,395,24,1762,0,"","","",1,0,15,0,"",4,"","","",0,1,1,1,1,"",""
19,19,403,31,1770,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
20,20,380,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
21,21,381,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
22,22,405,20,1789,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
23,23,412,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
24,24,412,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
25,25,418,20,1837,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
26,26,419,20,1838,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
27,27,409,20,1815,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
28,28,384,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
29,29,406,20,1789,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
30,30,438,31,1912,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
