"rownum","Id","ModsKey0","ModsKey1","ModsKey2","bool_56","AbyssalMods1","AbyssalMods2","AbyssalMods3"
0,"Resist1",3274,3350,3440,1,"","",""
1,"Resist2",3275,3351,3441,1,"","",""
2,"Resist3",3276,3352,3442,1,"","",""
3,"Resist4",3277,3353,3443,1,"","",""
4,"Resist5",3278,3354,3444,1,"","",""
5,"Resist6",3279,3355,3445,1,"","",""
6,"Resist7",3280,3356,3446,1,"","",""
7,"Resist8",3281,3357,3447,1,"","",""
8,"Resist9",9097,9099,9101,"","","",""
9,"Resist10",9098,9100,9102,"","","",""
10,"Resist11",9135,9137,9139,"","","",""
11,"Resist12",9136,9138,9140,"","","",""
12,"Resist13",9247,9249,9251,"","","",""
13,"Resist14",9248,9250,9252,"","","",""
14,"Resist15",9283,9285,9287,"","","",""
15,"Resist16",9284,9286,9288,"","","",""
16,"Resist17",18579,18582,18585,"","","",""
17,"Resist18",18580,18583,18586,"","","",""
18,"Resist19",18581,18584,18587,"","","",""
19,"Resist20",3511,3512,3513,"","","",""
20,"Resist21",19452,19453,19454,"","","",""
21,"Resist22",10058,10059,10060,1,"","",""
22,"Resist23",14843,14844,14845,1,"","",""
23,"Resist24",3508,3509,3510,"","","",""
24,"Resist25",19449,19450,19451,"","","",""
25,"Resist26",15803,15806,15809,1,"","",""
26,"Resist27",15804,15807,15810,1,"","",""
27,"Resist28",15805,15808,15811,1,"","",""
28,"Resist29",16940,16949,16958,"","","",""
29,"Resist30",21711,21780,21852,1,"","",""
30,"Resist31",21712,21781,21853,1,"","",""
31,"Resist32",22006,22018,21990,1,"","",""
32,"Resist33",22007,22019,21991,1,"","",""
33,"Resist34",22008,22020,21992,1,"","",""
34,"Resist35",3505,3506,3507,"","","",""
35,"Resist36",19446,19447,19448,"","","",""
36,"Resist37",17008,17018,17028,1,"","",""
37,"Resist38",23157,23160,23163,1,"","",""
38,"Resist39",23158,23161,23164,1,"","",""
39,"Resist40",23159,23162,23165,1,"","",""
40,"Resist41",23230,23235,23240,1,"","",""
41,"Resist42",23231,23236,23241,1,"","",""
42,"Resist43",23232,23237,23242,1,"","",""
43,"Resist44",23233,23238,23243,1,"","",""
44,"Resist45",23234,23239,23244,1,"","",""
45,"Resist46",26010,25951,25884,1,"","",""
46,"Resist47",14374,14377,14380,1,"","",""
47,"Resist48",14375,14378,14381,1,"","",""
48,"Resist49",14376,14379,14382,1,"","",""
49,"Resist50",10066,10067,10068,1,"","",""
50,"Damage1",925,972,1019,1,"","",""
51,"Damage2",926,973,1020,1,"","",""
52,"Damage3",927,974,1021,1,"","",""
53,"Damage4",928,975,1022,1,"","",""
54,"Damage5",929,976,1023,1,"","",""
55,"Damage6",930,977,1024,1,"","",""
56,"Damage7",931,978,1025,1,"","",""
57,"Damage8",932,979,1026,1,"","",""
58,"Damage9",933,980,1027,1,"","",""
59,"Damage10",934,981,1028,1,"","",""
60,"Damage11",935,982,1029,1,"","",""
61,"Damage12",936,983,1030,1,"","",""
62,"Damage13",937,984,1031,1,"","",""
63,"Damage14",938,985,1032,1,"","",""
64,"Damage15",939,986,1033,1,"","",""
65,"Damage16",940,987,1034,1,"","",""
66,"Damage17",941,988,1035,1,"","",""
67,"Damage18",942,989,1036,1,"","",""
68,"Damage19",943,990,1037,"","","",""
69,"Damage20",944,991,1038,"","","",""
70,"Damage21",945,992,1040,"","","",""
71,"Damage22",946,993,1041,"","","",""
72,"Damage23",947,994,1042,"","","",""
73,"Damage24",948,995,1043,"","","",""
74,"Damage25",1918,1974,2027,1,"","",""
75,"Damage26",1919,1975,2028,1,"","",""
76,"Damage27",1920,1976,2029,1,"","",""
77,"Damage28",1921,1977,2030,1,"","",""
78,"Damage29",1922,1978,2031,1,"","",""
79,"Damage30",1923,1979,2032,1,"","",""
80,"Damage31",1924,1980,2033,1,"","",""
81,"Damage32",1925,1981,2034,1,"","",""
82,"Damage33",1926,1982,2035,1,"","",""
83,"Damage34",1927,1983,2036,1,"","",""
84,"Damage35",1929,1984,2037,"","","",""
85,"Damage36",1930,1985,2038,"","","",""
86,"Damage37",1931,1986,2039,1,"","",""
87,"Damage38",1932,1987,2040,1,"","",""
88,"Damage39",1933,1988,2041,1,"","",""
89,"Damage40",1934,1989,2042,1,"","",""
