"rownum","string_0","string_8","string_16","string_24","string_32","string_40","string_48","string_56","string_64","string_72","[rid]_80","string_96","string_104","i32_112"
0,"Default","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyButton","Art/2DArt/UIImages/InGame/Ascendancy/AscendancyInfoPlate","Art/2DArt/UIImages/InGame/Ascendancy/ButtonBackground","Art/2DArt/UIImages/InGame/Ascendancy/ButtonBackgroundDouble","Art/2DArt/UIImages/InGame/Ascendancy/NameBackground","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyButtonPressed","255,234,197","琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䄀稀洀攀爀椀⼀䄀稀洀攀爀椀刀攀猀瀀挀䈀䜀䴀椀搀搀氀攀",[],"Art/2DArt/UIImages/InGame/Azmeri/AzmeriRespcBGMiddle","Art/2DArt/UIImages/InGame/Azmeri/AzmeriRespcBGBottom",0
1,"DescendancyAzmeri","Art/2DArt/UIImages/InGame/Azmeri/PassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/Azmeri/AzmeriAscendancyInfoPlate","Art/2DArt/UIImages/InGame/Azmeri/AzmeriButtonBackground","Art/2DArt/UIImages/InGame/Azmeri/AzmeriButtonBackgroundDouble","Art/2DArt/UIImages/InGame/Azmeri/AzmeriNameBackground","Art/2DArt/UIImages/InGame/Azmeri/PassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/Azmeri/PassiveSkillScreenAlternateAscendancyButtonPressed","188,204,187","猀⼀䤀渀䜀愀洀攀⼀䈀漀猀猀䄀猀挀攀渀搀愀渀挀礀⼀刀椀琀甀愀氀椀猀琀⼀刀椀琀甀愀氀椀猀琀䈀甀琀琀漀渀䈀愀挀欀最爀漀甀渀搀䐀漀甀戀氀攀",[],"Art/2DArt/UIImages/InGame/Azmeri/AzmeriRespcBGMiddle","Art/2DArt/UIImages/InGame/Azmeri/AzmeriRespcBGBottom",-5
2,"DescendancyTrialmaster","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosPassiveSkillScreenAlternateAscendancyButtonPressed","193,167,107","猀⼀䤀渀䜀愀洀攀⼀䈀漀猀猀䄀猀挀攀渀搀愀渀挀礀⼀刀椀琀甀愀氀椀猀琀⼀刀椀琀甀愀氀椀猀琀䈀甀琀琀漀渀䈀愀挀欀最爀漀甀渀搀䐀漀甀戀氀攀",[],"Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/ArchitectofChaos/ArchitectofChaosRespcBGBottom",-5
3,"DescendancyOshabi","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiPassiveSkillScreenAlternateAscendancyButtonPressed","146,192,226","猀⼀䤀渀䜀愀洀攀⼀䈀漀猀猀䄀猀挀攀渀搀愀渀挀礀⼀刀椀琀甀愀氀椀猀琀⼀刀椀琀甀愀氀椀猀琀䈀甀琀琀漀渀䈀愀挀欀最爀漀甀渀搀䐀漀甀戀氀攀",[],"Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/DaughterofOshabi/DaughterofOshabiRespcBGBottom",-8
4,"DescendancyKingInTheMists","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistPassiveSkillScreenAlternateAscendancyButtonPressed","127,122,183","猀⼀䤀渀䜀愀洀攀⼀䈀漀猀猀䄀猀挀攀渀搀愀渀挀礀⼀刀椀琀甀愀氀椀猀琀⼀刀椀琀甀愀氀椀猀琀䈀甀琀琀漀渀䈀愀挀欀最爀漀甀渀搀䐀漀甀戀氀攀",[],"Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Ritualist/RitualistRespcBGBottom",-5
5,"DescendancyCatarina","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichPassiveSkillScreenAlternateAscendancyButtonPressed","180,238,204","猀⼀䤀渀䜀愀洀攀⼀䈀漀猀猀䄀猀挀攀渀搀愀渀挀礀⼀刀椀琀甀愀氀椀猀琀⼀刀椀琀甀愀氀椀猀琀䈀甀琀琀漀渀䈀愀挀欀最爀漀甀渀搀䐀漀甀戀氀攀",[],"Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Lich/LichRespcBGBottom",-6
6,"DescendancyAul","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightPassiveSkillScreenAlternateAscendancyButtonPressed","220,250,255","猀⼀䤀渀䜀愀洀攀⼀䈀漀猀猀䄀猀挀攀渀搀愀渀挀礀⼀刀椀琀甀愀氀椀猀琀⼀刀椀琀甀愀氀椀猀琀䈀甀琀琀漀渀䈀愀挀欀最爀漀甀渀搀䐀漀甀戀氀攀",[],"Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/PrimordialKnight/PrimordialKnightRespcBGBottom",-6
7,"DescendancyLycia","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldPassiveSkillScreenAlternateAscendancyButtonPressed","232,194,167","猀⼀䤀渀䜀愀洀攀⼀䈀漀猀猀䄀猀挀攀渀搀愀渀挀礀⼀刀椀琀甀愀氀椀猀琀⼀刀椀琀甀愀氀椀猀琀䈀甀琀琀漀渀䈀愀挀欀最爀漀甀渀搀䐀漀甀戀氀攀",[],"Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Herald/HeraldRespcBGBottom",-5
8,"DescendancyOlroth","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithPassiveSkillScreenAlternateAscendancyButtonPressed","144,168,198","猀⼀䤀渀䜀愀洀攀⼀䈀漀猀猀䄀猀挀攀渀搀愀渀挀礀⼀刀椀琀甀愀氀椀猀琀⼀刀椀琀甀愀氀椀猀琀䈀甀琀琀漀渀䈀愀挀欀最爀漀甀渀搀䐀漀甀戀氀攀",[],"Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Runesmith/RunesmithRespcBGBottom",-22
9,"DescendancyFarrul","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistPassiveSkillScreenAlternateAscendancyButton","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistAscendancyInfoPlate","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistButtonBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistButtonBackgroundDouble","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistNameBackground","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistPassiveSkillScreenAlternateAscendancyButtonHighlight","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistPassiveSkillScreenAlternateAscendancyButtonPressed","255,203,175","猀⼀䤀渀䜀愀洀攀⼀䈀漀猀猀䄀猀挀攀渀搀愀渀挀礀⼀刀椀琀甀愀氀椀猀琀⼀刀椀琀甀愀氀椀猀琀䈀甀琀琀漀渀䈀愀挀欀最爀漀甀渀搀䐀漀甀戀氀攀",[],"Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistRespcBGMiddle","Art/2DArt/UIImages/InGame/BossAscendancy/Animist/AnimistRespcBGBottom",-6
