"rownum","MapsKey","MapWorldsTier","BetrayalTier","SynthesisTier","LegionTier","BlightTier","MetamorphosisTier","DeliriumTier","HarvestTier","HeistTier","RitualTier","ExpeditionTier","ScourgeTier","ArchnemesisTier","SentinelTier","KalandraTier","SanctumTier","CrucibleTier","AncestorTier","AzmeriTier","NecropolisTier","SettlersTier","SecretsTier","KeepersTier","i32_108"
0,326,1,4,4,2,5,2,2,1,2,4,15,14,13,7,0,10,0,3,4,9,12,0,6,2
1,327,1,4,4,4,5,1,1,2,2,14,1,0,3,14,0,0,11,2,0,0,14,13,16,10
2,328,1,3,5,7,8,2,2,3,3,3,2,0,11,0,0,16,0,4,0,5,5,0,0,12
3,329,1,2,2,7,9,11,11,12,2,9,15,1,16,2,4,8,14,11,0,7,2,12,0,14
4,330,0,0,0,0,0,0,0,0,0,15,16,3,0,12,9,15,10,0,9,4,11,4,0,14
5,331,2,5,1,2,2,2,2,14,5,8,12,16,0,14,11,2,1,5,0,0,15,1,8,16
6,332,2,2,5,3,3,3,3,3,3,1,4,0,0,0,13,0,0,7,0,0,0,0,0,2
7,333,2,3,3,1,3,2,2,1,11,4,5,5,0,8,9,9,0,0,16,0,8,0,11,0
8,334,2,2,3,3,4,5,5,5,5,3,2,2,6,1,16,0,13,0,13,6,0,10,9,13
9,335,2,1,4,3,4,9,9,11,11,11,12,4,2,0,0,0,8,9,1,13,2,14,2,12
10,336,2,4,5,5,5,5,5,5,4,4,2,0,9,10,12,0,5,0,0,0,3,0,12,16
11,337,3,2,1,8,10,9,9,15,3,4,2,0,11,0,0,6,0,4,9,2,0,10,5,7
12,338,3,3,5,4,2,3,3,16,5,4,2,0,5,11,0,2,0,4,13,5,3,0,0,12
13,339,3,3,1,5,3,2,2,14,14,11,4,9,0,14,7,0,11,14,0,3,3,0,0,2
14,340,3,3,2,4,2,6,6,4,4,14,9,0,0,0,2,0,2,11,0,10,0,0,3,10
15,341,3,10,3,3,4,3,3,5,14,4,15,5,0,0,10,8,13,5,0,0,10,6,0,0
16,342,3,3,2,5,5,2,2,4,14,2,4,0,12,2,11,6,0,0,0,0,0,14,0,0
17,343,3,5,4,9,7,6,6,5,5,11,7,3,16,12,12,3,4,8,2,15,11,0,8,2
18,344,3,11,6,5,4,6,7,15,15,16,15,0,14,16,0,7,0,0,11,5,10,0,13,14
19,345,3,7,9,6,8,10,10,10,10,5,16,13,5,15,3,0,10,5,0,4,4,0,10,0
20,346,3,7,4,5,1,3,3,9,13,1,15,12,7,5,15,9,5,8,11,2,13,11,11,5
21,347,4,5,4,4,5,11,11,11,7,14,5,0,6,7,0,11,5,11,8,0,8,7,7,7
22,348,4,9,10,3,5,3,3,9,9,9,11,9,0,0,0,0,7,0,7,0,4,0,0,5
23,349,4,14,12,14,12,9,9,4,4,4,4,0,0,0,0,12,0,12,0,7,12,0,0,4
24,350,4,4,2,4,3,2,2,2,3,3,4,2,14,14,1,1,3,3,3,3,3,3,3,6
