"rownum","TreeVersion","Circle1","Circle2","Glow","ConnectionArt"
0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelEffectGlow",""
1,1,"Art/2DArt/UIImages/InGame/PassiveSkillScreenVaalJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenVaalJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenVaalJewelEffectGlow",""
2,2,"Art/2DArt/UIImages/InGame/PassiveSkillScreenKaruiJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenKaruiJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenKaruiJewelEffectGlow",""
3,3,"Art/2DArt/UIImages/InGame/PassiveSkillScreenMarakethJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenMarakethJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenMarakethJewelEffectGlow",""
4,4,"Art/2DArt/UIImages/InGame/PassiveSkillScreenTemplarJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenTemplarJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenTemplarJewelEffectGlow",""
5,5,"Art/2DArt/UIImages/InGame/PassiveSkillScreenEternalEmpireJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenEternalEmpireJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenEternalEmpireJewelEffectGlow",""
6,6,"Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelEffectGlow",""
7,7,"Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelEffectGlow",0
8,8,"Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelEffectGlow",0
9,9,"Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelEffectGlow",0
10,10,"Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelEffectGlow",0
11,11,"Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelEffectGlow",0
