"rownum","i32_0","i32_4","i32_8"
0,1,400,8
1,2,415,8
2,3,420,8
3,4,430,8
4,5,440,9
5,6,450,9
6,7,480,10
7,8,490,11
8,9,500,11
9,10,510,14
10,11,520,14
11,12,500,16
12,13,575,19
13,14,580,21
14,15,590,21
15,16,605,22
16,17,610,22
17,18,630,25
18,19,640,25
19,20,650,25
20,21,675,27
21,22,680,27
22,23,700,28
23,24,705,32
24,25,710,32
25,26,735,35
26,27,750,36
27,28,755,36
28,29,760,36
29,30,780,36
30,31,790,37
31,32,810,45
32,33,820,45
33,34,825,45
34,35,840,46
35,36,845,46
36,37,865,49
37,38,870,49
38,39,880,49
39,40,890,59
40,41,900,59
41,42,915,63
42,43,920,63
43,44,930,76
44,45,945,85
45,46,960,88
46,47,965,88
47,48,970,88
48,49,990,93
49,50,995,93
50,51,1000,106
51,52,1010,106
52,53,1015,106
53,54,1030,112
54,55,1340,112
55,56,1050,117
56,57,1060,117
57,58,1065,118
58,59,1075,120
59,60,1090,126
60,61,1095,126
61,62,1100,126
62,63,1105,127
63,64,1120,132
64,65,1130,135
65,66,1135,135
66,67,1140,136
67,68,1430,210
68,69,1743,286
69,70,2202,361
70,71,2658,437
71,72,3117,514
72,73,3579,590
73,74,4038,667
74,75,4500,745
75,76,4959,822
76,77,5421,900
77,78,5886,979
78,79,6348,1058
79,80,6813,1137
80,81,7278,1217
81,82,7743,1297
82,83,8208,1377
83,84,8673,1458
84,85,9252,1558
85,86,9801,1653
86,87,10332,1746
87,88,10899,1844
88,89,11496,1949
89,90,12126,2059
90,91,12789,2176
91,92,13503,2301
92,93,14247,2432
93,94,15042,2572
94,95,15870,2718
95,96,16746,2874
96,97,17670,3038
97,98,18648,3211
98,99,19671,3394
99,100,20763,3588
