"rownum","BetrayalJobsKey","BetrayalTargetsKey","Rank","Craft"
0,4,16,1,0
1,4,16,2,1
2,4,16,3,2
3,4,11,1,3
4,4,11,2,4
5,4,11,3,5
6,3,6,1,6
7,3,6,2,7
8,3,6,3,8
9,1,6,1,9
10,1,6,2,10
11,1,6,3,11
12,2,6,1,12
13,2,6,2,13
14,2,6,3,14
15,4,6,1,15
16,4,6,2,16
17,4,6,3,17
18,4,7,1,18
19,4,7,2,19
20,4,7,3,20
21,4,12,1,21
22,4,12,2,22
23,4,12,3,23
24,4,3,1,24
25,4,3,2,25
26,4,3,3,26
27,4,5,1,27
28,4,5,2,28
29,4,5,3,29
30,2,5,1,30
31,2,5,2,31
32,2,5,3,32
33,1,5,1,33
34,1,5,2,34
35,1,5,3,35
36,4,14,1,36
37,4,14,2,37
38,4,14,3,38
