"rownum","Id","XOffset","YOffset","FirstSlotIndex","Width","Height","bool_28","Tab","SlotSize","HideIfEmpty","Subtab","StoredItems","bool_58","string_59","i32_67","bool_71"
0,"Metadata/Items/MapFragments/CurrencyVaalFragment1_1",198,96,0,1,1,"",0,66,"",0,[2936],"","",0,""
1,"Metadata/Items/MapFragments/CurrencyVaalFragment1_2",198,186,1,1,1,"",0,66,"",0,[2937],"","",0,""
2,"Metadata/Items/MapFragments/CurrencyVaalFragment1_3",111,186,2,1,1,"",0,66,"",0,[2938],"","",0,""
3,"Metadata/Items/MapFragments/CurrencyVaalFragment1_4",111,96,3,1,1,"",0,66,"",0,[2939],"","",0,""
4,"Metadata/Items/MapFragments/CurrencyVaalFragment2_1",758,96,4,1,1,"",0,66,"",0,[2941],"","",0,""
5,"Metadata/Items/MapFragments/CurrencyVaalFragment2_2",758,186,5,1,1,"",0,66,"",0,[2942],"","",0,""
6,"Metadata/Items/MapFragments/CurrencyVaalFragment2_3",671,186,6,1,1,"",0,66,"",0,[2943],"","",0,""
7,"Metadata/Items/MapFragments/CurrencyVaalFragment2_4",671,96,7,1,1,"",0,66,"",0,[2944],"","",0,""
8,"Metadata/Items/MapFragments/CurrencyProphecyFragment1",482,96,8,1,1,"",0,66,1,0,[2946],"","",0,""
9,"Metadata/Items/MapFragments/CurrencyProphecyFragment2",482,186,9,1,1,"",0,66,1,0,[2947],"","",0,""
10,"Metadata/Items/MapFragments/CurrencyProphecyFragment3",391,186,10,1,1,"",0,66,1,0,[2948],"","",0,""
11,"Metadata/Items/MapFragments/CurrencyProphecyFragment4",391,96,11,1,1,"",0,66,1,0,[2949],"","",0,""
12,"Metadata/Items/MapFragments/CurrencyShaperFragment1",482,648,12,1,1,"",0,66,"",0,[2951],"","",0,""
13,"Metadata/Items/MapFragments/CurrencyShaperFragment2",482,736,13,1,1,"",0,66,"",0,[2952],"","",0,""
14,"Metadata/Items/MapFragments/CurrencyShaperFragment3",391,736,14,1,1,"",0,66,"",0,[2953],"","",0,""
15,"Metadata/Items/MapFragments/CurrencyShaperFragment4",391,648,15,1,1,"",0,66,"",0,[2954],"","",0,""
16,"Metadata/Items/MapFragments/CurrencyFragmentPantheonFlask",147,553,16,1,1,"",0,66,"",0,[2971],"","",0,""
17,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire",228,315,17,1,1,"",1,74,"",0,[2972],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsFireInvSlots",10,""
