"rownum","Tags","MonsterPack"
0,324,"[2088,2089,2090,2091]"
1,325,"[2092,2093,2094]"
2,326,"[2095,2096,2097,2098]"
3,327,"[2099,2100,2101]"
4,328,"[2102,2103,2104]"
5,329,"[2105,2106]"
6,330,"[2107,2108]"
7,331,"[2109,2110]"
8,332,[2111]
9,333,[2112]
10,334,"[2113,2114]"
11,335,"[2115,2116]"
12,336,"[2117,2118,2119]"
13,337,"[2120,2121,2122]"
14,338,"[2123,2124]"
15,339,"[2125,2126]"
16,340,"[2127,2128]"
17,341,[2129]
18,342,"[2130,2131,2132,2133]"
19,343,"[2134,2135]"
20,344,"[2136,2137,2138]"
21,347,"[747,748,749,750,751,752,758,759,760,761,762,783,784,796,797,798,799,936,1003,1004,926,927,928,929,940,942,944,945,946,961,962,963]"
