"rownum","Area","i32_16","Tags","bool_36","[i32]_37"
0,439,1,"[412,433]",1,"[1,1]"
1,440,1,"[412,433]",1,"[1,1]"
2,441,1,"[412,433]",1,"[1,1]"
3,442,1,"[412,433]",1,"[1,1]"
4,443,1,"[412,433]",1,"[1,1]"
5,444,1,"[412,433]",1,"[1,1]"
6,445,1,"[412,433]",1,"[1,1]"
7,446,1,"[412,433]",1,"[1,1]"
8,447,1,"[412,433]",1,"[1,1]"
9,448,1,"[412,433]",1,"[1,1]"
10,449,1,"[412,433]",1,"[1,1]"
11,450,1,"[412,433]",1,"[1,1]"
12,427,1,"[412,433]",1,"[1,1]"
13,428,1,"[412,433]",1,"[1,1]"
14,429,1,"[412,433]",1,"[1,1]"
15,430,1,"[412,433]",1,"[1,1]"
16,431,1,"[412,433]",1,"[1,1]"
17,432,1,"[412,433]",1,"[1,1]"
18,433,1,"[412,433]",1,"[1,1]"
19,434,1,"[412,433]",1,"[1,1]"
20,435,1,"[412,433]",1,"[1,1]"
21,436,1,"[412,433]",1,"[1,1]"
22,437,1,"[412,433]",1,"[1,1]"
23,438,1,"[412,433]",1,"[1,1]"
24,453,0,"[412,433]",1,"[1,1]"
25,454,0,"[412,433]",1,"[1,1]"
26,455,0,"[412,433]",1,"[1,1]"
27,456,0,"[412,433]",1,"[1,1]"
28,452,0,"[412,433]",1,"[4,1]"
29,459,0,"[412,433]",1,"[1,1]"
30,460,0,"[412,433]",1,"[1,1]"
31,461,0,"[412,433]",1,"[1,1]"
32,462,0,"[412,433]",1,"[1,1]"
33,458,0,"[412,433]",1,"[4,1]"
