"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","PackLeader1","PackLeader1 (French)","PackLeader1 (German)","PackLeader1 (Japanese)","PackLeader1 (Korean)","PackLeader1 (Portuguese)","PackLeader1 (Russian)","PackLeader1 (Spanish)","PackLeader1 (Thai)","PackLeader1 (Traditional Chinese)","PackLeader2","PackLeader2 (French)","PackLeader2 (German)","PackLeader2 (Japanese)","PackLeader2 (Korean)","PackLeader2 (Portuguese)","PackLeader2 (Russian)","PackLeader2 (Spanish)","PackLeader2 (Thai)","PackLeader2 (Traditional Chinese)","Mod"
0,"Zombie","Zombies","Zombies","Zombies","ゾンビ","좀비","Zumbis","Зомби","Zombis","Zombie","殭屍","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconZombie","Slow moving <white>{Undead} monsters\r\nSometimes emerges from underground","Monstres <white>{morts-vivants} lents \r\nÉmerge parfois du sol","Langsame <white>{untote} Monster\r\nTaucht manchmal aus dem Untergrund auf","ゆっくりと移動する<white>{不死者}のモンスター\r\n地面から出現することがある","느리게 움직이는 <white>{언데드} 몬스터.\r\n때때로 땅밑에서 튀어나옵니다.","Monstros <white>{mortos-vivos} de movimento lento\r\nÀs vezes emergem do subsolo","Медленно двигающася <white>{нежить}\r\nИногда появляются из-под земли","Monstruos <white>{no muertos} que avanzan despacio\r\nA veces emergen del suelo","มอนสเตอร์<white>{อันเดด} เคลื่อนที่เชื่องช้า\r\nบางครั้งผุดขึ้นมาจากใต้ดิน","緩速移動<white>{不死}怪物\r\n有時會從地下出現","","","","","","","","","","","","","","","","","","","","",""
1,"Sandspitter3","Crustacean Snipers","Crustacés tireurs","Krustenschützen","甲殻類のスナイパー","갑각류 저격수","Crustáceos Franco-Atiradores","Раки-стрелки","Crustáceos tiradores","Crustacean Sniper","狙影沙蟹","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSandspitter","Ranged <white>{Beasts}","<white>{Bêtes} attaquant à distance","Fernkämpfende <white>{Bestien}","遠距離攻撃の<white>{獣}","원거리 <white>{야수}.","<white>{Bestas} que atacam à distância","Дальнобойные <white>{звери}","<white>{Bestias} que atacan a distancia","<white>{สัตว์ร้าย} ระยะไกล","遠距<white>{野獸}","","","","","","","","","","","","","","","","","","","","",""
2,"Sandspitter2","Gravel Eaters","Mangeurs de gravier","Kiesfresser","グラヴェル・イーター","자갈 포식자","Devoradores de Cascalho","Галечники","Devoradores de grava","Gravel Eater","食礫爪蟹","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSandspitter","Ranged <white>{Beasts}","<white>{Bêtes} attaquant à distance","Fernkämpfende <white>{Bestien}","遠距離攻撃の<white>{獣}","원거리 <white>{야수}.","<white>{Bestas} que atacam à distância","Дальнобойные <white>{звери}","<white>{Bestias} que atacan a distancia","<white>{สัตว์ร้าย} ระยะไกล","遠距<white>{野獸}","","","","","","","","","","","","","","","","","","","","",""
3,"Sandspitter","Sandspitters","Cracheurs de sable","Sandspucker","サンドスピッター","모래 전갈","Cuspidores de Areia","Песчаные плевуны","Escupidores de arena","Sandspitter","噴砂爪蟹","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSandspitter","Ranged <white>{Beasts}","<white>{Bêtes} attaquant à distance","Fernkämpfende <white>{Bestien}","遠距離攻撃の<white>{獣}","원거리 <white>{야수}.","<white>{Bestas} que atacam à distância","Дальнобойные <white>{звери}","<white>{Bestias} que atacan a distancia","<white>{สัตว์ร้าย} ระยะไกล","遠距<white>{巨獸}怪物","","","","","","","","","","","","","","","","","","","","",""
4,"Crabs","Savage Crabs","Crabes sauvages","Wilde Krabben","サベージクラブ","사나운 게","Caranguejos Selvagens","Свирепые крабы","Cangrejos salvajes","Savage Crab","野蠻人巨蟹","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCoastCrabs","Various Crab <white>{Beasts} ","Crabes divers (<white>{Bêtes})","Verschiedene Krabben-<white>{Bestien} ","様々な蟹の<white>{獣}","각종 게 <white>{야수}.","Caranguejos <white>{Bestiais} Variados","Различные крабы (<white>{звери})","Varias <white>{bestias} cangrejo","<white>{สัตว์ร้าย}ปูต่างๆ","繁族巨蟹<white>{野獸}","","","","","","","","","","","","","","","","","","","","",""
5,"WaterElemental","Water Elementals","Élémentaires d'eau","Wasserelementare","ウォーターエレメンタル","물의 정령","Elementais da Água","Водные элементали","Elementales de agua","Water Elemental","水元素","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconWaterElemental","Water <white>{Constructs} \r\nCasts <craftingcold>{Ice} Nova","<white>{Fabrications} d'Eau\r\nLance Nova de <craftingcold>{glace}","Wasser-<white>{Konstrukte} \r\nZaubert <craftingcold>{Eisnova}","水の<white>{コンストラクト}\r\n<craftingcold>{アイス}ノヴァをキャストする","물 <white>{구조물}.\r\n<craftingcold>{얼음} 폭발을 시전합니다.","<white>{Construtos} de Água\r\nConvoca <craftingcold>Nova {Glacial}","Водные <white>{создания}\r\nСотворяют Кольцо <craftingcold>{льда}","<white>{Constructos} de agua\r\nLanzan Nova de <craftingcold>{hielo}","<white>{ชีวิตประดิษฐ์}น้ำ\r\nร่าย <craftingcold>{น้ำแข็ง}กระจาย (Ice Nova)","水中<white>{創造物}\r\n施放<craftingcold>{冰霜}新星","","","","","","","","","","","","","","","","","","","","",""
6,"WaterElemental3","Crashing Waves","Vagues écrasantes","Tosende Wellen","クラッシングウェーブ","요란한 파도","Ondas Marítimas","Разрушительные волны","Olas de choque","Crashing Wave","波濤洶湧","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconWaterElemental","Water <white>{Constructs} \r\nCasts <craftingcold>{Vortex}","<white>{Fabrications} d'Eau\r\nLance <craftingcold>{Vortex}","Wasser <white>{Konstruiert} \r\nZaubert <craftingcold>{Vortex}","水の<white>{コンストラクト}\r\n<craftingcold>{ヴォーテックス}をキャストする","물 <white>{구조물}.\r\n<craftingcold>{소용돌이}를 시전합니다.","<white>{Construtos} de Água\r\nConvoca <craftingcold>{Vórtice}","Водные <white>{создания}\r\nСотворяют <craftingcold>{Пургу}","<white>{Constructos} de agua\r\nLanzan <craftingcold>{Vórtice}","<white>{ชีวิตประดิษฐ์}น้ำ\r\nร่าย <craftingcold>{น้ำ}วน (Vortex)","水中<white>{創造物}\r\n施放<craftingcold>{漩渦}","","","","","","","","","","","","","","","","","","","","",""
7,"WaterElemental4","Bubbling Waves","Vagues bouillonnantes ","Brodelnde Wellen","バブリングウェーブ","부글대는 물결","Ondas Borbulhantes","Бурлящие волны","Olas burbujeantes","Bubbling Wave","沖泡波","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconWaterElemental","Water <white>{Constructs} ","<white>{Fabrications} d'Eau","Wasser-<white>{Konstrukte} ","水の<white>{コンストラクト}","물 <white>{구조물}.","<white>{Construtos} de Água","Водные <white>{создания}","<white>{Constructos} de agua","<white>{ชีวิตประดิษฐ์}น้ำ","水中<white>{創造物} ","","","","","","","","","","","","","","","","","","","","",""
8,"WaterElemental2","Clearwater Striders","Arpenteurs des eaux limpides","Klarwasserläufer","清水のストライダー","청수 질주자","Andarilho da Água","Мелководные охотники","Caminantes de agua clara","Clearwater Strider","諭水之靈","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconWaterElemental","Water <white>{Constructs} ","<white>{Fabrications} d'Eau","Wasser-<white>{Konstrukte} ","水の<white>{コンストラクト}","물 <white>{구조물}.","<white>{Construtos} de Água","Водные <white>{создания}","<white>{Constructos} de agua","<white>{ชีวิตประดิษฐ์}น้ำ","水中<white>{創造物} ","","","","","","","","","","","","","","","","","","","","",""
9,"Cannibal","Cannibals","Cannibales","Kannibalen","カニバル","식인종","Canibais","Каннибалы","Caníbales","Cannibal","關於食人族","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCannibal","Aggressive <white>{Humanoids}","<white>{Humanoïdes} aggressifs","Aggressive <white>{Humanoide}","積極的な<white>{人型}","공격적인 <white>{인간형}.","<white>{Humanóides} Agressivos","Агрессивные <white>{гуманоиды}","<white>{Humanoides} agresivos","<white>{มนุษย์} ก้าวร้าว","侵略性<white>{人形}","","","","","","","","","","","","","","","","","","","","",""
