"rownum","Tag","Multiplier","bool_20","i32_21","bool_25"
0,1331,1,"",250,""
1,1332,1,"",500,""
2,1333,1,"",1000,""
3,154,1,1,200,1
4,155,1,1,250,1
5,156,1,1,300,1
6,1093,1,1,500,1
7,960,1,1,700,1
8,625,1,1,250,1
9,664,1,1,500,1
10,80,3,"",0,""
11,134,1.2,"",0,""
12,239,1.2,"",0,""
13,177,1.2,"",0,""
14,621,1,"",500,""
15,1061,1.75,"",0,""
16,727,1,1,500,1
17,1338,0.4,"",0,""
18,1339,0.4,"",0,""
19,1066,0.25,"",0,""
20,1190,1.2,"",0,""
21,1191,1.6,"",0,""
22,1192,2,"",0,""
23,1193,2.5,"",0,""
24,1349,0.5,"",0,1
25,1367,1,1,1000,1
