"rownum","Id","Projectile","Animation","bool_36","i32_37","bool_41"
0,0,110,20,"",0,""
1,1,110,20,"",0,""
2,2,93,20,"",0,""
3,3,112,20,"",0,""
4,4,113,20,"",0,""
5,5,121,20,"",0,""
6,6,133,20,"",0,""
7,7,154,20,"",0,""
8,8,157,20,"",0,""
9,9,165,20,"",0,""
10,10,189,20,"",0,""
11,11,164,20,"",0,""
12,12,209,20,"",0,""
13,13,210,20,"",0,""
14,14,242,20,"",0,""
15,15,245,20,"",0,""
16,16,246,20,"",0,""
17,17,259,20,"",0,""
18,18,260,20,"",0,""
19,19,287,20,"",0,""
20,20,33,20,"",0,""
21,21,304,20,"",0,""
22,22,297,20,"",0,""
23,23,308,20,"",0,""
24,24,309,24,"",0,""
25,25,316,24,"",0,""
26,26,323,20,"",0,""
27,27,348,21,"",0,""
28,28,350,20,1,0,""
29,29,349,20,1,0,""
30,30,352,20,"",0,""
31,31,354,20,"",0,""
32,32,355,20,"",0,""
33,33,356,20,"",0,""
34,34,204,20,"",0,""
35,35,350,21,1,0,""
36,36,349,21,1,0,""
37,37,387,20,"",0,""
38,38,390,20,"",0,""
39,39,391,20,"",0,""
40,40,392,20,"",0,""
41,41,387,20,"",0,""
42,42,394,20,"",0,""
43,43,398,20,"",0,""
44,44,421,20,"",0,""
45,45,393,20,"",0,""
46,46,424,20,"",0,""
47,47,425,24,"",0,""
48,48,429,24,"",0,""
49,49,430,20,"",0,""
50,50,441,20,"",0,""
51,51,464,20,1,0,""
52,52,498,20,"",0,""
53,53,503,20,"",0,""
54,54,502,20,"",0,""
55,55,501,20,"",0,""
56,56,499,20,"",0,""
57,57,508,20,"",0,""
58,58,522,24,"",0,""
59,59,523,24,"",0,""
60,60,524,20,"",0,""
61,61,525,20,"",0,""
62,62,526,20,1,0,""
63,63,531,20,"",0,""
64,64,532,20,"",0,""
65,65,533,20,"",0,""
66,66,541,20,"",0,""
67,67,541,24,"",0,""
68,68,550,20,"",0,""
69,69,551,20,"",0,""
70,70,552,20,"",0,""
71,71,553,20,"",0,""
72,72,554,20,"",0,""
73,73,555,20,"",0,""
74,74,556,20,"",0,""
75,75,557,20,"",0,""
76,76,558,20,"",0,""
77,77,559,20,"",0,""
78,78,560,20,"",0,""
