"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","SlotSize"
0,"Metadata/Items/Currency/CurrencyJewelleryQualityElemental",312,285,153,0,1,1,72
1,"Metadata/Items/Currency/CurrencyJewelleryQualityCaster",313,383,153,1,1,1,72
2,"Metadata/Items/Currency/CurrencyJewelleryQualityAttack",314,481,153,2,1,1,72
3,"Metadata/Items/Currency/CurrencyJewelleryQualityDefense",310,203,261,3,1,1,72
4,"Metadata/Items/Currency/CurrencyJewelleryQualityResource",311,302,261,4,1,1,72
5,"Metadata/Items/Currency/CurrencyJewelleryQualityResistance",315,563,261,5,1,1,72
6,"Metadata/Items/Currency/CurrencyJewelleryQualityAttribute",316,659,261,6,1,1,72
7,"GenericSlot","",403,254,7,2,4,64
8,"Metadata/Items/Ultimatum/ItemisedTrial",4211,-199,0,9,12,5,54
9,"Metadata/Items/Currency/CurrencyJewelleryQualityVaal",320,433,52,58,1,1,72
10,"Metadata/Items/Currency/CurrencyJewelleryQualityCritical",319,107,261,59,1,1,72
11,"Metadata/Items/Currency/CurrencyJewelleryQualitySpeed",318,579,153,60,1,1,72
12,"Metadata/Items/Currency/CurrencyJewelleryQualityPhysicalChaos",317,756,261,61,1,1,72
