"rownum","rid_0","rid_16","i32_32"
0,9872,4238,241092318
1,10332,4239,-689546065
2,10335,4240,-325229012
3,12496,4241,-1063459755
4,11717,4242,75060906
5,12733,4243,-1546708750
6,11130,4244,-662122049
7,12731,4245,-1222371971
8,11812,4246,-1473032832
9,10120,4247,-1989133468
10,12730,4248,-1868712728
11,11700,4249,359955857
12,11695,4250,1311467939
13,12467,4251,-974544988
14,11128,4252,-829142474
15,11815,4253,1238657137
16,11127,4254,1556548718
17,12729,4255,898977981
18,12728,4256,1852863866
19,12732,4257,-1926555720
20,11730,4258,-1097381000
21,11715,4259,-447349213
22,12465,4260,-1707305483
23,11729,4261,1881520832
24,9874,4262,809946488
25,10068,4263,-161837024
26,11817,4264,1438706210
27,12494,4265,-1810728202
28,11698,4266,79690690
29,12420,4267,1470875728
30,9879,4268,-1454885063
31,12495,4269,-1136793470
32,12734,4270,-845083795
33,12423,4271,-1617665736
34,10064,4272,1589443200
35,10119,4273,217182782
36,11731,4274,-1054218304
37,9881,4275,-1934913649
38,9873,4276,-2144854266
39,11813,4277,-961543441
40,11126,4278,-10258181
41,10338,4279,178471226
42,10375,4280,-679831597
43,10188,4281,-551198725
44,7773,4282,823943942
45,10339,4283,1695138765
46,10224,4284,1042835715
47,12492,4285,-1187591138
48,11696,4286,-1804003392
49,11713,4287,2144048919
50,10190,4288,2105666940
51,11757,4289,-833557100
52,10125,4290,2019732113
53,9884,4291,-1298118145
54,10368,4292,-1836970706
55,10183,4293,179196667
56,10217,4294,-1209413694
57,10178,4295,-1352400808
58,10225,4296,-1582580517
59,10223,4297,-320557881
60,10181,4298,1998717565
61,10067,4299,-1696045501
62,10337,4300,581689
63,10175,4301,-994766805
64,12419,4302,1121449463
65,10370,4303,988602414
66,10341,4304,-1890125108
67,10179,4305,1670272265
68,10371,4306,1061245871
69,10191,4307,-1563579594
70,10180,4308,-837436368
71,10221,4309,-1313379392
72,10187,4310,591994908
73,11727,4311,-651769882
74,10374,4312,-1624983573
75,10367,4313,-1899326666
76,10372,4314,1064830047
77,10184,4315,1606123339
78,10222,4316,-886237039
79,9877,4317,757782947
80,10220,4318,-1647971224
81,12464,4319,-1980116762
82,10373,4320,2137168354
83,12491,4321,-1869137618
84,10333,4322,-373197846
85,11697,4323,-886386091
86,10128,4324,-875129113
87,10192,4325,-526910390
88,10218,4326,-823223660
89,10365,4327,-1175504486
90,10127,4328,1281500251
91,10366,4329,-2011908844
92,9875,4330,354591994
93,11712,4331,1894967284
94,11129,4332,1053791753
95,11816,4333,267878817
96,11716,4334,-1384579337
97,12466,4335,-137543231
98,10126,4336,1681370264
99,12462,4337,1527329667
100,9867,4338,1321370010
101,10336,4339,1282291954
102,10226,4340,-244634798
103,10176,4341,-1904121572
104,9876,4342,-1292623951
105,9878,4343,1412694076
106,12463,4344,1097432357
107,12418,4345,269078685
108,11125,4346,1939001032
109,10073,4347,-236396037
110,12493,4348,-1542459129
111,10070,4349,355093100
112,11728,4350,-244270725
113,11814,4351,2020276108
114,10182,4352,791923414
115,12421,4353,-152564983
116,10219,4354,845586367
117,11726,4355,1030607070
118,9870,4356,1428447258
119,10072,4357,1662453964
120,10066,4358,1086159006
121,10065,4359,-1243592460
122,10069,4360,1720992431
123,12878,4361,656298985
124,12879,4362,582388939
125,10071,4363,-1330428925
126,11714,4364,10691341
127,12422,4365,-755425869
128,9869,4366,-1442511853
129,9871,4367,1506993028
130,10124,4368,670027263
131,10177,4369,893483974
132,10340,4370,556899756
133,9868,4371,948244203
134,10123,4372,309564985
135,10189,4373,644717207
136,10369,4374,201423924
137,11699,4375,-425516541
138,10121,4376,1890357588
139,10122,4377,-1603423061
140,9880,4378,788156195
141,10334,4379,-1957681611
142,14391,4380,2045753637
143,7787,4381,-128896791
144,8184,4382,1955122677
145,7751,4383,962398136
146,7891,4384,577143885
147,7969,4385,918643125
148,9775,4386,229705408
149,11810,4387,-1063709812
150,11897,4388,1730251011
151,10186,4389,1218467030
152,9776,4390,-1450684016
153,10228,4391,-829065843
154,11898,4392,615496637
155,11131,4393,951233410
156,11811,4394,-1970844477
157,7970,4395,700761527
158,7892,4396,998675723
159,10342,4397,-1986309304
