"rownum","Id","Stats","StatValues","Astrolabe","i32_56","i32_60","rid_64"
0,"Generic","[21320,21321,22697,22708,22730]","[1,5,1,1,1]",5313,6,9,""
1,"Harvest","[11949,13491,22698,22708,22731]","[1,100,1,1,1]",5314,6,9,""
2,"Abyss","[6745,22699,22708,22732]","[1,1,1,1]",5315,6,9,""
3,"Breach","[5563,22700,22708,22733]","[1,1,1,1]",5316,6,9,""
4,"Ritual","[14216,22701,22708,22734]","[1,1,1,1]",5317,6,9,""
5,"Blight","[10185,22702,22708,22735]","[1,1,1,1]",5318,6,9,""
6,"Ultimatum","[19189,22703,22708,22736]","[1,1,1,1]",5319,6,9,""
7,"Delirium","[12623,22704,22708,22737]","[1,1,1,1]",5320,6,9,""
8,"Legion","[9480,10420,22705,22708,22738]","[1,1,1,1,1]",5321,6,9,""
9,"Expedition","[14383,22706,22708,22739]","[1,1,1,1]",5322,6,9,""
10,"Settlers","[21276,22707,22708]","[1,1,1]",5323,6,9,""
