"rownum","Id","MiscBeams","MiscAnimated","i32_36","string_40","bool_48","i32_49","bool_53","i32_54","i32_58","MiscBeamsPulse","MiscAnimatedPulse","i32_94","bool_98","i32_99","i32_103"
0,0,103,2373,40,"root","",0,"",0,0,"","",0,"",2,2
1,1,193,3100,40,"R_Weapon","",30,"",0,0,"","",0,"",2,2
2,2,283,4303,20,"mouth_fx_mid",1,0,"",20,78,"","",0,"",2,2
3,3,283,4303,20,"mouth_fx_mid","",30,"",0,0,"","",0,"",2,2
4,4,478,5883,18,"facelaser",1,20,1,0,0,"","",0,"",2,2
5,5,110,"",36,"root",1,0,"",0,0,"","",0,"",2,2
6,6,110,"",20,"root",1,0,"",0,0,"","",0,"",2,2
7,7,391,5053,15,"aux_lantern",1,0,"",20,78,"","",0,"",2,2
8,8,448,5512,20,"aux_laser",1,0,"",20,78,"","",0,"",2,2
9,9,463,5709,20,"aux_L_Weapon_attachment","",10,1,0,0,"","",0,"",2,2
10,10,509,6455,20,"death_beam","",0,"",0,0,510,6456,30,1,2,2
11,11,561,6938,18,"stone_jntBnd",1,0,"",0,78,"","",5,"",1,0
12,12,634,7853,7,"laser_start",1,25,"",0,0,"","",28,"",2,2
