"rownum","Id","Export","i32_24","PopupIcon"
0,"PendingIronOre","",0,""
1,"PendingCopperOre","",0,""
2,"PendingAmber","",0,""
3,"PendingBismuthOre","",0,""
4,"PendingVerisiumOre","",0,""
5,"IronOre",0,0,""
6,"CopperOre",1,0,""
7,"Amber",2,0,""
8,"BismuthOre",3,0,""
9,"VerisiumOre",4,0,""
10,"Wheat",10,1,14
11,"Corn",11,2,15
12,"Pumpkin",12,3,16
13,"Globulora",13,4,17
14,"Orbisfera",14,5,18
15,"RefinedIron",5,0,9
16,"RefinedCopper",6,0,10
17,"RefinedAmber",7,0,11
18,"RefinedBismuth",8,0,12
19,"RefinedVerisium",9,0,13
20,"MagicDust",15,0,19
