"rownum","RewardOffer","i32_16","Characters","Reward","RewardLevel","rid_56","i32_72","string_76","[rid]_84","RewardStack","bool_104","bool_105","[rid]_106","i32_122","i32_126","[rid]_130","i32_146","rid_150","i32_166","[rid]_170"
0,0,0,[1],1653,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
1,0,1,[1],1872,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
2,0,2,[1],1846,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
3,0,3,[1],1606,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
4,0,4,[1],1892,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
5,0,5,[1],2064,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
6,0,6,[6],1953,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
7,0,7,[6],1900,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
8,0,8,[6],1872,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
9,0,9,[6],1846,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
10,0,10,[6],1825,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
11,0,11,[6],1969,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
12,0,12,[0],1594,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
13,0,13,[0],1825,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
14,0,14,[0],2117,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
15,0,15,[4],1595,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
16,0,16,[4],1825,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
17,0,17,[4],1876,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
18,0,18,[4],1989,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
19,0,19,[4],2085,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
20,0,20,[3],1614,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
21,0,21,[3],1612,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
22,0,22,[3],1866,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
23,0,23,[3],1876,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
24,0,24,[3],1610,1,"",0,"",[],1,"","",[],1646,0,[],0,"",0,[]
