"rownum","Id","Title","Title (French)","Title (German)","Title (Japanese)","Title (Korean)","Title (Portuguese)","Title (Russian)","Title (Spanish)","Title (Thai)","Title (Traditional Chinese)","Art"
0,1,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
1,2,"Achievements","Succès","Errungenschaften","実績","업적","Conquistas","Достижения","Logros","ความสำเร็จ","成就",""
2,3,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
3,4,"Guild Challenges","Défis de Guilde","Gilden-Herausforderungen","ギルドチャンレジ","길드 도전과제","Desafios de Guilda","Испытания гильдии","Desafíos de hermandad","ภารกิจท้าทายกิลด์","公會成就",""
4,5,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
5,6,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
6,7,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
7,8,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
8,9,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
9,10,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
10,11,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
11,12,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
12,13,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
13,14,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
14,15,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
15,16,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
16,17,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
17,18,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
18,19,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
19,20,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
20,21,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
21,22,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
22,23,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰",""
23,24,"Challenges","Défis","Herausforderungen","チャレンジ","도전과제","Desafios","Испытания","Desafíos","ภารกิจท้าทาย","挑戰","Art/2DArt/UIImages/InGame/Achievement"
