"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","Resource","ResourceLostPercent","PortBonusLostPercent","i32_40","CrewMembersLost","i32_48","SubText","SubText (French)","SubText (German)","SubText (Japanese)","SubText (Korean)","SubText (Portuguese)","SubText (Russian)","SubText (Spanish)","SubText (Thai)","SubText (Traditional Chinese)","i32_60"
0,"NULL","","","","","","","","","","",[],0,0,0,0,0,"","","","","","","","","","",0
1,"ShipCommandeered","Pirates have commandeered the Ship! They will execute the Crew and steal the Shipment unless you intervene.","Des pirates ont capturé le navire ! Ils exécuteront l'équipage et voleront la cargaison à moins que vous n'interveniez.","Piraten haben das Schiff in ihre Gewalt gebracht! Sie werden die Besatzung hinrichten und die Ladung stehlen, wenn Ihr nicht eingreift.","海賊が船を乗っ取りました！介入しない限り、彼らは船員を処刑し、積荷を盗みます。","해적이 선박을 나포했습니다! 개입하지 않으면 해적이 선원을 처형하고 수송품을 강탈할 것입니다.","Piratas tomaram o Navio! Eles vão executar a Tripulação e roubar a Carga se você não intervir.","Пираты захватили корабль! Они казнят команду и украдут груз, если вы не вмешаетесь.","¡Unos piratas han abordado el barco! Ejecutarán a la tripulación y robarán el cargamento a menos que intervengas.","โจรสลัด​ยึด​เรือ​ไป​แล้ว! พวก​มัน​จะ​ฆ่า​ลูกเรือ​และ​ขโมย​สินค้า​ไป​หาก​คุณ​ไม่​เข้าไป​แทรกแซง","海盜將船劫持了！除非你介入，否則他們將會處決船員並偷走貨物。",[],0,0,0,0,2,"<kalguurlightgrey>{One of our ships has been commandeered!}","<kalguurlightgrey>{L'un de nos navires a été capturé !}","<kalguurlightgrey>{Eines unserer Schiffe wurde gekapert!}","<kalguurlightgrey>{我々の船の内の一隻が乗っ取られました！}","<kalguurlightgrey>{선박이 나포됐습니다!}","<kalguurlightgrey>{Um de nossos navios foi tomado!}","<kalguurlightgrey>{Один из наших кораблей был захвачен!}","<kalguurlightgrey>{¡Unos piratas han abordado uno de nuestros barcos!}","<kalguurlightgrey>{เรือ​ของ​เรา​ลำ​หนึ่ง​ถูก​ยึด​ไป​แล้ว!}","<kalguurred>{我們其中一艘船被劫持了！}",0
2,"Lose50%Metals","<kalguurred>{A well-armed merchant vessel demanded half of our shipment of ore!}","<kalguurred>{Un navire marchand lourdement armé a exigé la moitié de notre cargaison de minerai !}","<kalguurred>{Ein gut bewaffnetes Handelsschiff forderte die Hälfte unserer Erzladung!}","<kalguurred>{武装した商船が我々の積荷の半分の鉱石を要求してきた！}","<kalguurred>{중무장한 상선이 우리의 광석 수송품 중 절반을 요구했습니다!}","<kalguurred>{Uma embarcação mercantil bem armada exige metade do nosso carregamento de minério!}","<kalguurred>{Хорошо вооружённое торговое судно затребовало половину нашего груза руды!}","<kalguurred>{¡Un buque mercante armado ha exigido la mitad de nuestro cargamento de mineral!}","<kalguurred>{เรือ​สำเภา​ติด​อาวุธ​บังคับ​ให้​เอา​แร่​ที่​ขนส่ง​ให้​พวก​มัน​ไป​ครึ่ง​หนึ่ง!}","<kalguurred>{全副武裝的商船想奪取我們一半的礦材貨物！}","[0,1,2,3,4,5,6,7,8,9]",50,0,0,0,1,"<kalguurlightgrey>{Half of our shipment of ore has been lost!}","<kalguurlightgrey>{La moitié de notre cargaison de minerai a été perdue !}","<kalguurlightgrey>{Die Hälfte unserer Ladung von Erz ist verloren gegangen!}","<kalguurlightgrey>{積荷の半分の鉱石が失われました！}","<kalguurlightgrey>{광석 수송품 중 절반을 잃었습니다!}","<kalguurlightgrey>{Metade da nossa carga foi perdida!}","<kalguurlightgrey>{Половина нашего груза руды потеряна!}","<kalguurlightgrey>{¡Hemos perdido la mitad de nuestro cargamento de mineral!}","<kalguurlightgrey>{เรา​เสีย​แร่​ที่​ขนส่ง​ไป​ครึ่ง​หนึ่ง!}","<kalguurred>{我們失去了一半的礦材貨物！}",1
3,"Lose100%Metals","<kalguurred>{Our crew had to dump our shipment of ore to outrun a pirate fleet!}","<kalguurred>{Notre équipage a dû jeter notre cargaison de minerai par dessus-bord pour échapper à une flotte pirate !}","<kalguurred>{Unsere Besatzung musste unsere Erzladung abladen, um einer Piratenflotte zu entkommen!}","<kalguurred>{海賊船から逃げるために船員は鉱石の積荷を放棄しました！}","<kalguurred>{선원들이 해적 함대로부터 달아나기 위해 광석 수송품을 버려야 했습니다!}","<kalguurred>{Nossa Tripulação teve que despejar nosso carregamento de minério para fugir dos piratas!}","<kalguurred>{Нашей команде пришлось сбросить груз руды, чтобы оторваться от пиратского флота!}","<kalguurred>{¡La tripulación ha tenido que deshacerse del cargamento de mineral para poder huir de una flota pirata!}","<kalguurred>{ลูกเรือ​เรา​ต้อง​ทิ้ง​แร่​ที่​ขนส่ง​เพื่อ​ให้​หนี​กอง​เรือ​โจร​สลัด​ได้​ทัน!}","<kalguurred>{我們的船員捨棄了礦材貨物來躲避海盜船的追擊！}","[0,1,2,3,4,5,6,7,8,9]",100,0,0,0,1,"<kalguurlightgrey>{Our shipment of ore has been lost!}","<kalguurlightgrey>{Notre cargaison de minerai a été perdue !}","<kalguurlightgrey>{Unsere Ladung von Erz ist verloren gegangen!}","<kalguurlightgrey>{積荷の鉱石が失われました！}","<kalguurlightgrey>{광석 수송품을 잃었습니다!}","<kalguurlightgrey>{Nosso carregamento de minério foi perdido!}","<kalguurlightgrey>{Наш груз руды потерян!}","<kalguurlightgrey>{¡Hemos perdido nuestro cargamento de mineral!}","<kalguurlightgrey>{เรา​เสีย​แร่​ที่​ขนส่ง​ไป​หมด!}","<kalguurred>{我們失去了礦材貨物！}",1
4,"Lose50%Plants","<kalguurred>{A wasting disease destroyed half of our shipment of crops!}","<kalguurred>{Une maladie a détruit la moitié de notre cargaison de récoltes !}","<kalguurred>{Eine Seuche hat die Hälfte unserer Ladung von Nutzpflanzen vernichtet!}","<kalguurred>{消耗病により、積荷の作物の半分が破壊されました！}","<kalguurred>{치명적인 질병에 작물 수송품 중 절반을 잃었습니다!}","<kalguurred>{Uma doença devastadora destruiu metade do nosso carregamento de mantimentos!}","<kalguurred>{Болезнь уничтожила половину нашего груза сельхозкультур!}","<kalguurred>{¡Una enfermedad devastadora ha destruido la mitad de nuestro cargamento de cultivos!}","<kalguurred>{โรคอันตราย​ทำให้​เรา​เสีย​พืชผล​ที่​ขนส่ง​ไป​ครึ่ง​หนึ่ง!}","<kalguurred>{惡病摧毀了我們一半的農作物貨物！}","[10,11,12,13,14]",50,0,0,0,1,"<kalguurlightgrey>{Half of our shipment of crops has been lost!}","<kalguurlightgrey>{La moitié de notre cargaison de récoltes a été perdue !}","<kalguurlightgrey>{Die Hälfte unserer Ladung von Nutzpflanzen ist verloren gegangen!}","<kalguurlightgrey>{積荷の半分の作物が失われました！}","<kalguurlightgrey>{작물 수송품 중 절반을 잃었습니다!}","<kalguurlightgrey>{Metade da nossa carga de mantimentos foi perdida!}","<kalguurlightgrey>{Половина нашего груза сельхозкультур потеряна!}","<kalguurlightgrey>{¡Hemos perdido la mitad de nuestro cargamento de cultivos!}","<kalguurlightgrey>{เรา​เสีย​พืช​ผล​ที่​ขนส่ง​ไป​ครึ่ง​หนึ่ง!}","<kalguurred>{我們失去了一半的農作物貨物！}",1
5,"Lose100%Plants","<kalguurred>{The crew became stuck in a calm sea and had to eat our shipment of crops!}","<kalguurred>{L'équipage s'est retrouvé coincé sur une mer calme et a dû manger notre cargaison de récoltes !} ","<kalguurred>{Die Besatzung blieb auf ruhiger See stecken und musste unsere Ladung von Nutzpflanzen essen!}","<kalguurred>{船員は穏やかな海で立ち往生し、我々が積んだ作物を食べなければなりませんでした！}","<kalguurred>{바람이 불지 않아 망망대해에 발이 묶인 선원들이 작물 수송품으로 연명해야 했습니다!}","<kalguurred>{A tripulação ficou presa em um mar calmo e teve que comer nosso carregamento de mantimentos!}","<kalguurred>{Судно застряло в штиле и команде пришлось употребить в пищу наш груз сельхозкультур!}","<kalguurred>{¡La tripulación se ha quedado varada en un mar en calma y ha tenido que comerse nuestro cargamento de cultivos!}","<kalguurred>{ลูกเรือ​ติด​อยู่​ใน​ทะเล​สงบ​จน​ต้อง​กิน​พืช​ผล​ที่​ขนส่ง​จน​หมด!}","<kalguurred>{船員卡在靜海上動彈不得，只能吃掉農作物貨物了！}","[10,11,12,13,14]",100,0,0,0,1,"<kalguurlightgrey>{Our shipment of crops has been lost!}","<kalguurlightgrey>{Notre cargaison de récoltes a été perdue !}","<kalguurlightgrey>{Unsere Ladung von Nutzpflanzen ist verloren gegangen!}","<kalguurlightgrey>{積荷の作物が失われました！}","<kalguurlightgrey>{작물 수송품을 잃었습니다!}","<kalguurlightgrey>{Nossa carga de mantimentos foi perdida!}","<kalguurlightgrey>{Наш груз сельхозкультур потерян!}","<kalguurlightgrey>{¡Hemos perdido nuestro cargamento de cultivos!}","<kalguurlightgrey>{เรา​เสีย​พืช​ผล​ที่​ขนส่ง​ไป​หมด!}","<kalguurred>{我們失去了農作物貨物！}",1
6,"Lose100%ArcaneDust","<kalguurred>{Our shipment of Thaumaturgic Dust collapsed into a portal and vanished!}","<kalguurred>{Notre cargaison de Poussière thaumaturgique est devenue instable et s'est évaporée !}","<kalguurred>{Unsere Ladung von Thaumaturgischem Staub ist in einem Portal kollabiert und verschwunden!}","<kalguurred>{積荷のソーマタージーダストはポータルに吸い込まれ消滅しました！}","<kalguurred>{마석학 가루 수송품이 붕괴하며 포탈 속으로 사라졌습니다!}","<kalguurred>{Nosso carregamento de Pó Taumatúrgico entrou em um portal e sumiu!}","<kalguurred>{Наш груз чародейской пыли взорвался, образовав портал, и исчез!}","<kalguurred>{¡Nuestro cargamento de polvo taumatúrgico ha colapsado en un portal y ha desaparecido!}","<kalguurred>{ผง​มนต์​มณี​ที่​ขนส่ง​กลับ​ยุบ​ตัว​เป็น​ประตู​มิติ​แล้ว​หาย​ไป!}","<kalguurred>{我們的奇術魔塵貨物落入時空之門後消失了！}",[15],100,0,0,0,1,"<kalguurlightgrey>{Our shipment of Thaumaturgic Dust has been lost!}","<kalguurlightgrey>{Notre cargaison de Poussière thaumaturgique a été perdue !}","<kalguurlightgrey>{Unsere Ladung von Thaumaturgischem Staub ist verloren gegangen!}","<kalguurlightgrey>{積荷のソーマタージーダストが失われました！}","<kalguurlightgrey>{마석학 가루 수송품을 잃었습니다!}","<kalguurlightgrey>{Nossa carga de Pó Taumatúrgico foi perdida!}","<kalguurlightgrey>{Наш груз чародейской пыли потерян!}","<kalguurlightgrey>{¡Hemos perdido nuestro cargamento de polvo taumatúrgico!}","<kalguurlightgrey>{เรา​เสีย​ผง​มนต์มณี​ที่​ขนส่ง​ไป​หมด!}","<kalguurred>{我們失去了奇術魔塵貨物！}",1
7,"Lose50%AllResourcesOutgoing","<kalguurred>{A Karui raiding party waiting outside Kingsmarch demand half of our entire shipment!}","<kalguurred>{Un groupe de pillards karuis attendant aux abords de Marcheroi exige la moitié de notre cargaison toute entière !}","<kalguurred>{Eine Gruppe von Kriegern der Karui, die vor Königsmark lauern, verlangen die Hälfte unserer gesamten Ladung!}","<kalguurred>{カルイの奇襲部隊がキングスマーチの外で待ち伏せており、我々の積荷全体の半分を要求しています！}","<kalguurred>{킹스마치 바깥에서 기다리던 카루이 약탈대가 수송품 전체의 절반을 요구했습니다!}","<kalguurred>{Um grupo de Karuis invasores que espreitava nos arredores de Kingsmarch exigiu metade de todo o nosso carregamento!}","<kalguurred>{Рейдерский отряд каруи, поджидавший у Кингсмарша, требует половину всего нашего груза!}","<kalguurred>{¡Un grupo de saqueadores karui que espera a las afueras de Marca del rey nos exige la mitad de nuestro cargamento!}","<kalguurred>{กลุ่ม​จู่โจม​คารุย​ที่​รอ​อยู่​หน้า​คิงส์มาร์ช​บังคับ​ให้​เอา​สินค้า​ทุก​อย่าง​ที่​ขนส่ง​ให้​พวก​มัน​ไป​ครึ่ง​หนึ่ง!}","<kalguurred>{有卡魯劫盜團在金司馬區外要求我們交出一半的貨物！}",[],50,0,0,0,1,"<kalguurlightgrey>{Half of our entire shipment has been lost!}","<kalguurlightgrey>{La moitié de notre cargaison toute entière a été perdue !}","<kalguurlightgrey>{Die Hälfte unserer gesamten Ladung ist verloren gegangen!}","<kalguurlightgrey>{積荷全体の半分が失われました！}","<kalguurlightgrey>{수송품 전체의 절반을 잃었습니다!}","<kalguurlightgrey>{Metade de todo o nosso carregamento foi perdido!}","<kalguurlightgrey>{Половина всего нашего груза потеряна!}","<kalguurlightgrey>{¡Hemos perdido la mitad de nuestro cargamento!}","<kalguurlightgrey>{เรา​เสีย​สินค้า​ทุก​อย่าง​ที่​ขนส่ง​ไป​ครึ่ง​หนึ่ง!}","<kalguurred>{我們失去了一半的貨物！}",1
8,"Lose50%AllResourcesAtPort","<kalguurred>{Corrupt customs officials demanded half of our entire shipment!}","<kalguurred>{Des douaniers corrompus ont exigé la moitié de notre cargaison toute entière !}","<kalguurred>{Korrupte Zollbeamte verlangten die Hälfte unserer gesamten Ladung!}","<kalguurred>{腐敗した監吏が我々の積荷全体の半分を要求しています！}","<kalguurred>{부패한 세관원이 수송품 전체의 절반을 요구했습니다!}","<kalguurred>{Oficiais corruptos da alfândega exigiram metade de todo o nosso carregamento!}","<kalguurred>{Коррумпированные таможники затребовали половину всего нашего груза!}","<kalguurred>{¡Unos agentes de aduanas corruptos nos han exigido la mitad de nuestro cargamento!}","<kalguurred>{เจ้าหน้าที่​ศุลกากร​ที่​ทุจริต​บังคับ​ให้​เรา​เอา​สินค้า​ทุก​อย่าง​ที่​ขนส่ง​ไป​ให้​พวก​มัน​ไป​ครึ่ง​หนึ่ง!}","<kalguurred>{當地的貪汙官員要求我們交出一半的貨物！}",[],50,0,0,0,1,"<kalguurlightgrey>{Half of our entire shipment has been lost!}","<kalguurlightgrey>{La moitié de notre cargaison toute entière a été perdue !}","<kalguurlightgrey>{Die Hälfte unserer gesamten Ladung ist verloren gegangen!}","<kalguurlightgrey>{積荷全体の半分が失われました！}","<kalguurlightgrey>{수송품 전체의 절반을 잃었습니다!}","<kalguurlightgrey>{Metade de todo o nosso carregamento foi perdido!}","<kalguurlightgrey>{Половина всего нашего груза потеряна!}","<kalguurlightgrey>{¡Hemos perdido la mitad de nuestro cargamento!}","<kalguurlightgrey>{เรา​เสีย​สินค้า​ทุก​อย่าง​ที่​ขนส่ง​ไป​ครึ่ง​หนึ่ง!}","<kalguurred>{我們失去了一半的貨物！}",1
9,"Lose25%AllResourcesAtPort","<kalguurred>{A quarter of our entire shipment was somehow misplaced at port!}","<kalguurred>{Un quart de notre cargaison toute entière a été d'une manière ou d'une autre égarée au port !}","<kalguurred>{Ein Viertel unserer gesamten Ladung war am Hafen plötzlich nicht mehr auffindbar!}","<kalguurred>{荷物全体の 四分の一が、何らかの理由で港に置き忘れられました！}","<kalguurred>{항만에서 수송품 전체의 1/4이 사라졌습니다!}","<kalguurred>{Um quarto de todo o nosso carregamento foi extraviado no porto de alguma forma!}","<kalguurred>{Четверть всей нашей поставки каким-то образом потеряли в порту!}","<kalguurred>{¡Una cuarta parte de nuestro cargamento se ha extraviado en el puerto!}","<kalguurred>{สินค้า​ทุก​อย่าง​ที่​เรา​ขนส่ง​ไป​หนึ่ง​ใน​สี่​กลับ​ถูก​วาง​ผิด​ที่​ผิด​ทางใน​เมือง​ท่า!}","<kalguurred>{我們有四分之一的貨物不知為何被遺落在港口了！}",[],25,0,0,0,1,"<kalguurlightgrey>{A quarter of our entire shipment has been lost!}","<kalguurlightgrey>{Un quart de notre cargaison toute entière a été perdue !}","<kalguurlightgrey>{Ein Viertel unserer gesamten Ladung ist verloren gegangen!}","<kalguurlightgrey>{積荷全体の四分の一が失われました！}","<kalguurlightgrey>{수송품 전체의 1/4을 잃었습니다!}","<kalguurlightgrey>{Um quarto de todo o nosso carregamento foi perdido!}","<kalguurlightgrey>{Четверть всего нашего груза потеряна!}","<kalguurlightgrey>{¡Hemos perdido una cuarta parte de nuestro cargamento!}","<kalguurlightgrey>{เรา​เสีย​สินค้า​ทุก​อย่าง​ที่​ขนส่ง​ไป​หนึ่ง​ใน​สี่!}","<kalguurred>{我們失去了四分之一的貨物！}",1
