"rownum","Mod","TiersWhitelist","TransformAchievement","ModFamilies"
0,26242,[1],"",[63]
1,26243,[2],"",[63]
2,26244,[3],"",[63]
3,26245,[4],"",[63]
4,26246,[1],8327,"[1161,4941]"
5,26247,[2],8327,"[1161,4941]"
6,26248,[3],8327,"[1161,4941]"
7,26249,[4],8327,"[1161,4941]"
8,26250,[1],8327,"[1161,4941]"
9,26251,[2],8327,"[1161,4941]"
10,26252,[3],8327,"[1161,4941]"
11,26253,[4],8327,"[1161,4941]"
12,26254,[1],8327,"[1161,4941]"
13,26255,[2],8327,"[1161,4941]"
14,26256,[3],8327,"[1161,4941]"
15,26257,[4],8327,"[1161,4941]"
16,26258,[1],8327,"[4934,1161,4941]"
17,26259,[2],8327,"[4934,1161,4941]"
18,26260,[3],8327,"[4934,1161,4941]"
19,26261,[4],8327,"[4934,1161,4941]"
20,26262,[1],8327,"[1161,4941]"
21,26263,[2],8327,"[1161,4941]"
22,26264,[3],8327,"[1161,4941]"
23,26265,[4],8327,"[1161,4941]"
24,26266,[1],8327,"[1161,4941]"
25,26267,[2],8327,"[1161,4941]"
26,26268,[3],8327,"[1161,4941]"
27,26269,[4],8327,"[1161,4941]"
28,26270,[1],8327,"[1161,4941]"
29,26271,[2],8327,"[1161,4941]"
30,26272,[3],8327,"[1161,4941]"
31,26273,[4],8327,"[1161,4941]"
32,26274,[1],8327,"[1161,4941]"
33,26275,[2],8327,"[1161,4941]"
34,26276,[3],8327,"[1161,4941]"
35,26277,[4],8327,"[1161,4941]"
36,26278,[1],8327,"[1161,4941]"
37,26279,[2],8327,"[1161,4941]"
38,26280,[3],8327,"[1161,4941]"
39,26281,[4],8327,"[1161,4941]"
40,26282,[3],"",[]
41,26283,[4],"",[]
42,26284,[3],"",[]
43,26285,[4],"",[]
44,26286,[3],"",[]
45,26287,[4],"",[]
46,26288,[3],"",[]
47,26289,[4],"",[]
48,26290,[3],"",[]
49,26291,[4],"",[]
50,26292,[3],"",[]
51,26293,[4],"",[]
52,26294,[3],"",[]
53,26295,[4],"",[]
54,26296,[3],"",[]
55,26297,[4],"",[]
56,26298,"[2,3,4]","",[]
57,26299,[3],"",[]
58,26300,[4],"",[]
59,26301,[2],"",[]
60,26302,[3],"",[]
61,26303,[4],"",[]
62,26304,[3],"",[]
63,26305,[4],"",[]
64,26306,[2],"",[]
65,26307,[3],"",[]
66,26308,[4],"",[]
67,26309,[2],"",[]
68,26310,[3],"",[]
69,26311,[4],"",[]
70,26312,[2],"",[]
71,26313,[3],"",[]
72,26314,[4],"",[]
73,26315,[2],"",[]
74,26316,[3],"",[]
75,26317,[4],"",[]
76,26318,[2],"",[]
77,26319,[3],"",[]
78,26320,[4],"",[]
79,26321,"[2,3,4]","",[]
80,26322,[2],"","[3505,1180,1108]"
81,26323,[3],"","[3505,1180,1108]"
82,26324,[4],"","[3505,1180,1108]"
83,26325,[2],"","[3505,1180,1108]"
84,26326,[3],"","[3505,1180,1108]"
85,26327,[4],"","[3505,1180,1108]"
86,26328,[2],"",[]
87,26329,[3],"",[]
88,26330,[4],"",[]
89,26331,[2],"",[]
90,26332,[3],"",[]
91,26333,[4],"",[]
92,26334,"[3,4]","",[]
93,26335,"[3,4]","",[]
94,26336,"[3,4]","",[]
95,26337,[3],"",[]
96,26338,[4],"",[]
97,26339,"[3,4]",8326,[]
98,26340,"[3,4]",8326,[]
99,26341,"[3,4]",8326,[]
100,26342,"[3,4]",8326,[]
101,26343,"[3,4]",8326,[]
102,26344,"[3,4]",8326,[]
103,26345,"[3,4]",8326,[]
104,26346,"[3,4]",8326,[]
105,26347,"[3,4]",8326,[]
106,26348,"[3,4]",8326,[]
107,26349,"[3,4]",8326,[]
108,26350,[2],"",[4934]
109,26351,[3],"",[4934]
110,26352,[4],"",[4934]
111,26353,[3],"",[]
112,26354,[4],"",[]
113,26355,[2],"",[]
114,26356,[3],"",[]
115,26357,[4],"",[]
116,26358,[3],"",[]
117,26359,[4],"",[]
118,26360,[3],8327,[]
119,26361,[4],8327,[]
120,26362,[1],"",[]
121,26363,[2],"",[]
122,26364,[3],"",[]
123,26365,[4],"",[]
124,26366,[1],8421,[]
125,26367,[2],8421,[]
126,26368,[3],8421,[]
127,26369,[4],8421,[]
128,26370,[2],"",[]
129,26371,[3],"",[]
130,26372,[4],"",[]
131,26373,[1],8328,[]
132,26374,[2],8328,[]
133,26375,[3],8328,[]
134,26376,[4],8328,[]
135,26377,[1],8328,[]
136,26378,[2],8328,[]
137,26379,[3],8328,[]
138,26380,[4],8328,[]
139,26381,[1],8328,[]
140,26382,[2],8328,[]
141,26383,[3],8328,[]
142,26384,[4],8328,[]
143,26385,[1],8328,[]
144,26386,[2],8328,[]
145,26387,[3],8328,[]
146,26388,[4],8328,[]
147,26389,[1],8328,[]
148,26390,[2],8328,[]
149,26391,[3],8328,[]
150,26392,[4],8328,[]
151,26393,[2],8328,[]
152,26394,[3],8328,[]
153,26395,[4],8328,[]
154,26396,[2],8328,[]
155,26397,[3],8328,[]
156,26398,[4],8328,[]
157,26399,[2],"",[]
158,26400,[3],"",[]
159,26401,[4],"",[]
160,26402,[2],"",[]
161,26403,[3],"",[]
162,26404,[4],"",[]
163,26405,[2],"",[]
164,26406,[3],"",[]
165,26407,[4],"",[]
166,26408,[2],"",[]
167,26409,[3],"",[]
168,26410,[4],"",[]
169,26411,[2],"",[]
170,26412,[3],"",[]
171,26413,[4],"",[]
172,26414,[2],"",[]
173,26415,[3],"",[]
174,26416,[4],"",[]
175,26417,[2],"",[]
176,26418,[3],"",[]
177,26419,[4],"",[]
178,26420,[2],"",[]
179,26421,[3],"",[]
180,26422,[4],"",[]
181,26423,[2],"",[]
182,26424,[3],"",[]
183,26425,[4],"",[]
184,26426,[2],"",[]
185,26427,[3],"",[]
186,26428,[4],"",[]
187,26429,[2],"",[]
188,26430,[3],"",[]
189,26431,[4],"",[]
190,26432,[1],"",[]
191,26433,[2],"",[]
192,26434,[3],"",[]
193,26435,[4],"",[]
194,26436,[2],"",[]
195,26437,[3],"",[]
196,26438,[4],"",[]
197,26439,[2],"",[]
198,26440,[3],"",[]
199,26441,[4],"",[]
200,26442,[2],"",[]
201,26443,[3],"",[]
202,26444,[4],"",[]
203,26445,[2],"",[]
204,26446,[3],"",[]
205,26447,[4],"",[]
206,26448,[1],"",[]
207,26449,[2],"",[]
208,26450,[3],"",[]
209,26451,[4],"",[]
210,26452,[1],"","[125,4398,1553,52]"
211,26453,[2],"","[125,4398,1553,52]"
212,26454,[3],"","[125,4398,1553,52]"
213,26455,[4],"","[125,4398,1553,52]"
