"rownum","BaseItemTypesKey","SpawnWeight","Cost","MinDepth","IsResonator","i32_29","i32_33"
0,306,100,300,0,1,1,600
1,307,100,750,0,1,1,1500
2,308,100,3750,0,1,1,7500
3,269,100,1000,0,"",0,2000
4,270,100,1000,0,"",0,2000
5,271,100,1000,0,"",0,2000
6,272,100,1000,0,"",0,2000
7,273,100,1000,0,"",0,2000
8,274,100,1000,0,"",0,2000
9,275,100,1000,0,"",0,2000
10,276,40,10000,19,"",0,20000
11,277,40,10000,19,"",0,20000
12,278,40,10000,19,"",0,20000
13,279,40,10000,19,"",0,20000
14,280,40,10000,19,"",0,20000
15,281,40,10000,19,"",0,20000
16,282,40,10000,19,"",0,20000
17,283,40,10000,19,"",0,20000
18,284,40,10000,19,"",0,20000
19,285,40,10000,19,"",0,20000
20,286,10,1000000,75,"",0,2000000
21,287,10,1000000,75,"",0,2000000
22,288,10,1000000,75,"",0,2000000
23,289,10,1000000,75,"",0,2000000
24,290,10,1000000,75,"",0,2000000
25,291,10,1000000,75,"",0,2000000
26,292,10,100000,35,"",0,200000
27,293,10,100000,35,"",0,200000
28,302,100,300,0,1,2,600
29,303,100,750,0,1,2,1500
30,304,100,3750,0,1,2,7500
