"rownum","Id","string_8","i32_16","i32_20","bool_24","f32_25","f32_29","f32_33","string_37","string_37 (French)","string_37 (German)","string_37 (Japanese)","string_37 (Korean)","string_37 (Portuguese)","string_37 (Russian)","string_37 (Spanish)","string_37 (Thai)","string_37 (Traditional Chinese)","rid_45","bool_61","i32_62","i32_66","i32_70","i32_74"
0,"HeistTime","Art/2DArt/UIImages/InGame/Heist/LockdownChestTimer",50,50,"",3,1.5,50,"Sec","Secondes","Sek.","秒","초","Seg","Сек","s","วินาที","秒","","",26,26,50,50
1,"ArchnemesisMod","Art/2DArt/UIImages/InGame/Heist/LockdownChestTimer",50,50,"",3,1.5,50,"","","","","","","","","","","","",26,26,50,50
2,"SanctumCurrency","Art/2DArt/UIImages/InGame/Sanctum/SanctumCurrencyPopup",50,50,1,1.5,0.5,50,"Aureus","Aureus","Aurei","アウレウス","아우레우스","Aureus","Аурус","Áureos","ออเรอัส","奧瑞厄斯幣","","",26,26,50,50
3,"GoldCoin","Art/2DArt/UIImages/InGame/Village/HireFireWorkers/VillageGoldIcon",34,27,1,1.5,0.5,50,"Gold","Or","Gold","ゴールド","골드","Ouro","Золото","Oro","ทอง","金幣","","",26,26,34,27
4,"VillageIronOre","Art/2DArt/UIImages/InGame/Village/Mining/CrismonIronOre",34,27,1,3.5,0.5,50,"Crimson Iron Ore Marked","Minerai de Fer écarlate marqué","Markiertes Bluteisen-Erz","マーク済みクリムゾンアイアン鉱","채광 지시된 진홍철 광석","Minério de Ferro Carmesim Marcado","Руда алого железа отмечена","Mineral de hierro carmesí marcado","แร่เหล็กเลือดนกที่ยึดครอง","標記的緋紅鍛鐵礦材",674,"",26,26,34,27
5,"VillageCopperOre","Art/2DArt/UIImages/InGame/Village/Mining/DemonCopperOre",34,27,1,3.5,0.5,50,"Orichalcum Ore Marked","Minerai d'Orichalque marqué","Markiertes Oreichalkos-Erz","マーク済みオリハルコン鉱","채광 지시된 오리칼쿰 광석","Minério de Oricálco Marcado","Орихалковая руда отмечена","Mineral de oricalco marcado","แร่โอริคัลคุมที่ยึดครอง","標記的山銅礦材",674,"",26,26,34,27
6,"VillageAmber","Art/2DArt/UIImages/InGame/Village/Mining/PetrifiedWoodOre",34,27,1,3.5,0.5,50,"Petrified Amber Ore Marked","Minerai d'Ambre pétrifié marqué","Markiertes Amberium-Erz","マーク済み石化琥珀鉱","채광 지시된 석화 호박 광석","Minério de Âmbar Petrificado Marcado","Окаменевший янтарь отмечен","Mineral de ámbar petrificado marcado","แร่หินอำพันที่ยึดครอง","標記的石化琥珀礦材",674,"",26,26,34,27
7,"VillageBismuthOre","Art/2DArt/UIImages/InGame/Village/Mining/BismuthOre",34,27,1,3.5,0.5,50,"Bismuth Ore Marked","Minerai de Bismuth marqué","Markiertes Bismuterz","マーク済みビスマス鉱","채광 지시된 비스무트 광석","Minério de Bismuto Marcado","Руда висмута отмечена","Mineral de bismuto marcado","แร่บิสมัทที่ยึดครอง","標記的鉍礦材",674,"",26,26,34,27
8,"VillageVerisiumOre","Art/2DArt/UIImages/InGame/Village/Mining/VerisiumOre",34,27,1,3.5,0.5,50,"Verisium Ore Marked","Minerai de Vérisium marqué","Markiertes Verisiumerz","マーク済みヴェリシウム鉱","채광 지시된 베리시움 광석","Minério de Verísio Marcado","Веризий-сырец отмечен","Mineral de verisium marcado","แร่เวรีเซียมที่ยึดครอง","標記的維里西姆礦材",674,"",26,26,34,27
9,"VillageRefinedIron","Art/2DArt/UIImages/InGame/Village/Mining/CrimsonIronIngot",34,27,1,3.5,0.5,50,"Crimson Iron","Fer écarlate","Bluteisen","クリムゾンアイアン","진홍철","Ferro Carmesim","Алое железо","Hierro carmesí","เหล็กเลือดนก","緋紅鍛鐵",674,"",26,26,34,27
10,"VillageRefinedCopper","Art/2DArt/UIImages/InGame/Village/Mining/DemonCopperIngot",34,27,1,3.5,0.5,50,"Orichalcum","Orichalque","Oreichalkos","オリハルコン","오리칼쿰","Oricalco","Орихалк","Oricalco","โอริคัลคุม","山銅",674,"",26,26,34,27
11,"VillageRefinedAmber","Art/2DArt/UIImages/InGame/Village/Mining/PetrifiedWoodIngot",34,27,1,3.5,0.5,50,"Petrified Amber","Ambre pétrifié","Amberium","石化琥珀","석화 호박","Âmbar Petrificado","Окаменевший янтарь","Ámbar petrificado","หินอำพัน","石化琥珀",674,"",26,26,34,27
12,"VillageRefinedBismuth","Art/2DArt/UIImages/InGame/Village/Mining/BismuthIngot",34,27,1,3.5,0.5,50,"Bismuth","Bismuth","Bismut","ビスマス","비스무트","Bismuto","Висмут","Bismuto","บิสมัท","鉍",674,"",26,26,34,27
13,"VillageRefinedVerisium","Art/2DArt/UIImages/InGame/Village/Mining/VerisiumIngot",34,27,1,3.5,0.5,50,"Verisium","Vérisium","Verisium","ヴェリシウム","베리시움","Verísio","Веризий","Verisium","เวรีเซียม","維里西姆",674,"",26,26,34,27
14,"VillageWheat","Art/2DArt/UIImages/InGame/Village/Farming/Wheat",34,27,1,3.5,0.5,50,"Wheat","Blé","Weizen","小麦","밀","Trigo","Пшеница","Trigo","ข้าวสาลี","小麥","","",26,26,34,27
15,"VillageCorn","Art/2DArt/UIImages/InGame/Village/Farming/Corn",34,27,1,3.5,0.5,50,"Corn","Maïs","Mais","コーン","옥수수","Milho","Кукуруза","Maíz","ข้าวโพด","玉米","","",26,26,34,27
16,"VillagePumpkin","Art/2DArt/UIImages/InGame/Village/Farming/Pumpkins",34,27,1,3.5,0.5,50,"Pumpkin","Citrouille","Kürbis","かぼちゃ","호박","Abóbora","Тыква","Calabaza","ฟักทอง","南瓜","","",26,26,34,27
17,"VillageGlobulora","Art/2DArt/UIImages/InGame/Village/Farming/Globulora",34,27,1,3.5,0.5,50,"Orgourd","Orgourd","Orgourd","ウミヒョウタン","오르박","Cabaça","Горлянка","Calabazul","ออร์กอร์ด","瓜果","","",26,26,34,27
18,"VillageOrbisfera","Art/2DArt/UIImages/InGame/Village/Farming/Orbisfera",34,27,1,3.5,0.5,50,"Blue Zanthimum","Zanthimum bleu","Blaues Zanthimum","ブルーザンシマム","푸른도꼬마리","Zântimo Azul","Синий зантимий","Zantimum azul","แซนธิมัมฟ้า","藍贊提蒙","","",26,26,34,27
19,"VillageMagicDust","Art/2DArt/UIImages/InGame/Village/Disenchanting/ThaumaturgicDust",34,27,1,3.5,0.5,50,"Thaumaturgic Dust","Poussière thaumaturgique","Thaumaturgischer Staub","魔術の塵","마석학 가루","Pó Taumatúrgico","Чародейская пыль","Polvo taumatúrgico","ผงมนต์มณี","奇術魔塵","","",26,26,34,27
20,"BreachSplinter","Art/2DArt/UIImages/InGame/Village/BreachShardChaos",34,34,1,3.5,0.5,50,"Breach Splinter","Esquille de Brèche","Riss-Splitter","ブリーチスプリンター","균열 파편","Fragmento de Fenda","Осколок Разлома","Astilla de fisura","สะเก็ดบรีช","裂痕裂片","","",26,26,34,34
