"rownum","Slot","ClusterJewelSize","ClusterIndex","ReplacesSlot","ProxySlot","StartIndices","bool_76"
0,1224,"",0,"","",[],""
1,1225,"",0,"","",[],""
2,1226,"",0,"","",[],""
3,1227,"",0,"","",[],""
4,1228,"",0,"","",[],""
5,1229,"",0,"","",[],""
6,1230,"",0,"","",[],""
7,1231,"",0,"","",[],""
8,1232,"",0,"","",[],""
9,1233,"",0,"","",[],""
10,1234,"",0,"","",[],""
11,1235,2,0,"",3314,"[3,5,5]",""
12,1236,2,1,"",3315,"[0,11,11]",""
13,1237,2,2,"",3316,"[2,3,3]",""
14,1238,"",0,"","",[],""
15,1239,2,3,"",3317,"[1,1,1]",""
16,1240,"",0,"","",[],""
17,1241,2,4,"",3318,"[5,9,9]",""
18,1242,"",0,"","",[],""
19,1243,"",0,"","",[],""
20,1244,2,5,"",3319,"[4,7,7]",""
21,3278,1,0,11,3320,"[2,3]",""
22,3279,1,1,11,3321,"[3,5]",""
23,3280,1,2,11,3322,"[3,7]",""
24,3281,0,0,21,3323,[1],""
25,3282,0,0,22,3324,[2],""
26,3283,0,0,23,3325,[3],""
27,3284,1,0,12,3326,"[5,9]",""
28,3285,1,1,12,3327,"[5,11]",""
29,3286,1,2,12,3328,"[0,1]",""
30,3287,0,0,27,3329,[4],""
31,3288,0,0,28,3330,[5],""
32,3289,0,0,29,3331,[0],""
33,3290,1,0,13,3332,"[1,1]",""
34,3291,1,1,13,3333,"[2,3]",""
35,3292,1,2,13,3334,"[3,5]",""
36,3293,0,0,33,3335,[0],""
37,3294,0,0,34,3336,[1],""
38,3295,0,0,35,3337,[2],""
39,3296,1,0,15,3338,"[5,11]",""
40,3297,1,1,15,3339,"[1,1]",""
41,3298,1,2,15,3340,"[2,3]",""
42,3299,0,0,39,3341,[5],""
43,3300,0,0,40,3342,[0],""
44,3301,0,0,41,3343,[1],""
45,3302,1,0,17,3344,"[4,7]",""
46,3303,1,1,17,3345,"[5,9]",""
47,3304,1,2,17,3346,"[5,11]",""
48,3305,0,0,45,3347,[3],""
49,3306,0,0,46,3348,[4],""
50,3307,0,0,47,3349,[5],""
51,3308,1,0,20,3350,"[3,5]",""
52,3309,1,1,20,3351,"[4,7]",""
53,3310,1,2,20,3352,"[5,9]",""
54,3311,0,0,51,3353,[2],""
55,3312,0,0,52,3354,[3],""
56,3313,0,0,53,3355,[4],""
57,4929,"",0,"","",[],1
58,4930,"",0,"","",[],1
59,4931,"",0,"","",[],1
