"rownum","Id","MonsterTypesKey","i32_24","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","ModsKeys","i32_96","string_100","string_108","ModelSizeMultiplier","i32_120","i32_124","i32_128","i32_132","i32_136","TagsKeys","ExperienceMultiplier","[i32]_160","MinAgroRange","MaxAgroRange","SpotlightColour1","SpotlightColour2","SpotlightColour3","GrantedEffectsKeys","AISFile","ModsKeys2","Stance","BloodType","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","DamageMultiplier","LifeMultiplier","AttackSpeed","Weapon1_ItemVisualIdentityKeys","Weapon2_ItemVisualIdentityKeys","Back_ItemVisualIdentityKey","MainHand_ItemClassesKey","OffHand_ItemClassesKey","Helmet_ItemVisualIdentityKey","i32_376","KillSpecificMonsterCount_AchievementItemsKeys","Special_ModsKeys","KillRare_AchievementItemsKeys","bool_428","i32_429","i32_433","i32_437","i32_441","i32_445","i32_449","HASH16","bool_455","string_456","string_456 (French)","string_456 (German)","string_456 (Japanese)","string_456 (Korean)","string_456 (Portuguese)","string_456 (Russian)","string_456 (Spanish)","string_456 (Thai)","string_456 (Traditional Chinese)","KillWhileOnslaughtIsActive_AchievementItemsKey","MonsterSegmentsKey","MonsterArmoursKey","KillWhileTalismanIsActive_AchievementItemsKey","Part1_ModsKeys","Part2_ModsKeys","Endgame_ModsKeys","rid_576","i32_592","i32_596","Achievement","MultiPartAchievement","i32_632","SinkAnimation_AOFile","bool_644","[rid]_645","bool_661","bool_662","bool_663","i32_664","i32_668","f32_672","AilmentThreshold","EPKFile","i32_688","MonsterConditionalEffectPacksKey","bool_708","bool_709","i32_710","bool_714","i32_715","i32_719","i32_723","i32_727","i32_731","i32_735","AddonMonsterTypeIndex","i32_755","i32_759","i32_763","i32_767","i32_771","bool_775","BossHealthBar","bool_777","MonsterCategory"
0,"Any",1446,40,2,6,6,[],[],"Metadata/Monsters/Clone/Clone",[],1,"","",100,1,3,9,13,0,"[74,804]",100,[],105,105,700,500,0,[402],"",[],"",10,"[ANY MONSTER]","[ANY MONSTER]","[ANY MONSTER]","[モンスター]","[모든 몬스터]","[ANY MONSTER]","[ЛЮБОЙ МОНСТР]","[ANY MONSTER]","[มอนสเตอร์ใดก็ได้]","[任意怪物]",100,100,830,[],[],"","","","",0,[],[],[],"",0,6,100,0,0,100,6509,"","","M","N","","","N","","","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,100,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","","",2
1,"Metadata/Monsters/Bandits/BanditBossHeavyStrike_",253,22,3,4,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/BanditsBossCalaf.ao""]","Metadata/Monsters/Bandits/BanditBoss",[21252],1,"","",115,3,6,3,5,100,"[750,821,780,774,71,48,796,764,31,765,810,118,802]",130,[],105,105,700,500,0,"[416,1326,11939]","Metadata/Monsters/Bandits/BanditBossHeavyStrike.ais","[6436,6442]","",1,"Calaf, Headstaver","Calaf, l'Enfonceur de crânes","Calaf, Schädelbrecher","頭砕き、カラフ","머리 구멍 칼라프","Calaf, Cabeça Dura","Калаф, Дробитель черепов","Calaf, Empellacráneos","คาลาฟ โจรฟาดกะโหลก","裂顱者卡拉夫",189,176,1350,[7784],[7919],"",12,26,"",0,[885],[],[],"",1,6,100,0,0,100,7716,"","","M","M","","","M","MS","M","","","",2,8,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,176,"",0,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","","",5
2,"Metadata/Monsters/Bandits/BanditBossHeavyStrikeStandalone",253,22,3,4,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/BanditsBossCalaf.ao""]","Metadata/Monsters/Bandits/BanditBossStandalone",[21252],1,"","",115,3,6,3,5,100,"[750,821,780,774,71,48,796,764,31,765,810,118,802]",130,[],105,105,700,500,0,"[416,1326,11939]","Metadata/Monsters/Bandits/BanditBossHeavyStrike.ais","[6436,6442]","",1,"Calaf, Headstaver","Calaf, l'Enfonceur de crânes","Calaf, Schädelbrecher","頭砕き、カラフ","머리 구멍 칼라프","Calaf, o Maceta-cabeças","Калаф, Дробитель черепов","Calaf, Empellacráneos","คาลาฟ โจรฟาดกะโหลก","裂顱者卡拉夫",189,176,1350,[7784],[7919],"",12,26,"",0,[],[],[],"",1,6,100,0,0,100,27553,"","","M","M","","","M","MS","M","","","",2,8,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,176,"",0,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","","",5
3,"Metadata/Monsters/Bandits/BanditBossHeavyStrikeEndlessLedge",257,22,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/BanditsBossCalaf.ao""]","Metadata/Monsters/Bandits/BanditBoss",[21252],1,"","",115,3,6,3,5,100,"[750,821,780,774,71,48,796,764,31,765,810,118,802]",150,[],105,105,700,500,0,"[416,1325,11939]","Metadata/Monsters/Bandits/BanditBossHeavyStrike.ais","[6436,6442]","",1,"Calaf, Headstaver","Calaf, l'Enfonceur de crânes","Calaf, Schädelbrecher","頭砕き、カラフ","머리 구멍 칼라프","Calaf, Cabeça Dura","Калаф, Дробитель черепов","Calaf, Empellacráneos","คาลาฟ โจรฟาดกะโหลก","裂顱者卡拉夫",150,180,1350,[7784],[7919],"",12,26,"",0,[],[],[],"",1,6,100,0,0,100,62086,"","","M","M","","","M","MS","M","","","",2,8,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,180,"",0,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","","",5
4,"Metadata/Monsters/Bandits/BanditBossBow",288,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBowUnique",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[416,11940]","Metadata/Monsters/Bandits/BanditBowUnique.ais","[6436,6442]","",1,"Merciless Killer","Tueur impitoyable","Unerbittlicher Meuchler","無慈悲な殺人者","무자비한 살해자","Assassino Impiedoso","Беспощадный убийца","Asesino despiadado","ฆาตกรไร้ปรานี","冷血殺手",144,108,1995,[8891],[7800],8204,13,"","",0,[],[],[],"",1,6,100,0,0,100,12394,"","","M","M","","","M","MS","M","","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,108,"",0,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","","",5
5,"Metadata/Monsters/Bandits/BanditBow",288,19,3,6,45,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,0,"[750,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[403,11940]","Metadata/Monsters/Bandits/BanditBow.ais","[6436,6442]","",1,"Callow Sniper","Archer novice","Unerfahrener Heckenschütze","未熟な狙撃者","풋내기 저격수","Atirador Inexperiente","Болотный лучник","Tirador inexperto","Callow Sniper","喪心狙擊手",144,108,1995,[8891],[7800],8204,13,"","",0,[],[],[640],1,1,1,100,0,0,100,37492,"","","M","M","","","M","MS","M","","","",0,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","","",5
6,"Metadata/Monsters/Bandits/BanditBowKraitynSpecific",288,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,0,"[750,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[403,11940]","Metadata/Monsters/Bandits/BanditBow.ais","[6436,6442]","",1,"Kraityn's Scout","Éclaireur de Kraityn","Kundschafter Kraityns","クレイティンの偵察者","크레이틴의 정찰병","Batedor de Kraityn","Разведчик Крайтина","Explorador de Kraityn","Kraityn's Scout","克雷頓的哨兵",144,108,1995,[8891],[7800],8204,13,"","",0,[],[],[604],1,1,6,100,0,0,100,1141,"","","M","M","","","M","MS","M","","","",0,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","","",5
7,"Metadata/Monsters/Bandits/BanditBowBurningArrow",288,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,75,"[750,766,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[403,2038,11940]","Metadata/Monsters/Bandits/BanditBow.ais","[6436,6442]","",1,"Kraityn's Scout","Éclaireur de Kraityn","Kundschafter Kraityns","クレイティンの偵察者","크레이틴의 정찰병","Batedor de Kraityn","Разведчик Крайтина","Explorador de Kraityn","Kraityn's Scout","克雷頓的哨兵",144,108,1995,[8891],[7800],8204,13,"","",0,[],[],[604],1,1,4,5,0,0,5,29990,"","","M","M","","","M","MS","M","","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","","",5
8,"Metadata/Monsters/Bandits/BanditBowChampion",291,22,3,6,40,"[""Metadata/Monsters/Bandits/BanditBowChampion.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBowChampion",[],1,"","",115,3,6,4,1,100,"[750,766,806,786,71,48,796,31,765,822,32,118,802]",140,[3],105,105,700,500,0,"[403,1109,5271,5275]","Metadata/Monsters/Bandits/BanditBowChampion.ais","[6436,6442]","",1,"Kraityn's Sentry","Sentinelle de Kraityn","Wache Kraityns","クレイティンの哨兵","크레이틴의 보초","Sentinela de Kraityn","Страж Крайтина","Centinela de Kraityn","Kraityn's Sentry","克雷頓的偵查兵",73,157,1995,[8891],[7800],8204,13,"","",0,[],[],[],1,1,3,100,2,50,5,2634,"","","F","F","","","F","MS","M","","","",1,7,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,157,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","","",5
9,"Metadata/Monsters/Bandits/BanditBowBlastRain",288,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,75,"[750,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[403,11940,5270]","Metadata/Monsters/Bandits/BanditBow.ais","[6436,6442]","",1,"Oak's Sniper","Tireur d'élite d'Orme","Heckenschütze Oaks","オークの狙撃者","오크의 저격수","Atirador de Oak","Лучник Дуба","Tirador de Oak","Oak's Sniper","歐克的狙擊手",144,108,1995,[8891],[7800],8204,13,"","",0,[],[],[616],1,1,4,5,0,0,5,49056,"","","M","M","","","M","MS","M","","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","","",5
