"rownum","rid_0","i32_16","bool_20"
0,36382,45,""
1,36383,48,""
2,36384,51,""
3,36385,54,""
4,36386,57,""
5,36387,60,""
6,36388,63,""
7,36389,45,""
8,36390,48,""
9,36391,51,""
10,36392,54,""
11,36393,57,""
12,36394,60,""
13,36395,63,""
14,36396,45,""
15,36397,48,""
16,36398,51,""
17,36399,54,""
18,36400,57,""
19,36401,60,""
20,36402,63,""
21,36403,45,""
22,36404,48,""
23,36405,51,""
24,36406,54,""
25,36407,57,""
26,36408,60,""
27,36409,63,""
28,36410,48,""
29,36411,51,""
30,36412,54,""
31,36413,57,""
32,36414,60,""
33,36415,48,""
34,36416,51,""
35,36417,54,""
36,36418,57,""
37,36419,48,""
38,36420,51,""
39,36421,54,""
40,36422,57,""
41,36423,48,""
42,36424,51,""
43,36425,54,""
44,36426,57,""
45,36427,48,""
46,36428,51,""
47,36429,54,""
48,36430,57,""
49,36435,45,""
50,36436,48,""
51,36437,51,""
52,36431,48,""
53,36432,51,""
54,36433,54,""
55,36434,57,""
56,36438,48,""
57,36439,51,""
58,36440,54,""
59,36441,57,""
60,36442,48,""
61,36443,51,""
62,36444,54,""
63,36445,57,""
64,36446,60,""
65,36447,63,""
66,36448,48,""
67,36449,51,""
68,36450,54,""
69,36451,48,""
70,36452,51,""
71,36453,54,""
72,36454,48,""
73,36455,51,""
74,36456,54,""
75,36457,48,""
76,36458,51,""
77,36459,54,""
78,36460,48,""
79,36461,51,""
80,36462,54,""
81,36463,48,""
82,36464,51,""
83,36465,54,""
84,36466,48,""
85,36467,51,""
86,36468,54,""
87,36469,48,""
88,36470,51,""
89,36471,54,""
90,36472,57,""
91,36473,51,""
92,36474,54,""
93,36475,57,""
94,36476,48,""
95,36477,51,""
96,36478,54,""
97,36479,57,""
98,36480,48,""
99,36481,51,""
100,36482,54,""
101,36483,57,""
102,36484,54,""
103,36485,54,""
104,36486,48,""
105,36487,51,""
106,36488,54,""
107,36489,51,""
108,36490,54,""
109,36491,57,""
110,36492,45,""
111,36493,48,""
112,36494,51,""
113,36495,51,""
114,36496,51,""
115,36497,51,""
116,36498,45,""
117,36499,48,""
118,36500,51,""
119,36501,45,""
120,36502,48,""
121,36503,51,""
122,36504,51,""
123,36505,54,""
124,36506,57,""
125,36507,60,""
126,36508,51,""
127,36509,54,""
128,36510,57,""
129,36511,100,""
130,36512,100,""
131,36513,100,""
132,36514,100,""
133,36515,100,""
134,36516,100,""
135,36517,100,""
136,36518,100,""
137,36519,100,""
138,36520,54,""
139,36521,57,""
140,36522,60,""
141,36523,54,""
142,36524,57,""
143,36525,60,""
144,36526,54,""
145,36527,57,""
146,36528,60,""
147,36529,54,""
148,36530,57,""
149,36531,60,""
150,36532,100,1
151,36533,100,1
152,36534,100,1
153,36535,100,1
154,36536,100,1
155,36537,100,1
156,36538,100,1
