"rownum","Id","i32_8","f32_12","Stat","BuffDefinition1","BuffDefinition2"
0,"Fire",4,24,3658,166,""
1,"Ice",4,0,6320,168,""
2,"CausticCloud",8,5,4664,484,""
3,"Tar",4,0,5027,169,""
4,"Smoke",8,0,12540,1521,""
5,"Desecration",4,24,2231,207,""
6,"Consecration",10,0,8826,208,1265
7,"Lightning",6,0,10418,232,""
8,"Maelstorm",4,4,4917,713,""
9,"Haste",4,0,"",800,""
10,"Sandstorm",0,24,"",890,""
11,"Blizzard",4,0,"",819,""
12,"Spores",4,24,7421,466,""
13,"DevouringDarkness",4,24,"",858,""
14,"Quicksand",0,24,8071,938,""
15,"Blood",0,24,14863,1146,""
16,"TemporalAnomaly",10,0,10217,1033,1423
17,"OrionMeteor",0,0,"",1449,232
18,"CrownOfThorns",4,24,"",1599,""
19,"VaalCloud",4,24,"",315,""
20,"Profane",10,0,"",1569,""
21,"ChaosOfferingOfJudgement",6,24,"",510,533
22,"FireOfferingOfJudgement",6,24,"",509,533
23,"DespairBearGeyser",0,24,"",883,""
24,"Fungal",0,0,"",1413,1415
25,"BestiarySpiderWeb",0,24,"",1063,""
26,"VaalColdSnap",4,24,8014,1140,""
27,"Oil",4,24,16097,1655,166
28,"Scorch",4,0,"",1749,""
29,"GravityWell",0,24,4917,1788,""
30,"LightningVortex",4,4,14133,1816,232
31,"Brittle",4,0,"",2051,""
32,"Sapping",4,0,"",2052,""
33,"Sludge",4,0,"",2060,""
34,"Sanctum",4,0,17709,2143,""
35,"SanctumFire",4,0,3658,167,""
36,"SanctumChaos",8,5,4664,485,""
37,"PhysFireLifeRecover",4,24,19880,170,""
38,"IceLightning",4,0,21568,168,232
39,"EshGraftGround",4,0,"",2641,""
40,"Oasis",0,0,"",2688,""
41,"Brine",0,0,"",2727,2728
