"rownum","rid_0","rid_16"
0,21604,342
1,21605,436
2,21606,21047
3,21607,3351
4,21608,70
5,21613,14496
6,21614,896
7,21615,8230
8,21610,636
9,21612,5800
10,21611,1926
11,21660,24
12,21661,217
13,21662,661
14,21663,1509
15,21544,21544
16,21545,21545
17,21664,15188
18,21546,21546
19,21665,556
20,21666,16550
21,21693,175
22,21550,21550
23,21694,7913
24,21695,21695
25,21696,595
26,21551,9563
27,21697,613
28,21698,1504
29,21699,21699
30,21700,177
31,21701,11882
32,21702,6835
33,21703,15189
34,21704,457
35,21705,1506
36,21706,19304
37,21708,636
38,21707,21707
39,21709,14823
40,21566,21566
41,21710,2372
42,21568,21568
43,21711,21711
44,21582,21582
45,21581,21581
46,21712,21712
47,21713,21713
48,21714,21714
49,21748,6117
50,21749,6350
51,21565,21565
52,21750,10345
53,21584,21584
54,21586,21586
55,21758,21758
56,21759,21759
57,21867,20800
58,21552,21552
59,21868,21935
60,21869,596
61,21872,8498
62,21873,10652
63,21570,21570
64,21874,15884
65,21587,21587
66,21899,10791
67,21914,95
68,21616,18451
69,21578,21578
70,21577,21577
71,21931,21931
72,21932,21932
73,21933,21933
74,21940,10790
75,21941,597
76,21946,490
77,21947,161
78,21948,2096
79,21949,4591
80,21950,6837
81,21951,4665
82,21959,21959
83,22031,22031
84,22032,22032
85,22033,22033
86,21930,21930
87,21572,21572
88,22057,22057
89,22058,22058
