"rownum","Stat","StatValue","bool_20"
0,0,100,""
1,8194,600,1
2,9955,1,1
3,8816,10,1
4,8817,10,""
5,2470,10,1
6,9910,10,1
7,9911,10,1
8,5670,10,""
9,5808,10,1
10,3643,10,""
11,2325,100,""
12,3381,1,""
13,3380,1,""
14,5861,10,""
15,2323,7,1
16,3064,10,""
17,3065,8,""
18,4819,1,1
19,5884,1,1
20,8625,10,1
21,6606,5,""
22,13917,1,""
23,10398,1,1
24,9410,10,""
25,11861,1,1
26,13388,100,""
27,4978,0,""
28,10111,10,1
29,8529,4,1
30,11853,10,""
31,8136,1,""
32,12200,100,1
33,13592,10,""
34,13699,100,""
35,13700,100,""
36,13729,100,""
37,15973,100,""
38,13826,1,""
39,13870,100,1
40,14600,1,""
41,14660,10,""
42,15513,1,""
43,16218,100,""
44,16234,100,""
45,17062,1,""
46,17061,1,""
47,16230,1,""
48,16224,1,""
49,16228,1,""
50,17059,1,1
51,16759,10,""
52,16835,10,""
53,16901,10,""
54,16946,10,""
55,17049,0,""
56,2347,1,""
57,4962,1,""
58,17054,1,""
59,17102,100,""
60,17138,100,""
61,17133,100,""
62,17137,100,""
63,17182,10,""
64,17512,1,""
65,17785,1,""
66,19090,100,""
67,19091,100,""
68,19089,1,""
69,19092,1,""
70,19093,1,""
71,19995,1,""
72,13878,100,""
73,19997,1,""
74,13876,100,""
75,19998,1,""
76,13877,100,""
77,19942,100,""
78,19944,100,""
79,19943,100,""
80,20490,1,""
81,20756,10,""
82,20762,10,""
83,20977,1,""
84,21026,100,""
85,21025,1,""
86,21028,100,""
87,21027,100,""
88,21029,1,""
89,21030,10,1
90,21107,1,""
91,21172,1,1
92,21219,100,""
93,21551,1,""
94,21689,1,1
