"rownum","Id","MiscAnimated","i32_24","i32_28","i32_32","i32_36","i32_40","bool_44","i32_45","i32_49","i32_53","bool_57","[rid]_58","bool_74","i32_75","i32_79","i32_83","i32_87","i32_91","bool_95","Script","bool_104","i32_105","bool_109","i32_110","i32_114","bool_118","i32_119","MetadataIDs","ScriptCommand","string_147","string_155","string_163","string_171","i32_179","bool_183","bool_184","[rid]_185","i32_201","bool_205","i32_206","bool_210","i32_211","i32_215","i32_219"
0,"1",[2281],250,1,3,47,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",1,4,"",1,[],"triggerer.EMP(2.5);","","","","",0,1,1,[],0,"",0,"",0,0,0
1,"2",[],0,1,4,22,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",1,4,1,4,"[""Metadata/Monsters/LeagueDelve/CityBosses/Objects/DelveProtoVaalCityBossCrystal""]","triggerer.Transition();","","","","",0,1,1,[],0,"",0,"",0,0,0
2,"3",[2398],4600,1,2,180,0,1,13,13,0,"",[],"",2,10,7,0,0,"","","",2,"",1,4,1,4,"[""Metadata/MiscellaneousObjects/Monolith""]","triggerer.CrackMonolith();","","","","",0,"","",[],0,"",0,"",0,0,0
3,"4",[],4600,1,2,180,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",1,4,1,4,"[""Metadata/Terrain/Leagues/Delve/Objects/DelveLightEncounter_Essence""]","triggerer.Transition();","","","","",0,"","",[],0,"",0,"",0,0,0
4,"5",[2433],0,1,4,25,0,1,13,13,0,1,[],"",1,0,7,0,0,1,"","",2,"",1,4,"",4,"[""Metadata/Monsters/Mannequin/MannequinStoneDelveInert""]","triggerer.Transition();","","","","",0,1,1,[],0,"",0,"",0,0,0
5,"6",[],100,1,2,70,0,1,13,13,0,"",[],"",1,0,7,0,0,"","","",2,"",5,4,1,4,"[""Metadata/Monsters/ReligiousTemplar/AbyssLichBoss/AbyssLichObelisk""]","triggerer.Transition();","","","","",0,"","",[],0,"",0,"",0,0,0
6,"7",[],2000,1,2,200,0,1,13,13,0,"",[],"",1,0,7,0,0,"","","",2,"",5,4,1,4,"[""Metadata/Monsters/LeagueDelve/CityBosses/Objects/DelveBossAbyssBeamTarget"",""Metadata/Monsters/LeagueDelve/CityBosses/Objects/DelveBossAbyssBeamTargetInner""]","triggerer.Transition();","","","","",0,"","",[],0,"",0,"",0,0,0
7,"8",[],2000,1,2,200,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/ProtoVaal/ProtoVaalMapBossGeyser"",""Metadata/Monsters/ProtoVaal/ProtoVaalMapBossGeyser2"",""Metadata/Monsters/ProtoVaal/ProtoVaalMapBossGeyser3"",""Metadata/Monsters/ProtoVaal/ProtoVaalMapBossGeyser4""]","triggerer.Transition();","","","","",0,1,1,[],0,"",0,"",0,0,0
8,"9",[2553],770,2,2,60,0,1,6,2,10,1,[],"",3,0,4,0,0,"","","",2,"",1,4,"",4,"[""Metadata/Monsters/LeagueBetrayal/BetrayalZombie"",""Metadata/Monsters/LeagueBetrayal/BetrayalZombieSpawned"",""Metadata/Monsters/LeagueBetrayal/BetrayalZombieSiegeGuard""]","triggerer.ModifyState(enrage, 1);","","","","",0,1,1,[],0,"",60,"",0,0,0
9,"10",[2568],770,1,2,60,0,1,13,13,0,1,[],"",2,0,7,0,0,"","","",2,"",1,4,1,1,[],"triggerer.HealPercent(10);","","","","",0,1,1,[],0,"",0,"",0,0,0
