"rownum","SetId","AchievementsRequired","Rewards","TotemPieceEveryNAchievements","Message","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)","NotificationIcon","HideoutName","HideoutName (French)","HideoutName (German)","HideoutName (Japanese)","HideoutName (Korean)","HideoutName (Portuguese)","HideoutName (Russian)","HideoutName (Spanish)","HideoutName (Thai)","HideoutName (Traditional Chinese)","Id"
0,8,1,[227],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBootsCerulean"
1,8,2,[226],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBodyCerulean"
2,8,3,[228],0,"","","","","","","","","","","","","","","","","","","","","","SeraphGlovesCerulean"
3,8,4,[229],0,"","","","","","","","","","","","","","","","","","","","","","SeraphHelmetCerulean"
4,9,1,[239],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBootsSanguine"
5,9,2,[238],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBodySanguine"
6,9,3,[240],0,"","","","","","","","","","","","","","","","","","","","","","SeraphGlovesSanguine"
7,9,4,[241],0,"","","","","","","","","","","","","","","","","","","","","","SeraphHelmetSanguine"
8,7,1,[5601],1,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole1"
9,10,1,[5603],1,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole2"
10,11,5,[231],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBootsGolden"
11,11,10,[232],0,"","","","","","","","","","","","","","","","","","","","","","SeraphGlovesGolden"
12,11,15,[230],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBodyGolden"
13,11,20,[233],0,"","","","","","","","","","","","","","","","","","","","","","SeraphHelmetGolden"
14,12,7,[378],0,"","","","","","","","","","","","","","","","","","","","","","RigwaldBoots"
15,12,14,[379],0,"","","","","","","","","","","","","","","","","","","","","","RigwaldGloves"
16,12,21,[380],0,"","","","","","","","","","","","","","","","","","","","","","RigwaldBody"
17,12,28,[377],0,"","","","","","","","","","","","","","","","","","","","","","RigwaldHelmet"
18,12,18,[5605],2,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole3"
19,13,12,[413],0,"","","","","","","","","","","","","","","","","","","","","","PerandusFootprints"
20,13,24,[414],0,"","","","","","","","","","","","","","","","","","","","","","PerandusWeapon"
21,13,36,[415],0,"","","","","","","","","","","","","","","","","","","","","","PerandusPortal"
22,13,19,[5607],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole4"
23,14,12,[436],0,"","","","","","","","","","","","","","","","","","","","","","ProphecyFootprints"
