"rownum","Id"
0,"MultipleProjectiles"
1,"AdditionalChains"
2,"SpellCascade"
3,"CastSpeed"
4,"PoisonChance"
5,"TrapThrowSpeed"
6,"RageWarcry"
7,"Generosity"
8,"Duration"
9,"Bleed"
10,"AddedChaos"
11,"TrapMineDamage"
12,"DOTReducedDuration"
13,"Hypothermia"
14,"StrikeRange"
15,"Cooldown"
16,"ColdPenetration"
17,"LightPenetration"
18,"FirePenetration"
19,"AilmentDamage"
20,"RageOnHit"
21,"AttackSpeed"
22,"ImpaleChance"
23,"ConcEffect"
24,"DotMulti"
25,"TotemDefences"
26,"AddedCold"
27,"AddedLightning"
28,"WED"
29,"NonDamagingAilmentEffect"
30,"WitherOnHit"
31,"CritChance"
32,"ProjectileSpeed"
33,"PhysGainAs"
34,"Brutality"
35,"EleFocus"
36,"CritDamage"
37,"Pierce"
38,"ChaosPen"
39,"WarcrySpeed"
40,"MinionDamage"
41,"Multistrike"
42,"AddedFire"
43,"MeleePhys"
44,"MinionLife"
45,"ShockChance"
46,"IgniteChance"
47,"ChannelSkillDamageReduction"
48,"Pulverise"
49,"IgnorePhysMit"
50,"FreezeChance"
51,"IncreaseAreaOfEffect"
52,"Excommunicate"
