"rownum","Id","MasteryEffects","InactiveIcon","ActiveIcon","ActiveEffectImage","bool_48","SoundEffect","MasteryCountStat"
0,"Accuracy","[0,1,2,3,4,5]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryAccuracyInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryAccuracyActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryAccuracyPattern",1,324,16541
1,"Armour","[6,7,8,9,10,11]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryArmourInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryArmourActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryArmourPattern",1,306,16542
2,"ArmourEvasion","[12,13,14,15,16,17]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryArmourAndEvasionInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryArmourAndEvasionActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryArmourAndEvasionPattern",1,308,16543
3,"ArmourEnergyShield","[18,19,20,21,22,23]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryArmourAndEnergyShieldInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryArmourAndEnergyShieldActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryArmourAndEnergyShieldPattern",1,307,16544
4,"Attack","[24,25,26,27,28,29]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryAttackInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryAttackActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryAttackPattern",1,318,16545
5,"Attributes","[30,31,32,33,34]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryAttributesInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryAttributesActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryAttributesPattern",1,325,16546
6,"Axe","[35,36,37,38,39,40]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryAxeInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryAxeActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryAxePattern",1,320,16547
7,"Banner","[41,42,43,44,337]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryBannerInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveBannerStunActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryBannerPattern","",305,20405
8,"Bleeding","[45,46,47,48,49,50]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryBleedingInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryBleedingActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryBleedingPattern","",309,16548
9,"Blind","[51,52,53,54]","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryBlindInactive.dds","Art/2DArt/SkillIcons/passives/MasteryPassiveIcons/PassiveMasteryBlindActive.dds","Art/2DArt/UIImages/InGame/PassiveMastery/MasteryBackgroundGraphic/MasteryBlindPattern","",324,16549
