"rownum","Id","ChestsKeys","[i32]_24","i32_40","i32_44","i32_48"
0,"Barrels","[0,1,2,3,4]","[2,2,10,4,2]",4,6,10
1,"BarrelsOld","[8,9,10,11,12]","[2,2,10,4,2]",4,6,10
2,"BarrelsSmall","[0,1,2,3,4]","[2,2,10,4,2]",3,4,10
3,"BarrelsSmallOld","[8,9,10,11,12]","[2,2,10,4,2]",3,4,10
4,"Pots","[79,80,81,82,83,84]",[],4,6,8
5,"Urns","[85,86,87,88,89]",[],4,6,8
6,"GoldPots","[136,137,138,139,140,141]",[],4,6,8
7,"DarkPots","[163,164,165,166,167,168]",[],4,6,8
8,"GoldPotsBroken","[142,143,144,145,146,147]",[],4,6,8
9,"BarrelsCrates","[0,1,2,3,4,40,41]","[2,2,10,4,2,5,5]",3,6,10
10,"BarrelsCratesOld","[8,9,10,11,12,40,41]","[2,2,10,4,2,5,5]",3,6,10
11,"BarrelsCratesSmall","[0,1,2,3,4,40,41]","[2,2,10,4,2,5,5]",3,4,10
12,"BarrelsCratesSmallOld","[8,9,10,11,12,40,41]","[2,2,10,4,2,5,5]",3,4,10
13,"Baskets","[13,14,15]",[],3,4,5
14,"BasketsOld","[16,17,18]",[],3,4,5
15,"CairnsSmall","[26,27,28]",[],3,4,8
16,"BramblefallCairns","[2277,2278,2279]",[],3,4,8
17,"ExplosiveBarrels","[0,1,8,9]","[2,2,4,4]",6,12,16
18,"WealthyBarrels","[504,505,506]","[4,1,2]",5,9,16
19,"VolatileBarrels",[507],[],4,8,16
20,"BloodwormBarrels",[509],[],5,10,16
21,"ParasiteBarrels",[510],[],5,10,16
22,"BeaconBarrels","[511,512,513,514]","[2,2,2,2]",4,8,16
23,"SilverPots","[169,170,171,172,173,174]",[],4,6,8
24,"InfestationEggsGreen","[61,62,63]","[2,1,2]",4,6,10
25,"InfestationEggsGreenSmall","[61,62,63]","[2,1,2]",3,4,10
26,"InfestationEggsPurple","[55,56,57]","[2,1,2]",4,6,10
27,"InfestationEggsPurpleSmall","[55,56,57]","[2,1,2]",3,4,10
28,"FungalBloomCluster","[67,65,66]","[2,1,2]",3,4,10
29,"AbyssBonesCluster",[543],[],2,4,8
30,"VaseCeramicCluster","[554,555,556]",[],4,6,8
31,"VaseNewCluster","[557,558,559,566,567,568]",[],4,6,8
32,"VaseOldCluster","[563,564,565]",[],4,6,8
33,"VaseMetalCluster","[560,561,562]",[],4,6,8
34,"VaseOrnateCluster","[566,567,568]",[],4,6,8
35,"WormJarCluster","[68,69,70,71]",[],4,6,10
36,"RatCrateCluster","[72,73,74]",[],4,6,10
37,"SynthesisPoisonCluster","[1591,1592,1593]","[1,2,2]",4,7,10
38,"SynthesisSkeletonCluster",[1594],[],3,5,10
39,"SynthesisExplosiveCluster",[1595],[],4,8,12
40,"SynthesisBloodwormCluster",[1596],[],3,5,10
41,"SynthesisParasiteCluster",[1597],[],3,5,10
42,"SynthesisCursedCluster",[1600],[],1,3,8
43,"MarakethUrns","[32,33,34]",[],2,4,12
44,"IncursionLargeCausticPlants","[61,62,63,64]","[4,2,4,1]",4,6,16
45,"IncursionParasiticCausticPlants","[61,62,63,64]","[2,1,2,2]",5,7,16
46,"HeistClusterChestBunker","[0,1,2,3,4,40,41]","[2,2,10,4,2,5,5]",1,2,12
47,"HeistClusterChestMines","[8,9,10,11,12]","[2,2,10,4,2]",3,6,10
48,"HeistClusterChestReliquary","[163,164,165,166,167,168]",[],4,6,8
49,"HeistClusterChestDungeon","[75,76,77,78]",[],3,5,10
50,"HeistClusterChestMansion","[136,137,138,139,140,141]",[],1,2,12
51,"HeistClusterChestSewers","[0,1,2,3,4,40,41]","[2,2,10,4,2,5,5]",3,6,10
52,"HeistClusterChestRobotTunnels","[560,561,562,169,170,171]","[3,5,3,2,2,2]",2,4,10
53,"HeistClusterChestLibrary","[248,554,555,556,557,558,559]","[1,3,3,3,2,2,2]",1,3,10
54,"VolatileBarrelsRoyale",[508],[],4,8,16
