"rownum","Id","TimeoutInSeconds","ChargesShared","Player_ShrineBuffsKey","i32_29","i32_33","Monster_ShrineBuffsKey","SummonMonster_MonsterVarietiesKey","SummonPlayer_MonsterVarietiesKey","i32_85","Duration","ShrineSoundsKey","bool_109","AchievementItemsKeys","IsPVPOnly","bool_127","IsLesserShrine","Description","Name","bool_161","Mods","MonsterPacks"
0,"Acceleration",0,"",383,30,1,384,"","",50,45,3,"",[11525],"",1,"",6059,6058,"","",[]
1,"Lightning",0,"",396,80,4,"",2918,2919,0,45,2,"",[11525],"","","",6061,6060,"","",[]
2,"Cold",0,"",394,80,4,"",2920,2921,0,45,0,"",[11525],"","","",6063,6062,"","",[]
3,"Fire",0,"",393,0,10,"",2916,2917,0,45,1,"",[11525],"","","",6065,6064,"","",[]
4,"Arc",0,"",398,0,10,"",2924,2925,0,45,2,"","[516,11525]","","","",6067,6066,"","",[]
5,"Criticals",0,"",391,30,1,392,"","",50,45,7,"",[11525],"",1,"",6069,6068,"","",[]
6,"Brutal",0,"",387,30,1,388,"","",50,45,5,"",[11525],"",1,"",6071,6070,"","",[]
7,"Thorns",0,"",389,0,40,390,"","",50,45,6,"","[519,11525]","",1,"",6073,6072,"","",[]
8,"Regen",0,1,385,30,1,386,"","",50,45,4,"",[11525],"",1,"",6075,6074,"","",[]
9,"Massive",0,"",407,60,10,408,"","",50,45,4,"",[11525],"",1,"",6077,6076,"","",[]
10,"Defence",0,"",409,80,25,410,"","",50,45,6,"",[11525],"",1,"",6079,6078,"","",[]
11,"Resistance",0,"",411,80,40,412,"","",50,45,6,"",[11525],"",1,"",6081,6080,"","",[]
12,"GodMode",0,"",413,3,60,414,"","",50,20,6,"",[11525],"",1,"",6083,6082,"","",[]
13,"Multi",0,"",404,10,60,403,"","",50,45,7,"",[11525],"",1,"",6085,6084,"","",[]
14,"Curses",0,"",406,0,25,405,"",3214,50,45,5,"","[526,11525]","","","",6087,6086,"","",[]
15,"Skeletons",0,"",399,40,25,"",2926,2927,0,45,8,"",[11525],"","","",6089,6088,"","",[]
16,"Smoke",0,"",402,60,40,"",2922,2923,0,45,9,"",[11525],"","","",6091,6090,"","",[]
17,"PVPAcceleration",45,"",383,100,0,"","","",0,12,3,1,[],"","","",6093,6092,"","",[]
18,"PVPRegen",45,1,385,100,0,"","","",0,12,4,1,[],"","","",6095,6094,"","",[]
19,"PVPBrutal",45,"",387,100,0,"","","",0,20,5,1,[],"","","",6097,6096,"","",[]
20,"CTFBrutal",45,"",387,100,0,"","","",0,20,5,1,[],1,"","",6099,6098,"","",[]
21,"CTFRegen",45,1,385,100,0,"","","",0,20,4,1,[],1,"","",6101,6100,"","",[]
22,"CTFMassive",45,"",407,100,0,"","","",0,20,4,1,[],1,"","",6103,6102,"","",[]
23,"CTFDefence",45,"",409,100,0,"","","",0,20,6,1,[],1,"","",6105,6104,"","",[]
24,"AccelerationLesser",0,"",416,30,1,"","","",0,20,3,"",[],"",1,1,6059,6106,"","",[]
25,"BrutalLesser",0,"",417,30,1,"","","",0,20,5,"",[],"",1,1,6071,6107,"","",[]
26,"RegenLesser",0,"",418,30,1,"","","",0,20,4,"",[],"",1,1,6075,6108,"","",[]
27,"MassiveLesser",0,"",419,60,1,"","","",0,20,4,"",[],"",1,1,6077,6109,"","",[]
28,"ResistanceLesser",0,"",420,80,1,"","","",0,20,6,"",[],"",1,1,6081,6110,"","",[]
29,"DefenceLesser",0,"",421,80,1,"","","",0,20,6,"",[],"",1,1,6079,6111,"","",[]
30,"Resonating",0,"",422,10,60,423,"","",50,45,10,"",[11525],"",1,"",6113,6112,"","",[]
31,"Gloom",0,"",424,10,60,425,"","",50,45,11,"",[11525],"",1,"",6115,6114,"","",[]
32,"RoyaleShrineAccelerating",60,"",433,100,0,"","","",0,10,3,"",[],"","","",6059,6058,1,"",[]
33,"RoyaleShrineBrutal",60,"",434,100,0,"","","",0,10,5,"",[],"","","",6071,6070,1,"",[]
34,"RoyaleShrineBurning",60,"",435,0,0,"",2916,2917,0,10,1,"",[],"","","",6065,6064,1,"",[]
35,"RoyaleShrineCharged",60,"",436,100,0,"","","",0,10,10,"",[],"","","",6113,6112,1,"",[]
36,"RoyaleShrineDiamond",60,"",437,100,0,"","","",0,10,7,"",[],"","","",6069,6068,1,"",[]
37,"RoyaleShrineEchoing",60,"",438,100,0,"","","",0,10,7,"",[],"","","",6085,6084,1,"",[]
38,"RoyaleShrineFreezing",60,"",439,0,0,"",2920,2921,0,10,0,"",[],"","","",6063,6062,1,"",[]
39,"RoyaleShrineGloom",60,"",440,0,0,"","","",0,10,11,"",[],"","","",6087,6114,1,"",[]
40,"RoyaleShrineHexing",60,"",441,100,0,"","",3214,0,10,5,"",[],"","","",6087,6086,1,"",[]
41,"RoyaleShrineImpenetrable",60,"",442,0,0,"","","",0,10,6,"",[],"","","",6079,6078,1,"",[]
42,"RoyaleShrineLightning",60,"",443,0,0,"",2918,2919,0,10,2,"",[],"","","",6061,6060,1,"",[]
43,"RoyaleShrineMassive",60,"",444,100,0,"","","",0,10,4,"",[],"","","",6077,6076,1,"",[]
44,"RoyaleShrineReplenishing",60,"",445,100,0,"","","",0,10,4,"",[],"","","",6075,6074,1,"",[]
45,"RoyaleShrineResistance",60,"",446,100,0,"","","",0,10,6,"",[],"","","",6081,6080,1,"",[]
46,"RoyaleShrineShrouded",60,"",447,0,0,"",2922,2923,0,10,9,"",[],"","","",6091,6090,1,"",[]
47,"RoyaleShrineStatic",60,"",448,0,0,"",2924,2925,0,10,2,"",[],"","","",6067,6066,1,"",[]
48,"Greed",0,"",453,0,0,452,"","",50,45,12,"",[11525],"",1,"",6132,6131,"","",[]
49,"BrineKing",0,"",518,0,0,519,"","",50,45,0,"",[11525],"",1,"",6481,6465,"",33235,"[2856,2857,2858,2859,2860]"
50,"Lunaris",0,"",520,0,0,521,"","",50,45,0,"",[11525],"",1,"",6482,6466,"",33231,"[2861,2862,2863,2864]"
51,"Solaris",0,"",522,0,0,523,"","",50,45,1,"",[11525],"",1,"",6483,6467,"",33232,"[2865,2866,2867,2868]"
52,"Arakaali",0,"",524,0,0,525,"","",50,45,11,"",[11525],"",1,"",6484,6468,"",33233,"[2869,2870,2871,2872]"
53,"Warlord",0,"",658,0,0,426,10363,10441,50,45,1,"",[11525],"",1,"",6475,6469,"","","[2481,2482,2483]"
54,"Crusader",0,"",659,0,0,428,10364,10442,50,45,2,"",[11525],"",1,"",6476,6470,"","","[2454,2455,2456,2457]"
55,"Redeemer",0,"",660,0,0,429,10365,10443,50,45,0,"",[11525],"",1,"",6478,6472,"","","[2463,2464,2465,2466,2467]"
56,"Hunter",0,"",661,0,0,427,10366,10444,50,45,11,"",[11525],"",1,"",6477,6471,"","","[2473,2474,2475,2476,2477]"
57,"Vaal",0,"",662,0,0,430,10367,10367,50,45,5,"",[11525],"",1,"",6479,6473,"","",[]
58,"UpgradeOnKill",0,"",663,0,0,431,"","",50,45,9,"",[11525],"",1,"",6480,6474,"","",[]
59,"GreaterLightning",0,"",397,0,0,"",2918,2919,0,0,2,"",[],"","","",6061,8138,"","",[]
60,"GreaterCold",0,"",395,0,0,"",2920,2921,0,0,0,"",[],"","","",6063,8139,"","",[]
61,"GreaterSkeletons",0,"",400,0,0,"",2926,2927,0,0,8,"",[],"","","",6089,8140,"","",[]
62,"Faridun",0,"",401,0,0,432,"","",50,45,12,"",[11525],"",1,"",8146,8145,"","","[3138,3139,3140]"
63,"BloodShrineRat",0,"",746,0,0,"","",2930,0,10,"","",[],"","","",8290,8285,"","",[]
64,"BloodShrineSwarm",0,"",747,0,0,"","",2928,0,10,"","",[],"","","",8291,8286,"","",[]
65,"BloodShrineToad",0,"",748,0,0,"","","",0,10,"","",[],"","","",8292,8287,"","",[]
66,"BloodShrineCrow",0,"",749,0,0,"","","",0,10,"","",[],"","","",8293,8288,"","",[]
67,"BloodShrineBat",0,"",750,0,0,"","","",0,10,"","",[],"","","",8294,8289,"","",[]
