"rownum","Id","QuestFlag","AreaLevel","Monster","rid_44","i32_60","QuestFlag2","i32_80","i32_84","i32_88"
0,"RitualMaven",2357,84,9008,"",36,2357,2,1770,0
1,"ArchnemesisMaven",2357,84,9008,"",42,2613,2,1770,0
2,"ArchnemesisExarch",2611,84,9576,"",42,2613,2,1770,0
3,"ArchnemesisEater",2612,84,9578,"",42,2613,2,1770,0
4,"SentinelUberEater",2618,85,9578,"",44,2617,2,1770,0
5,"SentinelUberExarch",2619,85,9576,"",44,2617,2,1770,0
6,"SentinelUberMaven",2620,85,9008,"",44,2617,2,1770,0
7,"SentinelUberSirus",2621,85,8365,"",44,2617,2,1770,0
8,"SentinelUberVenarius",2622,85,7594,"",44,2617,2,1770,0
9,"SentinelUberUberElder",2623,85,6375,"",44,2617,2,1770,0
10,"SentinelUberShaper",2624,85,5269,"",44,2617,2,1770,0
11,"KalandraUberEater",2618,85,9578,"",45,2617,2,1770,0
12,"KalandraUberExarch",2619,85,9576,"",45,2617,2,1770,0
13,"KalandraUberMaven",2620,85,9008,"",45,2617,2,1770,0
14,"KalandraUberSirus",2621,85,8365,"",45,2617,2,1770,0
15,"KalandraUberVenarius",2622,85,7594,"",45,2617,2,1770,0
16,"KalandraUberUberElder",2623,85,6375,"",45,2617,2,1770,0
17,"KalandraUberShaper",2624,85,5269,"",45,2617,2,1770,0
18,"CrucibleUberEater",2618,85,9578,"",47,2617,1,1770,0
19,"CrucibleUberExarch",2619,85,9576,"",47,2617,1,1770,0
20,"MercenaryAnger",3306,84,10375,"",55,3308,2,1770,2
21,"MercenaryBenevolence",3307,84,10364,"",55,3308,2,1770,2
22,"MercenaryIgnorance",3305,84,10382,"",55,3308,2,1770,2
23,"KeepersEventBenevolence",3307,85,10365,"",57,3515,2,1770,2
