"rownum","BaseType","Type","Charges","Duration","EnemyLimit","Visual","Empowerment","UseAchievement","CreatedViaPowerCore"
0,4701,0,8,30,15,1807,5,8669,""
1,4702,0,10,30,25,1797,10,8670,""
2,4703,0,8,40,30,1795,16,8671,""
3,4704,0,8,40,50,1803,22,8672,""
4,4705,0,10,50,75,1796,28,8673,""
5,4706,0,8,50,85,1808,34,8674,""
6,4707,0,12,100,100,1798,40,8675,1
7,4708,0,18,60,100,1801,45,8676,1
8,4709,0,12,60,150,1802,50,8677,1
9,4710,1,8,10,30,1797,18,8678,""
10,4711,1,10,10,30,1795,20,8679,""
11,4712,1,8,10,50,1803,22,8680,""
12,4713,1,10,10,80,1796,24,8681,""
13,4714,1,8,10,100,1808,26,8682,""
14,4715,1,12,10,200,1798,20,8683,1
15,4716,1,18,10,120,1801,30,8684,1
16,4717,1,12,10,70,1802,35,8685,1
17,4718,2,12,20,2,1797,30,8686,""
18,4719,2,8,30,2,1811,35,8687,""
19,4720,2,8,50,3,1803,40,8688,""
20,4721,2,10,30,3,1796,45,8689,""
21,4722,2,8,40,4,1808,42,8690,""
22,4723,2,12,50,4,1798,45,8691,1
23,4724,2,18,30,4,1801,50,8692,1
24,4725,2,12,30,4,1802,55,8693,1
25,4726,2,5,20,1,1799,100,8694,""
