"rownum","Id","CurrencyItem","CurrencyCount","ItemClass","bool_56","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","i32_65","rid_69"
0,"AltSpam",[],[],[],"","<whiteitem>{Normal} Item","Objet <whiteitem>{Normal}","<whiteitem>{normalen} Gegenstand","<whiteitem>{ノーマル}アイテム","<whiteitem>{일반} 아이템","<whiteitem>{Normal} Item","<whiteitem>{Обычный} предмет","Objeto <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}","<whiteitem>{普通} 物品",1,""
1,"Essences",[],[],[],"","","Objet <whiteitem>{Normal} modifiable avec une Essence","","エッセンスでクラフトできる<whiteitem>{ノーマル}アイテム","","","","","","",0,""
2,"Essences2",[],[],[],"","","Objet <whiteitem>{Normal} modifiable avec une Essence","<whiteitem>{normalen} mit Essenzen anfertigbaren Gegenstand","エッセンスでクラフトできる<whiteitem>{ノーマル}アイテム","<whiteitem>{일반} 에센스 제작 아이템","Item <whiteitem>{normal} criável com essência","<whiteitem>{Обычный} предмет под ремесло с Сущностью","Objeto de fabricación de esencias <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}ที่​คราฟท์​ได้​ด้วย​เอสเซนส์","<whiteitem>{普通}精髓工藝物品",0,""
3,"Essences3",[],[],[],"","","Objet <whiteitem>{Normal} modifiable avec une Essence","<whiteitem>{normalen} mit Essenzen anfertigbaren Gegenstand","エッセンスでクラフトできる<whiteitem>{ノーマル}アイテム","<whiteitem>{일반} 에센스 제작 아이템","Item <whiteitem>{normal} criável com essência","<whiteitem>{Обычный} предмет под ремесло с Сущностью","Objeto de fabricación de esencias <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}ที่​คราฟท์​ได้​ด้วย​เอสเซนส์","<whiteitem>{普通}精髓工藝物品",0,""
4,"ChaosSpam",[],[],[],"","<whiteitem>{Normal} Item","Objet <whiteitem>{Normal}","<whiteitem>{normalen} Gegenstand","<whiteitem>{ノーマル}アイテム","<whiteitem>{일반} 아이템","<whiteitem>{Normal} Item","<whiteitem>{Обычный} предмет","Objeto <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}","<whiteitem>{普通} 物品",1,""
5,"ExaltAnnul",[],[],[],"","<whiteitem>{Normal} Item","Objet <whiteitem>{Normal}","<whiteitem>{normalen} Gegenstand","<whiteitem>{ノーマル}アイテム","<whiteitem>{일반} 아이템","<whiteitem>{Normal} Item","<whiteitem>{Обычный} предмет","Objeto <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}","<whiteitem>{普通} 物品",1,""
6,"HardModeShieldCraft",[],[],[26],"","<whiteitem>{Normal} Shield","Bouclier <whiteitem>{Normal}","<whiteitem>{normalen} Schild","<whiteitem>{ノーマル}盾","<whiteitem>{일반} 방패","<whiteitem>{Normal} Escudo","<whiteitem>{Обычный} щит","Escudo <whiteitem>{normal}","โล่<whiteitem>{ธรรมดา}","<whiteitem>{普通} 盾牌",1,""
7,"HardModeBeltCraft",[],[],[21],"","<whiteitem>{Normal} Belt","Ceinture <whiteitem>{Normale}","<whiteitem>{normalen} Gürtel","<whiteitem>{ノーマル}ベルト","<whiteitem>{일반} 허리띠","<whiteitem>{Normal} Cinto","<whiteitem>{Обычный} пояс","Cinturón <whiteitem>{normal}","เข็มขัด<whiteitem>{ธรรมดา}","<whiteitem>{普通} 腰帶",1,""
8,"HardModeGloveCraft",[],[],[22],"","<whiteitem>{Normal} Gloves item","Gants <whiteitem>{Normaux}","<whiteitem>{normale} Handschuhe","<whiteitem>{ノーマル}手袋","<whiteitem>{일반} 장갑 아이템","<whiteitem>{Normal} Item Luvas","<whiteitem>{Обычные} перчатки","Guantes <whiteitem>{normales}","ไอเทมถุงมือ<whiteitem>{ธรรมดา}","<whiteitem>{普通} 手套",1,""
9,"HardModeBodyArmourCraft",[],[],[24],"","<whiteitem>{Normal} Body Armour","Armure <whiteitem>{Normale}","<whiteitem>{normale} Körperrüstung","<whiteitem>{ノーマル}鎧","<whiteitem>{일반} 갑옷","<whiteitem>{Normal} Peitoral","<whiteitem>{Обычный} нательный доспех","Armadura <whiteitem>{normal}","เสื้อเกราะ<whiteitem>{ธรรมดา}","<whiteitem>{普通} 胸甲",1,""
10,"HardModeHelmetCraft",[],[],[25],"","<whiteitem>{Normal} Helmet","Casque <whiteitem>{Normal}","<whiteitem>{normalen} Helm","<whiteitem>{ノーマル}兜","<whiteitem>{일반} 투구","<whiteitem>{Normal} Elmo","<whiteitem>{Обычный} шлем","Casco <whiteitem>{normal}","หมวก<whiteitem>{ธรรมดา}","<whiteitem>{普通} 頭盔",1,""
11,"HardModeRingCraft",[],[],[5],"","<whiteitem>{Normal} Ring","Bague <whiteitem>{Normale}","<whiteitem>{normalen} Ring","<whiteitem>{ノーマル}指輪","<whiteitem>{일반} 반지","<whiteitem>{Normal} Anel","<whiteitem>{Обычное} кольцо","Anillo <whiteitem>{normal}","แหวน<whiteitem>{ธรรมดา}","<whiteitem>{普通} 戒指",1,""
12,"HardModeBootsCraft",[],[],[23],"","<whiteitem>{Normal} Boots item","Bottes <whiteitem>{Normales} ","<whiteitem>{normale} Stiefel","<whiteitem>{ノーマル}靴","<whiteitem>{일반} 장화 아이템","<whiteitem>{Normal} Item Botas","<whiteitem>{Обычная} обувь","Botas <whiteitem>{normales}","ไอเทมรองเท้า<whiteitem>{ธรรมดา}","<whiteitem>{普通} 鞋子",1,""
13,"HardModeWeaponCraft",[],[],"[9,10,15,11,16,12,17,13,8,14,56,32,7,57,6,37]","","<whiteitem>{Normal} Weapon","Arme <whiteitem>{Normale}","<whiteitem>{normale} Waffe","<whiteitem>{ノーマル}武器","<whiteitem>{일반} 무기","<whiteitem>{Normal} Arma","<whiteitem>{Обычное} оружие","Arma <whiteitem>{normal}","อาวุธ<whiteitem>{ธรรมดา}","<whiteitem>{普通} 武器",1,""
