"rownum","Id","GrantedEffectsKey","Stat","string_40","bool_48","bool_49","bool_50","MiscAnimated","bool_67","bool_68","bool_69","bool_70","bool_71","bool_72","bool_73","bool_74","[rid]_75","i32_91"
0,"MoltenShell",1579,"","<lock>",1,1,1,17,"",1,"","",1,"","","",[],0
1,"VaalMoltenShell",1580,"","<lock>",1,1,1,18,"",1,"","",1,"","","",[],0
2,"RighteousFire",712,"","<lock>",1,1,1,39,"",1,"","",1,"","","",[],0
3,"RighteousFireAltX",713,"","<lock>",1,1,1,39,"",1,"","",1,"","","",[],0
4,"RighteousFireAltY",714,"","<lock>",1,1,1,39,"",1,"","",1,"","","",[],0
5,"Haste",1957,"","<lock>",1,1,1,9,"",1,"","",1,"","","",[],0
6,"PurityOfElements",1967,"","<lock>",1,1,1,12,"",1,"","",1,"","","",[],0
7,"Vitality",1970,"","<lock>",1,1,1,7,"",1,"","",1,"","","",[],0
8,"Discipline",1979,"","<lock>",1,1,1,12,"",1,"","",1,"","","",[],0
9,"Grace",1986,"","<lock>",1,1,1,10,"",1,"","",1,"","","",[],0
10,"Determination",1998,"","<lock>",1,1,1,11,"",1,"","",1,"","","",[],0
11,"Anger",2005,"","<lock>",1,1,1,39,"",1,"","",1,"","","",[],0
12,"Hatred",2014,"","<lock>",1,1,1,40,"",1,"","",1,"","","",[],0
13,"Wrath",2025,"","<lock>",1,1,1,41,"",1,"","",1,"","","",[],0
14,"Clarity",2053,"","<lock>",1,1,1,12,"",1,"","",1,"","","",[],0
15,"Envy",6393,"","<lock>",1,1,1,4,"",1,"","",1,"","","",[],0
16,"ArcticArmour",2336,"","<lock>",1,1,1,40,"",1,"","",1,"","","",[],0
17,"PurityOfFire",3010,"","<lock>",1,1,1,39,"",1,"","",1,"","","",[],0
18,"PurityOfIce",3015,"","<lock>",1,1,1,40,"",1,"","",1,"","","",[],0
19,"PurityOfLightning",3020,"","<lock>",1,1,1,41,"",1,"","",1,"","","",[],0
20,"HeraldOfAsh",4028,"","<lock>",1,1,1,39,"",1,"","",1,"","","",[],0
21,"HeraldOfIce",4030,"","<lock>",1,1,1,40,"",1,"","",1,"","","",[],0
22,"HeraldOfThunder",4031,"","<lock>",1,1,1,41,"",1,"","",1,"","","",[],0
23,"HeraldOfAgony",4032,"","<lock>",1,1,1,6,"",1,"","",1,"","","",[],0
24,"HeraldOfPurity",4034,"","<lock>",1,1,1,5,"",1,"","",1,"","","",[],0
25,"TemporalChains",1142,"","<lock>","",1,"",57,"",1,"","",1,"","","",[],0
26,"ElementalWeakness",1166,"","<lock>","",1,"",57,"",1,"","",1,"","","",[],0
27,"WarlordsMark",1176,"","<lock>","",1,"",7,"",1,"","",1,"","","",[],0
28,"Punishment",1184,"","<lock>","",1,"",57,"",1,"","",1,"","","",[],0
29,"Enfeeble",1190,"","<lock>","",1,"",57,"",1,"","",1,"","","",[],0
30,"AssassinsMark",1205,"","<lock>","",1,"",9,"",1,"","",1,"","","",[],0
31,"SnipersMark",1214,"","<lock>","",1,"",19,"",1,"","",1,"","","",[],0
32,"Vulnerability",1219,"","<lock>","",1,"",57,"",1,"","",1,"","","",[],0
33,"Flammability",2407,"","<lock>","",1,"",57,"",1,"","",1,"","","",[],0
34,"Frostbite",2421,"","<lock>","",1,"",57,"",1,"","",1,"","","",[],0
35,"Conductivity",2430,"","<lock>","",1,"",57,"",1,"","",1,"","","",[],0
36,"PoachersMark",4044,"","<lock>","",1,"",19,"",1,"","",1,"","","",[],0
37,"NewPunishment",5145,"","<lock>","",1,"",57,"",1,"","",1,"","","",[],0
38,"Despair",9321,"","<lock>","",1,"",57,"",1,"","",1,"","","",[],0
39,"Vortex",5820,"","<lock>","",1,1,14,"",1,1,"",1,"","","",[],0
40,"VortexAltX",5821,"","<lock>","",1,1,14,"",1,1,"",1,"","","",[],0
41,"VortexAltY",5822,"","<lock>","",1,1,14,"",1,1,"",1,"","","",[],0
42,"Focus",10025,"","Head_Attachment",1,1,1,13,"",1,"","",1,"","","",[],0
43,"Malevolence",10499,"","<lock>",1,1,1,12,"",1,"","",1,"","","",[],0
44,"Zealotry",10487,"","<lock>",1,1,1,11,"",1,"","",1,"","","",[],0
45,"WaveOfConviction",10480,"","<lock>",1,1,1,5,"",1,1,"","","","","",[],0
46,"WaveOfConvictionAltX",10481,"","<lock>",1,1,1,5,"",1,1,"","","","","",[],0
47,"WaveOfConvictionAltY",10482,"","<lock>",1,1,1,5,"",1,1,"","","","","",[],0
48,"PurifyingFlame",10405,"","<lock>",1,1,1,5,"",1,1,"","","","","",[],0
49,"PurifyingFlameAltX",10406,"","<lock>",1,1,1,5,"",1,1,"","","","","",[],0
50,"PurifyingFlameAltY",10407,"","<lock>",1,1,1,5,"",1,1,"","","","","",[],0
51,"VaalHaste",1963,"","<lock>",1,1,1,9,"",1,"","",1,"","","",[],0
52,"VaalGrace",1994,"","<lock>",1,1,1,10,"",1,"","",1,"","","",[],0
53,"VaalDiscipline",1980,"","<lock>",1,1,1,12,"",1,"","",1,"","","",[],0
54,"VaalClarity",2056,"","<lock>",1,1,1,12,"",1,"","",1,"","","",[],0
55,"VaalImpurityOfFire",8961,"","<lock>",1,1,1,39,"",1,"","",1,"","","",[],0
56,"VaalImpurityOfIce",8962,"","<lock>",1,1,1,40,"",1,"","",1,"","","",[],0
57,"VaalImpurityOfLightning",8963,"","<lock>",1,1,1,41,"",1,"","",1,"","","",[],0
58,"Precision",10594,"","<lock>",1,1,1,9,"",1,"","",1,"","","",[],0
59,"Pride",10685,"","<lock>",1,1,1,19,"",1,"","",1,"","","",[],0
60,"SignalPrey",10809,"","<lock>",1,1,1,20,"",1,"","",1,"","","",[],0
61,"VaalBurningArrow",3378,"","R_Weapon",1,"","",24,1,"","",1,"","",1,"",[],0
62,"BurningArrow",2037,"","R_Weapon",1,"","",24,1,"","",1,"","",1,"",[],0
63,"BurningArrowAltX",2038,"","R_Weapon",1,"","",24,1,"","",1,"","",1,"",[],0
64,"BurningArrowAltY",2039,"","R_Weapon",1,"","",24,1,"","",1,"","",1,"",[],0
65,"Frenzy",368,"","R_Weapon",1,"","",23,1,"","",1,"","",1,"",[],0
66,"FrenzyAltX",369,"","R_Weapon",1,"","",23,1,"","",1,"","",1,"",[],0
67,"FrenzyAltY",370,"","R_Weapon",1,"","",23,1,"","",1,"","",1,"",[],0
68,"CausticArrow",691,"","R_Weapon",1,"","",29,1,"","",1,"","",1,"",[],0
69,"CausticArrowAltX",692,"","R_Weapon",1,"","",29,1,"","",1,"","",1,"",[],0
70,"CausticArrowAltY",693,"","R_Weapon",1,"","",29,1,"","",1,"","",1,"",[],0
71,"ExplosiveArrow",1107,"","R_Weapon",1,"","",24,1,"","",1,"","",1,"",[],0
72,"ExplosiveArrowAltX",1108,"","R_Weapon",1,"","",24,1,"","",1,"","",1,"",[],0
73,"ExplosiveArrowAltY",1109,"","R_Weapon",1,"","",24,1,"","",1,"","",1,"",[],0
74,"IceShot",2263,"","R_Weapon",1,"","",25,1,"","",1,"","",1,"",[],0
75,"IceShotAltX",2264,"","R_Weapon",1,"","",25,1,"","",1,"","",1,"",[],0
76,"IceShotAltY",2265,"","R_Weapon",1,"","",25,1,"","",1,"","",1,"",[],0
77,"LightningArrow",1945,"","R_Weapon",1,"","",26,1,"","",1,"","",1,"",[],0
78,"LightningArrowAltX",1946,"","R_Weapon",1,"","",26,1,"","",1,"","",1,"",[],0
79,"LightningArrowAltY",1947,"","R_Weapon",1,"","",26,1,"","",1,"","",1,"",[],0
80,"Puncture",1925,"","R_Weapon",1,"","",28,1,"","",1,"","",1,"",[],0
81,"PunctureAltX",1926,"","R_Weapon",1,"","",28,1,"","",1,"","",1,"",[],0
82,"PunctureAltY",1927,"","R_Weapon",1,"","",28,1,"","",1,"","",1,"",[],0
83,"GalvanicArrow",5295,"","R_Weapon",1,"","",26,1,"","",1,"","",1,"",[],0
84,"GalvanicArrowAltX",5296,"","R_Weapon",1,"","",26,1,"","",1,"","",1,"",[],0
85,"GalvanicArrowAltY",5297,"","R_Weapon",1,"","",26,1,"","",1,"","",1,"",[],0
86,"SplitArrow",397,"","R_Weapon",1,"","",27,1,"","",1,"","",1,"",[],0
87,"SplitArrowAltX",398,"","R_Weapon",1,"","",27,1,"","",1,"","",1,"",[],0
88,"SplitArrowAltY",399,"","R_Weapon",1,"","",27,1,"","",1,"","",1,"",[],0
89,"TornadoShot",3991,"","R_Weapon",1,"","",27,1,"","",1,"","",1,"",[],0
90,"TornadoShotAltX",3992,"","R_Weapon",1,"","",27,1,"","",1,"","",1,"",[],0
91,"TornadoShotAltY",3993,"","R_Weapon",1,"","",27,1,"","",1,"","",1,"",[],0
92,"BladeBlast",11003,"","<lock>",1,1,1,30,"",1,1,"","","","","",[],0
93,"BladeBlastAltX",11004,"","<lock>",1,1,1,30,"",1,1,"","","","","",[],0
94,"BladeBlastAltY",11005,"","<lock>",1,1,1,30,"",1,1,"","","","","",[],0
95,"Desecrate",3256,"","<lock>",1,1,1,38,"",1,"","","","","","",[],0
96,"Brandsurge",11256,"","<lock>",1,1,1,42,"",1,"","","","","","",[],0
97,"DeathWish",11489,"","<lock>",1,1,"",49,"",1,"","","","","","",[],0
98,"Fireball",0,"","<lock>",1,1,"",45,"",1,"","","","","","",[],0
99,"FireballAltX",1,"","<lock>",1,1,"",45,"",1,"","","","","","",[],0
100,"FireballAltY",2,"","<lock>",1,1,"",45,"",1,"","","","","","",[],0
101,"FreezingPulse",1031,"","<lock>",1,1,"",52,"",1,"","","","","","",[],0
102,"FreezingPulseAltX",1032,"","<lock>",1,1,"",52,"",1,"","","","","","",[],0
103,"FreezingPulseAltY",1033,"","<lock>",1,1,"",52,"",1,"","","","","","",[],0
104,"Arc",2308,"","<lock>",1,1,"",51,"",1,"","","","","","",[],0
105,"ArcAltX",2309,"","<lock>",1,1,"",51,"",1,"","","","","","",[],0
106,"ArcAltY",2310,"","<lock>",1,1,"",51,"",1,"","","","","","",[],0
107,"ThirstForBlood",11715,"","<lock>",1,1,1,7,"",1,"","",1,"","","",[],0
108,"Firestorm",1367,"","<lock>",1,1,"",64,"",1,"","","","","","",[],0
109,"FirestormAltX",1368,"","<lock>",1,1,"",64,"",1,"","","","","","",[],0
110,"FirestormAltY",1369,"","<lock>",1,1,"",64,"",1,"","","","","","",[],0
111,"Exsanguinate",11813,"","<root>",1,1,"",67,"","","","","","","","",[],0
112,"ExsanguinateAltX",11814,"","<root>",1,1,"",67,"","","","","","","","",[],0
113,"ExsanguinateAltY",11815,"","<root>",1,1,"",67,"","","","","","","","",[],0
