"rownum","rid_0","i32_16","[i32]_20","[rid]_36","rid_52","i32_68","bool_72","i32_73","i32_77","i32_81","i32_85"
0,8771,0,[3],[7073],"",0,1,-30,0,150,800
1,8771,1,[1],"[7078,11202]","",0,1,-30,0,150,800
2,8774,0,[1],[],"",0,1,0,0,150,800
3,8776,0,"[1,3]","[7077,11202]","",0,1,-30,0,150,800
4,8778,0,"[1,3]","[7054,11202]","",0,1,-30,0,150,800
5,8780,0,[2],[1836],"",10,1,-15,0,150,800
6,8782,0,[2],[7059],"",10,1,10,0,150,800
7,8784,0,"[3,1]",[7074],"",0,1,-30,0,150,800
8,8786,0,"[1,3]","[7054,11202]","",0,1,-30,0,150,800
9,8788,0,[2],"[7059,1843]","",10,1,10,0,150,800
10,8790,0,"[3,1]",[7074],"",0,1,-30,0,150,800
11,8791,0,"[1,3]","[7054,11202]","",0,1,-30,0,150,800
12,8792,0,[2],"[7059,1843]","",10,1,10,0,150,800
13,8793,0,"[3,1]",[7075],"",0,1,-30,0,150,800
14,8794,0,"[1,3]",[7054],"",0,1,-30,0,150,800
15,8845,0,"[3,1]","[7108,11202]","",0,1,-30,0,150,800
16,8847,0,[3],"[7109,11202]","",0,1,-30,0,150,800
17,8847,1,[1],[],"",0,1,-30,0,150,800
18,8849,0,"[1,3]","[7110,11202]","",0,1,-30,0,150,800
19,8851,0,"[1,3]","[7111,11202]","",0,1,-30,0,150,800
20,8853,0,[2],[8024],"",10,1,-15,0,150,800
21,8855,0,[2],[4470],"",10,1,10,0,150,800
22,8857,0,[2],[],9655,10,1,5,0,150,800
23,8859,0,"[3,1]","[7108,11202]","",0,1,-30,0,150,800
24,8860,0,[3],"[7109,11202]","",0,1,-30,0,150,800
25,8860,1,[1],[],"",0,1,-30,0,150,800
26,8861,0,"[1,3]","[7110,11202]","",0,1,-30,0,150,800
27,8862,0,"[1,3]","[7111,11202]","",0,1,-30,0,150,800
28,8864,0,[2],[8024],"",10,1,-15,0,150,800
29,8865,0,[2],[4470],"",10,1,10,0,150,800
30,8866,0,[2],[],9655,10,1,5,0,150,800
31,8867,0,[3],"[7109,11202]","",0,1,-30,0,150,800
32,8867,1,[1],[],"",0,1,-30,0,150,800
33,8869,0,"[1,3]","[7111,11202]","",0,1,-30,0,150,800
34,8871,0,"[3,1]",[7112],"",0,1,-15,0,150,800
35,8873,0,[2],[4470],"",10,1,10,0,150,800
36,8875,0,[3],"[7109,11202]","",0,1,-30,0,150,800
37,8875,1,[1],[],"",0,1,-30,0,150,800
38,8876,0,"[1,3]","[7111,11202]","",0,1,-30,0,150,800
39,8877,0,"[3,1]",[7112],"",0,1,-15,0,150,800
40,8878,0,[2],[4470],"",0,1,10,0,150,800
41,8879,0,"[3,1]",[7113],"",0,1,-30,0,150,800
42,8880,0,[2],[4471],"",10,1,10,0,150,800
43,8798,0,[2],[11228],"",0,1,0,0,150,800
44,8805,0,[1],[8040],"",0,1,0,0,150,800
45,8807,0,[1],[8040],"",0,1,0,0,150,800
46,8809,0,[1],[8040],"",0,1,0,0,150,800
47,8812,0,[1],[8040],"",0,1,0,0,150,800
48,8814,1,[2],[681],"",0,1,0,0,150,800
49,8817,0,[1],[8040],"",0,1,0,0,150,800
50,8842,0,[1],[8040],"",0,1,0,0,150,800
51,8801,0,[1],[8040],"",0,1,0,0,150,800
52,8803,0,[1],[8040],"",0,1,0,0,150,800
53,8819,0,[2],[9654],"",0,1,15,0,150,800
54,8820,0,[2],[9654],"",0,1,15,0,150,800
55,8821,0,[2],[9654],"",0,1,15,0,150,800
56,8824,0,[2],[9652],"",0,1,15,0,150,800
57,8826,0,[2],[9652],"",0,1,15,0,150,800
58,8827,0,[2],[9652],"",0,1,15,0,150,800
59,8830,0,[2],[],"",0,1,0,0,150,800
60,8832,0,[2],[],"",0,1,0,0,150,800
61,8833,0,[2],[],"",0,1,0,0,150,800
62,8836,0,[2],[7144],"",5,1,-30,0,150,800
63,8837,0,[2],[7144],"",5,1,-30,0,150,800
64,8838,0,[2],[7144],"",5,1,-30,0,150,800
65,8895,0,[3],[],"",0,1,0,1,150,800
66,8898,0,[1],[],"",0,1,0,1,150,800
67,8899,0,[1],[],"",0,1,0,1,150,800
68,8904,0,[2],[7128],"",0,1,-30,0,150,800
69,8908,0,[2],[8035],"",0,1,-30,0,150,800
