"rownum","Id","Stat","i32_24","i32_28","i32_32","Category"
0,"str0",575,6,21,42,1
1,"str10",575,11,40,79,1
2,"str20",575,16,58,117,1
3,"str30",575,22,77,154,1
4,"str40",575,27,96,192,1
5,"str50",575,32,115,229,1
6,"str60",575,37,133,267,1
7,"str70",575,43,152,304,1
8,"str80",575,48,171,342,1
9,"str90",575,53,190,379,1
10,"str100",575,58,208,417,1
11,"dex0",581,6,21,42,1
12,"dex10",581,11,40,79,1
13,"dex20",581,16,58,117,1
14,"dex30",581,22,77,154,1
15,"dex40",581,27,96,192,1
16,"dex50",581,32,115,229,1
17,"dex60",581,37,133,267,1
18,"dex70",581,43,152,304,1
19,"dex80",581,48,171,342,1
20,"dex90",581,53,190,379,1
21,"dex100",581,58,208,417,1
22,"int0",578,6,21,42,1
23,"int10",578,11,40,79,1
24,"int20",578,16,58,117,1
25,"int30",578,22,77,154,1
26,"int40",578,27,96,192,1
27,"int50",578,32,115,229,1
28,"int60",578,37,133,267,1
29,"int70",578,43,152,304,1
30,"int80",578,48,171,342,1
31,"int90",578,53,190,379,1
32,"int100",578,58,208,417,1
33,"armour0",117,0,0,0,1
34,"armour10",117,5,10,15,1
35,"armour20",117,10,20,30,1
36,"armour30",117,15,30,45,1
37,"armour40",117,20,40,60,1
38,"armour50",117,25,50,75,1
39,"armour60",117,30,60,90,1
40,"armour70",117,35,70,105,1
41,"armour80",117,40,80,120,1
42,"armour90",117,45,90,135,1
43,"armour100",117,50,100,150,1
44,"evasion0",120,0,0,0,1
45,"evasion10",120,5,10,15,1
46,"evasion20",120,10,20,30,1
47,"evasion30",120,15,30,45,1
48,"evasion40",120,20,40,60,1
49,"evasion50",120,25,50,75,1
50,"evasion60",120,30,60,90,1
51,"evasion70",120,35,70,105,1
52,"evasion80",120,40,80,120,1
53,"evasion90",120,45,90,135,1
54,"evasion100",120,50,100,150,1
55,"energyshield0",135,0,0,0,1
56,"energyshield10",135,3,5,8,1
57,"energyshield20",135,5,10,15,1
58,"energyshield30",135,8,15,23,1
59,"energyshield40",135,10,20,30,1
60,"energyshield50",135,13,25,38,1
61,"energyshield60",135,15,30,45,1
62,"energyshield70",135,18,35,53,1
63,"energyshield80",135,20,40,60,1
64,"energyshield90",135,23,45,68,1
65,"energyshield100",135,25,50,75,1
66,"liferegen0",453,0,0,0,1
67,"liferegen10",453,6,9,12,1
68,"liferegen20",453,12,18,24,1
69,"liferegen30",453,18,27,36,1
70,"liferegen40",453,24,36,48,1
71,"liferegen50",453,30,45,60,1
72,"liferegen60",453,36,54,72,1
73,"liferegen70",453,42,63,84,1
74,"liferegen80",453,48,72,96,1
75,"liferegen90",453,54,81,108,1
76,"liferegen100",453,60,90,120,1
77,"rechargerate0",139,0,0,0,1
78,"rechargerate10",139,3,5,8,1
79,"rechargerate20",139,5,10,15,1
80,"rechargerate30",139,8,15,23,1
81,"rechargerate40",139,10,20,30,1
82,"rechargerate50",139,13,25,38,1
83,"rechargerate60",139,15,30,45,1
84,"rechargerate70",139,18,35,53,1
85,"rechargerate80",139,20,40,60,1
86,"rechargerate90",139,23,45,68,1
87,"rechargerate100",139,25,50,75,1
88,"fasterrecharge0",140,0,0,0,1
89,"fasterrecharge10",140,2,4,6,1
90,"fasterrecharge20",140,4,8,12,1
91,"fasterrecharge30",140,6,12,18,1
92,"fasterrecharge40",140,8,16,24,1
93,"fasterrecharge50",140,10,20,30,1
94,"fasterrecharge60",140,12,24,36,1
95,"fasterrecharge70",140,14,28,42,1
96,"fasterrecharge80",140,16,32,48,1
97,"fasterrecharge90",140,18,36,54,1
98,"fasterrecharge100",140,20,40,60,1
99,"spellsuppression0",14961,0,0,0,1
100,"spellsuppression10",14961,2,4,6,1
101,"spellsuppression20",14961,4,8,12,1
102,"spellsuppression30",14961,6,12,18,1
103,"spellsuppression40",14961,8,16,24,1
104,"spellsuppression50",14961,10,20,30,1
105,"spellsuppression60",14961,12,24,36,1
106,"spellsuppression70",14961,14,28,42,1
107,"spellsuppression80",14961,16,32,48,1
108,"spellsuppression90",14961,18,36,54,1
109,"spellsuppression100",14961,20,40,60,1
110,"life0",125,38,75,100,1
111,"life10",125,41,83,110,1
112,"life20",125,45,90,120,1
113,"life30",125,49,98,130,1
114,"life40",125,53,105,140,1
115,"life50",125,56,113,150,1
116,"life60",125,60,120,160,1
117,"life70",125,64,128,170,1
118,"life80",125,68,135,180,1
119,"life90",125,71,143,190,1
120,"life100",125,75,150,200,1
121,"damage_verylow",24,60,120,150,0
122,"damage_low",24,80,160,200,0
123,"damage_medium",24,100,200,250,0
124,"damage_high",24,120,240,300,0
125,"damage_veryhigh",24,140,280,350,0
126,"crit_chance_low",556,25,50,80,0
127,"crit_chance_med",556,50,100,160,0
128,"crit_chance_high",556,75,150,250,0
129,"crit_multi_low",95,15,35,50,0
130,"crit_multi_med",95,25,60,90,0
131,"crit_multi_high",95,40,100,150,0
132,"dot_multi_low",10327,10,20,30,0
133,"dot_multi_med",10327,15,30,45,0
134,"dot_multi_high",10327,20,40,60,0
135,"attack_speed_low",70,8,16,24,0
136,"attack_speed_med",70,12,24,36,0
137,"attack_speed_high",70,15,30,45,0
138,"cast_speed_low",218,6,12,18,0
139,"cast_speed_med",218,9,18,27,0
140,"cast_speed_high",218,12,24,36,0
141,"trap_throw_speed",314,12,24,36,0
142,"accuracy_low",84,15,35,50,0
143,"accuracy_med",84,25,60,90,0
144,"accuracy_high",84,40,100,150,0
145,"accuracy_resolute_technique",2869,1,1,1,0
146,"freeze_chance",457,10,20,25,2
147,"chill_effect",3622,15,30,45,2
148,"ignite_chance",613,20,40,60,2
149,"ignite_duration",204,10,20,25,2
150,"shock_chance",661,15,30,45,2
151,"shock_effect",3623,15,30,45,2
152,"poison_chance",3425,20,40,60,2
153,"poison_duration",3422,10,20,25,2
154,"bleed_chance",3690,20,40,60,2
155,"bleed_duration",5452,10,20,25,2
156,"impale_chance",8568,20,40,60,2
157,"impale_effect",8590,15,30,45,2
158,"stun_chance",108,15,30,45,2
159,"stun_duration",342,10,20,25,2
160,"ignore_phys_reduction",18593,20,40,60,0
161,"minion_damage_verylow",490,60,120,150,0
162,"minion_damage_low",490,80,160,200,0
163,"minion_damage_medium",490,100,200,250,0
164,"minion_damage_high",490,120,240,300,0
165,"minion_damage_veryhigh",490,140,280,350,0
166,"minion_life",161,25,50,75,1
167,"minion_life_regen",2140,30,60,90,1
168,"minion_crit_chance",11925,50,100,160,0
169,"minion_crit_damage",12191,25,60,90,0
170,"minion_attack_speed",2137,8,16,24,0
171,"minion_cast_speed",2138,6,12,18,0
172,"minion_damage_applies_to_you",4956,1,1,1,0
173,"minion_instability",854,1,1,1,0
174,"base_phasing_without_visual",14055,1,1,1,2
175,"block_attack_low",1090,6,12,18,1
176,"block_attack_high",1090,9,18,27,1
177,"block_spell_low",2136,6,12,18,1
178,"block_spell_high",2136,9,18,27,1
