"rownum","Id","MiscObject","i32_24","string_28","string_36","[i32]_44","bool_60","i32_61","bool_65","i32_66","i32_70","i32_74","[i32]_78","HideoutDoodan"
0,"EpilogueTown",19,36,"Metadata/QuestObjects/MapRoom/Orrery","aux_potralbutton_attachment","[-24,0]",1,20,1,11,0,0,[],""
1,"Hideout_Small","",18,"Metadata/Terrain/Missions/Hideouts/Objects/StrDexIntMappingDevice","",[],1,0,"",11,0,0,[],1366
2,"Hideout_Large",20,36,"Metadata/Terrain/Missions/Hideouts/Objects/StrDexIntMappingDevice","aux_potralbutton_attachment","[-24,0]",1,20,1,11,0,0,[],1366
3,"Maligaro_Quest",18,36,"Metadata/QuestObjects/Act7/MaligaroOrrery_Main","",[],"",0,1,11,0,0,[],""
4,"SynthesisBoss1",279,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_FinalBoss","",[],"",0,"",11,0,0,[],""
5,"SynthesisGuardian1",279,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian1","",[],"",0,"",11,0,0,[],""
6,"SynthesisGuardian2",279,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian2","",[],"",0,"",11,0,0,[],""
7,"SynthesisGuardian3",279,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian3","",[],"",0,"",11,0,0,[],""
8,"SynthesisGuardian4",279,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian4","",[],"",0,"",11,0,0,[],""
9,"MiracleMapDevice",343,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice","aux_potralbutton_attachment","[-14,0]",1,0,1,11,0,0,[],1084
10,"MiracleMapDevice1",343,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice1","aux_potralbutton_attachment","[-14,0]",1,0,1,11,0,0,[],1085
11,"MiracleMapDevice2",343,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice2","aux_potralbutton_attachment","[-25,0]",1,0,1,11,0,0,[],1086
12,"MiracleMapDevice3",343,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice3","aux_potralbutton_attachment","[-25,0]",1,0,1,11,0,0,[],1087
13,"AstrolabeMapDevice","",18,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/AstrolabeMapDevice","",[],1,0,"",11,0,0,[],1212
14,"SyntheticMapDevice",579,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/SyntheticMapDevice","aux_portalbutton_attachment","[-28,0]",1,0,1,11,0,0,[],1243
15,"DemonicMapDevice",595,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/DemonicMapDevice","pyre_jntBnd","[-30,0]",1,0,1,11,0,0,[],1259
16,"EldritchReaperMapDeviceLarge",638,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ScaryMapDevice","aux_brazier_attach","[13,-25]",1,0,1,11,0,2500,[],1297
17,"MagebloomMapDevice",640,24,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PauaMapDevice","aux_receptacle_jntBnd","[-17,0]",1,0,1,11,0,0,[],1296
18,"SunMapDevice",1180,30,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/SunMapDevice","aux_pedestal_attach","[-20,0]",1,20,1,11,0,0,[],1327
19,"BloodlordMapDevice",1183,31,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PetBlenderMapDevice","aux_button_attach","[-31,0]",1,0,1,11,0,0,[],1328
20,"BellTowerMapDevice",1262,33,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/BellTowerMapDevice","aux_bowl_attach","[-23,0]",1,0,1,11,0,0,[],1356
21,"StopwatchMapDevice",1271,26,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/StopwatchMapDevice","aux_bowl_attach","[-17,0]",1,0,1,1,0,0,[],1357
22,"StopwatchMapDeviceSilver",1273,26,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/StopwatchMapDeviceSilver","aux_bowl_attach","[-17,0]",1,0,1,1,0,0,[],1358
23,"StopwatchMapDeviceGold",1272,26,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/StopwatchMapDeviceGold","aux_bowl_attach","[-17,0]",1,0,1,1,0,0,[],1359
24,"MarakethSlaveDriverMapDevice",1328,34,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MarakethSlaveDriverMapDevice","aux_MapHolder","[-35,0]","",0,1,2,0,3200,"[0,0,0,0,0,0]",1430
25,"VaalSerpentGodMapDevice",1338,24,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/VaalSerpentGodMapDevice","aux_bowl_attach","[-40,-2]",1,0,1,11,1,3500,[],1433
26,"EldritchReaperMapDeviceLargeBlack",1404,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ScaryMapDeviceBlack","aux_brazier_attach","[13,-25]",1,0,1,11,0,2500,[],1298
27,"EldritchReaperMapDeviceLargeSteel",1406,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ScaryMapDeviceSteel","aux_brazier_attach","[13,-25]",1,0,1,11,0,2500,[],1299
28,"TreeMapDevice",1432,24,"Metadata/MapDevices/TreeMapDevice/TreeMapDevice","aux_receptacle_jntBnd","[-23,-13]",1,0,1,3,0,0,[],1440
29,"TreeMapDeviceSmall",1432,24,"Metadata/MapDevices/TreeMapDevice/TreeMapDevice","aux_receptacle_jntBnd","[-15,-8]",1,0,"",3,0,0,[],1440
30,"TreeMapDeviceBlood",1433,24,"Metadata/MapDevices/TreeMapDevice/blood/TreeMapDevice","aux_receptacle_jntBnd","[-23,-13]",1,0,1,3,0,0,[],1441
31,"TreeMapDeviceBloodSmall",1433,24,"Metadata/MapDevices/TreeMapDevice/blood/TreeMapDevice","aux_receptacle_jntBnd","[-15,-8]",1,0,"",3,0,0,[],1441
32,"TreeMapDeviceNightlotus",1434,24,"Metadata/MapDevices/TreeMapDevice/nightlotus/TreeMapDevice","aux_receptacle_jntBnd","[-23,-13]",1,0,1,3,0,0,[],1442
33,"TreeMapDeviceNightlotusSmall",1434,24,"Metadata/MapDevices/TreeMapDevice/nightlotus/TreeMapDevice","aux_receptacle_jntBnd","[-15,-8]",1,0,"",3,0,0,[],1442
34,"EldritchMapDevice",1431,28,"Metadata/MapDevices/EldritchMapDevice/EldritchMapDevice","aux_interface","[-23,0]",1,0,1,11,0,0,[],1443
35,"CauldronMapDevice",1465,38,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/CauldronMapDevice","aux_receptacle","[-37,2]",1,0,1,4,0,0,[],1475
36,"KaalguranMapDevice1",1483,18,"Metadata/MapDevices/KalguuranMapDevice/KalguuranMapDevice1","aux_pedestal_attachment",[],"",0,"",11,0,0,[],""
37,"KaalguranMapDevice2",1483,18,"Metadata/MapDevices/KalguuranMapDevice/KalguuranMapDevice2","aux_pedestal_attachment",[],"",0,"",11,0,0,[],""
38,"KaalguranMapDevice3",1483,18,"Metadata/MapDevices/KalguuranMapDevice/KalguuranMapDevice3","aux_pedestal_attachment",[],"",0,"",11,0,0,[],""
39,"PuzzleCubeMapDevice",1500,30,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PuzzleCubeMapDevice","aux_bowl_attach","[-22,0]",1,0,1,11,0,0,[],1477
40,"PuzzleCubeMapDeviceMagma",1501,30,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PuzzleCubeMapDevice","aux_bowl_attach","[-22,0]",1,0,1,11,0,0,[],1477
41,"PuzzleCubeMapDeviceWater",1502,30,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PuzzleCubeMapDevice","aux_bowl_attach","[-22,0]",1,0,1,11,0,0,[],1477
42,"VillageTujenRescue","",18,"Metadata/NPC/League/Kalguur/VillageTujen","",[],"",0,"",11,1,0,[],""
43,"VillageIslaRescue","",18,"Metadata/NPC/League/Kalguur/VillageIsla","",[],"",0,"",11,1,0,[],""
44,"VillageIslaRescueMapDevice","",18,"Metadata/Terrain/Leagues/Settlers/HubTown/Objects/MapDeviceButton","",[],"",0,"",11,1,0,[],""
45,"ThroneoftheRulerMapDevice",1528,30,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ThroneoftheRulerMapDevice","pot_jntBnd","[0,-19]",1,0,1,11,0,0,[],1500
46,"ZodiacDragonMapDevice",1531,18,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ZodiacDragonMapDevice","aux_flowerBase","[0,-40]",1,0,1,11,1,0,[],1502
47,"TorGulMapDevice",1544,46,"Metadata/MapDevices/TorGulMapDevice/TorGulMapDevice","aux_pedestal_jntBnd","[0,-46]",1,0,1,2,0,2700,"[0,250,500,750,1000,1250]",1536
48,"HallowedLibraryMapDeviceSmall","",24,"Metadata/MapDevices/HallowedLibraryMapDevice/HallowedLibraryMapDevice","",[],1,0,"",11,0,0,[],1537
49,"HallowedLibraryMapDeviceLarge",1576,46,"Metadata/MapDevices/HallowedLibraryMapDevice/HallowedLibraryMapDevice","aux_receptacle_jntBnd","[-46,0]",1,0,1,11,0,0,[],1537
50,"AukunasAgonyMapDevice",1594,24,"Metadata/MapDevices/DjinnMapDevice/DjinnMapDevice01/DjinnMapDevice01","aux_Pedestal","[-30,3]",1,0,1,1,0,0,[],1544
51,"AsalasAgonyMapDevice",1595,24,"Metadata/MapDevices/DjinnMapDevice/DjinnMapDevice02/DjinnMapDevice02","aux_Pedestal","[-30,3]",1,0,1,1,0,0,[],1545
52,"DeshretsDespairMapDevice",1596,24,"Metadata/MapDevices/DjinnMapDevice/DjinnMapDevice03/DjinnMapDevice03","aux_Pedestal","[-30,3]",1,0,1,1,0,0,[],1546
53,"FountainHallwayMapDevice","",36,"Metadata/MapDevices/FountainHallwayMapDevice/FountainHallwayMapDevice","",[],1,0,"",11,0,0,[],1560
54,"CrueltyMapDevice",1615,40,"Metadata/MapDevices/WorldEaterMapDevice/WorldEaterMapDevice","aux_bowl_jntBnd","[0,-50]",1,0,1,5,0,0,[],1563
