"rownum","Id","MinimapIconRadius","LargemapIconRadius","bool_16","bool_17","MinimapIconPointerMaxDistance","i32_22","i32_26","i32_30"
0,"MyPlayer",1,1,1,"",250,10,2,250
1,"PartyMember",1,1,1,"",250,9,2,250
2,"OtherPlayer",1,1,1,"",250,11,2,250
3,"NPC",1,1,"","",250,8,2,250
4,"Portal",2,2,1,"",250,0,2,250
5,"QuestObject",2,2,"",1,350,0,2,350
6,"QuestItem",2,2,"",1,350,0,2,350
7,"Shrine",2,2,1,"",150,0,2,150
8,"StoryGlyph",2,2,"",1,250,0,2,250
9,"Waypoint",2,2,"",1,250,0,2,250
10,"RedFlag",2,2,1,"",250,0,2,250
11,"BlueFlag",2,2,1,"",250,0,2,250
12,"GreenFlag",2,2,1,"",250,0,2,250
13,"Abyss",2,2,1,"",250,0,2,250
14,"AbyssCrack",2,2,1,"",250,0,2,250
15,"MissionTarget",3,2,1,"",250,0,2,250
16,"MissionAlly",3,2,1,"",250,0,2,250
17,"PartyLeader",1,1,1,"",250,0,2,250
18,"Entrance",2,2,"",1,250,0,2,250
19,"Labyrinth",3,3,1,"",250,0,2,250
20,"StoneCircle",3,3,"",1,250,0,2,250
21,"LabyrinthLever",2,2,"",1,250,0,2,250
22,"LabyrinthDoor",2,2,"",1,250,0,2,250
23,"VaalSideArea",2,2,"",1,250,0,2,250
24,"LabyrinthEnchant",3,3,"",1,250,0,2,250
25,"LabyrinthGoldKey",2,2,1,"",250,0,2,250
26,"LabyrinthSilverKey",2,2,1,"",250,0,2,250
27,"Essence",2,2,1,"",150,0,2,150
28,"EntrancePortal",2,2,"",1,250,0,2,250
29,"Breach",2,2,1,"",150,0,2,150
30,"ConsoleMapArrowL",2,2,1,"",250,0,2,250
31,"ConsoleMapArrowR",2,2,1,"",250,0,2,250
32,"PCMapArrow",2,2,1,"",250,0,2,250
33,"BestiaryBloodAlter",3,2,1,"",250,0,2,250
34,"BestiaryRareMonster",3,2,1,"",250,0,2,250
35,"BestiaryLegendaryBeast",3,2,1,"",250,0,2,250
36,"BestiaryDeadMonster",3,2,1,"",250,0,2,250
37,"IncursionArchitectUpgrade",2,2,1,"",250,0,2,250
38,"IncursionArchitectReplace",2,2,1,"",250,0,2,250
39,"IncursionDoorLocked",2,2,1,"",250,0,2,250
40,"IncursionDoorOpen",2,2,1,"",250,0,2,250
41,"IncursionCraftingBench",2,2,1,"",250,0,2,250
42,"IncursionCraftingBenchSacrifice",2,2,1,"",250,0,2,250
43,"IncursionCraftingBenchGem",2,2,1,"",250,0,2,250
44,"DelveMapViewer",2,2,1,"",250,0,2,250
45,"DelveMineralVein",2,2,1,"",250,0,2,250
46,"LootFilterLargeBlueCircle",2,2,1,"",350,0,2,350
47,"LootFilterMediumBlueCircle",2,2,1,"",350,0,2,350
48,"LootFilterSmallBlueCircle",2,2,1,"",350,0,2,350
49,"LootFilterLargeGreenCircle",2,2,1,"",350,0,2,350
50,"LootFilterMediumGreenCircle",2,2,1,"",350,0,2,350
51,"LootFilterSmallGreenCircle",2,2,1,"",350,0,2,350
52,"LootFilterLargeBrownCircle",2,2,1,"",350,0,2,350
53,"LootFilterMediumBrownCircle",2,2,1,"",350,0,2,350
54,"LootFilterSmallBrownCircle",2,2,1,"",350,0,2,350
55,"LootFilterLargeRedCircle",2,2,1,"",350,0,2,350
56,"LootFilterMediumRedCircle",2,2,1,"",350,0,2,350
57,"LootFilterSmallRedCircle",2,2,1,"",350,0,2,350
58,"LootFilterLargeWhiteCircle",2,2,1,"",350,0,2,350
59,"LootFilterMediumWhiteCircle",2,2,1,"",350,0,2,350
60,"LootFilterSmallWhiteCircle",2,2,1,"",350,0,2,350
61,"LootFilterLargeYellowCircle",2,2,1,"",350,0,2,350
62,"LootFilterMediumYellowCircle",2,2,1,"",350,0,2,350
63,"LootFilterSmallYellowCircle",2,2,1,"",350,0,2,350
64,"LootFilterLargeBlueDiamond",2,2,1,"",350,0,2,350
65,"LootFilterMediumBlueDiamond",2,2,1,"",350,0,2,350
66,"LootFilterSmallBlueDiamond",2,2,1,"",350,0,2,350
67,"LootFilterLargeGreenDiamond",2,2,1,"",350,0,2,350
68,"LootFilterMediumGreenDiamond",2,2,1,"",350,0,2,350
69,"LootFilterSmallGreenDiamond",2,2,1,"",350,0,2,350
70,"LootFilterLargeBrownDiamond",2,2,1,"",350,0,2,350
71,"LootFilterMediumBrownDiamond",2,2,1,"",350,0,2,350
72,"LootFilterSmallBrownDiamond",2,2,1,"",350,0,2,350
73,"LootFilterLargeRedDiamond",2,2,1,"",350,0,2,350
74,"LootFilterMediumRedDiamond",2,2,1,"",350,0,2,350
75,"LootFilterSmallRedDiamond",2,2,1,"",350,0,2,350
76,"LootFilterLargeWhiteDiamond",2,2,1,"",350,0,2,350
77,"LootFilterMediumWhiteDiamond",2,2,1,"",350,0,2,350
78,"LootFilterSmallWhiteDiamond",2,2,1,"",350,0,2,350
79,"LootFilterLargeYellowDiamond",2,2,1,"",350,0,2,350
80,"LootFilterMediumYellowDiamond",2,2,1,"",350,0,2,350
81,"LootFilterSmallYellowDiamond",2,2,1,"",350,0,2,350
82,"LootFilterLargeBlueHexagon",2,2,1,"",350,0,2,350
83,"LootFilterMediumBlueHexagon",2,2,1,"",350,0,2,350
84,"LootFilterSmallBlueHexagon",2,2,1,"",350,0,2,350
85,"LootFilterLargeGreenHexagon",2,2,1,"",350,0,2,350
86,"LootFilterMediumGreenHexagon",2,2,1,"",350,0,2,350
87,"LootFilterSmallGreenHexagon",2,2,1,"",350,0,2,350
88,"LootFilterLargeBrownHexagon",2,2,1,"",350,0,2,350
89,"LootFilterMediumBrownHexagon",2,2,1,"",350,0,2,350
90,"LootFilterSmallBrownHexagon",2,2,1,"",350,0,2,350
91,"LootFilterLargeRedHexagon",2,2,1,"",350,0,2,350
92,"LootFilterMediumRedHexagon",2,2,1,"",350,0,2,350
93,"LootFilterSmallRedHexagon",2,2,1,"",350,0,2,350
94,"LootFilterLargeWhiteHexagon",2,2,1,"",350,0,2,350
95,"LootFilterMediumWhiteHexagon",2,2,1,"",350,0,2,350
96,"LootFilterSmallWhiteHexagon",2,2,1,"",350,0,2,350
97,"LootFilterLargeYellowHexagon",2,2,1,"",350,0,2,350
98,"LootFilterMediumYellowHexagon",2,2,1,"",350,0,2,350
99,"LootFilterSmallYellowHexagon",2,2,1,"",350,0,2,350
100,"LootFilterLargeBlueSquare",2,2,1,"",350,0,2,350
101,"LootFilterMediumBlueSquare",2,2,1,"",350,0,2,350
102,"LootFilterSmallBlueSquare",2,2,1,"",350,0,2,350
103,"LootFilterLargeGreenSquare",2,2,1,"",350,0,2,350
104,"LootFilterMediumGreenSquare",2,2,1,"",350,0,2,350
105,"LootFilterSmallGreenSquare",2,2,1,"",350,0,2,350
106,"LootFilterLargeBrownSquare",2,2,1,"",350,0,2,350
107,"LootFilterMediumBrownSquare",2,2,1,"",350,0,2,350
108,"LootFilterSmallBrownSquare",2,2,1,"",350,0,2,350
109,"LootFilterLargeRedSquare",2,2,1,"",350,0,2,350
110,"LootFilterMediumRedSquare",2,2,1,"",350,0,2,350
111,"LootFilterSmallRedSquare",2,2,1,"",350,0,2,350
112,"LootFilterLargeWhiteSquare",2,2,1,"",350,0,2,350
113,"LootFilterMediumWhiteSquare",2,2,1,"",350,0,2,350
114,"LootFilterSmallWhiteSquare",2,2,1,"",350,0,2,350
115,"LootFilterLargeYellowSquare",2,2,1,"",350,0,2,350
116,"LootFilterMediumYellowSquare",2,2,1,"",350,0,2,350
117,"LootFilterSmallYellowSquare",2,2,1,"",350,0,2,350
118,"LootFilterLargeBlueStar",2,2,1,"",350,0,2,350
119,"LootFilterMediumBlueStar",2,2,1,"",350,0,2,350
120,"LootFilterSmallBlueStar",2,2,1,"",350,0,2,350
121,"LootFilterLargeGreenStar",2,2,1,"",350,0,2,350
122,"LootFilterMediumGreenStar",2,2,1,"",350,0,2,350
123,"LootFilterSmallGreenStar",2,2,1,"",350,0,2,350
124,"LootFilterLargeBrownStar",2,2,1,"",350,0,2,350
125,"LootFilterMediumBrownStar",2,2,1,"",350,0,2,350
126,"LootFilterSmallBrownStar",2,2,1,"",350,0,2,350
127,"LootFilterLargeRedStar",2,2,1,"",350,0,2,350
128,"LootFilterMediumRedStar",2,2,1,"",350,0,2,350
129,"LootFilterSmallRedStar",2,2,1,"",350,0,2,350
130,"LootFilterLargeWhiteStar",2,2,1,"",350,0,2,350
131,"LootFilterMediumWhiteStar",2,2,1,"",350,0,2,350
132,"LootFilterSmallWhiteStar",2,2,1,"",350,0,2,350
133,"LootFilterLargeYellowStar",2,2,1,"",350,0,2,350
134,"LootFilterMediumYellowStar",2,2,1,"",350,0,2,350
135,"LootFilterSmallYellowStar",2,2,1,"",350,0,2,350
136,"LootFilterLargeBlueTriangle",2,2,1,"",350,0,2,350
137,"LootFilterMediumBlueTriangle",2,2,1,"",350,0,2,350
138,"LootFilterSmallBlueTriangle",2,2,1,"",350,0,2,350
139,"LootFilterLargeGreenTriangle",2,2,1,"",350,0,2,350
140,"LootFilterMediumGreenTriangle",2,2,1,"",350,0,2,350
141,"LootFilterSmallGreenTriangle",2,2,1,"",350,0,2,350
142,"LootFilterLargeBrownTriangle",2,2,1,"",350,0,2,350
143,"LootFilterMediumBrownTriangle",2,2,1,"",350,0,2,350
144,"LootFilterSmallBrownTriangle",2,2,1,"",350,0,2,350
145,"LootFilterLargeRedTriangle",2,2,1,"",350,0,2,350
146,"LootFilterMediumRedTriangle",2,2,1,"",350,0,2,350
147,"LootFilterSmallRedTriangle",2,2,1,"",350,0,2,350
148,"LootFilterLargeWhiteTriangle",2,2,1,"",350,0,2,350
149,"LootFilterMediumWhiteTriangle",2,2,1,"",350,0,2,350
150,"LootFilterSmallWhiteTriangle",2,2,1,"",350,0,2,350
151,"LootFilterLargeYellowTriangle",2,2,1,"",350,0,2,350
