"rownum","GroundEffectTypesKey","i32_16","i32_20","rid_24","f32_40","[i32]_44","bool_60","AOFile","[string]_77","EndEffect","rid_101","rid_117","rid_133","rid_149","rid_165","bool_181","bool_182","bool_183","rid_184","rid_200","bool_216","bool_217","bool_218"
0,0,0,1,"",0,"[3,2,2,1]","","[""Metadata/Effects/Spells/ground_effects/fire/fire1.ao"",""Metadata/Effects/Spells/ground_effects/fire/fire2.ao"",""Metadata/Effects/Spells/ground_effects/fire/fire3.ao"",""Metadata/Effects/Spells/ground_effects/fire/fire4.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
1,0,0,2,"",175,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/burning/burning_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
2,0,1,1,389,0,"[3,2,2,1]","","[""Metadata/Effects/Spells/ground_effects/fire_white/fire_01.ao"",""Metadata/Effects/Spells/ground_effects/fire_white/fire_02.ao"",""Metadata/Effects/Spells/ground_effects/fire_white/fire_03.ao"",""Metadata/Effects/Spells/ground_effects/fire_white/fire_04.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
3,0,1,2,389,120,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/fire_divine/burning_divine_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/fire_divine/burning_divine_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/fire_divine/burning_divine_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/fire_divine/burning_divine_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/fire_divine/burning_divine_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
4,0,2,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/Breach/Hellion/flame_breath/lava_pool/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
5,0,3,1,"",40,[],1,"[""Metadata/Effects/Spells/ground_effects/lava/lava1.ao"",""Metadata/Effects/Spells/ground_effects/lava/lava2.ao"",""Metadata/Effects/Spells/ground_effects/lava/lava3.ao"",""Metadata/Effects/Spells/ground_effects/lava/lava4.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
6,0,4,2,705,75,"[3,2,2]",1,"[""Metadata/Effects/Spells/monsters_effects/Solaris_and_Lunaris/Solaris_e/solarbeam_groundfire_01.ao"",""Metadata/Effects/Spells/monsters_effects/Solaris_and_Lunaris/Solaris_e/solarbeam_groundfire_02.ao"",""Metadata/Effects/Spells/monsters_effects/Solaris_and_Lunaris/Solaris_e/solarbeam_groundfire_03.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
7,0,5,1,706,75,"[3,2,2]",1,"[""Metadata/Effects/Spells/monsters_effects/league_avatar/GroundFire/groundfire_blue_01.ao"",""Metadata/Effects/Spells/monsters_effects/league_avatar/GroundFire/groundfire_blue_02.ao"",""Metadata/Effects/Spells/monsters_effects/league_avatar/GroundFire/groundfire_blue_03.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
8,0,5,2,706,120,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/fire_harbinger/burning_harbinger_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/fire_harbinger/burning_harbinger_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/fire_harbinger/burning_harbinger_03.ao""]","[""loop""]","fadeout","","",145,"","","",1,"","","","","",""
9,0,6,2,707,105,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/corsair/burn1.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/corsair/burn2.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/corsair/burn3.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/corsair/burn4.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
