"rownum","Id","WitnessesRequired","AreaLevel","i32_16","i32_20","BaseItemType","i32_40","MinMapTier","rid_48","i32_64","WitnessAreas","rid_84","bool_100","[rid]_101","Achievements1","Achievements2"
0,"Void1",4,83,974,4,4063,225,0,2333,1100,"[1252,1254,1253,1251]",2297,1,[],[11404],[11098]
1,"Void2",4,83,975,4,4064,225,0,2333,1101,"[1787,1786,1784,1785]",2298,1,[],[11406],[11100]
2,"Void3",4,83,976,4,4065,225,0,2333,1102,"[462,460,459,461]",2299,1,[],[11403],[11097]
3,"Void4",3,83,977,3,4066,225,0,2333,1103,"[1281,1282,1283]",2300,1,[],[11405],[11099]
4,"Void5",5,83,978,5,4067,225,0,2333,1104,"[458,1686,1306,1255,1296]",2348,1,[],[11402],[11096]
5,"Void6",4,83,1162,4,4068,225,0,2333,1161,"[1788,1789,1790,1791]",2350,1,[],[11401],[11095]
6,"Atlas1",3,73,979,2,4069,225,6,2334,1019,[],2301,"",[],[],[]
7,"Atlas2",4,75,980,2,4070,979,8,2334,1019,[],2302,"",[],[],[]
8,"Atlas3",5,78,981,3,4071,980,10,2334,1019,[],2303,"",[],[],[]
9,"Atlas4",6,80,982,3,4072,981,12,2334,1019,[],2304,"",[],[],[]
10,"Atlas5",10,83,983,10,4074,982,14,2334,1019,[],2349,"",[],[],[]
