"rownum","Id","WorldAreasKey","BaseItemTypesKeys","SocketColour"
0,"ProxyKey1",1395,[608],"R_G_B"
1,"ProxyKey2",1395,[715],"R_G_B"
2,"ProxyKey3",1395,[381],"R_G_B"
3,"ProxyKey4",1395,[901],"R_G_B"
4,"ProxyKey5",1395,[862],"R_G_B"
5,"ProxyKey6",1395,[580],"R_G_B"
6,"ProxyKey7",1395,[552],"R_G_B"
7,"ProxyKey8",1395,[499],"R_G_B"
8,"ProxyKey9",1395,[410],"R_G_B"
9,"ProxyKey28",1395,[1358],""
10,"ProxyKey29",1395,[1381],""
11,"ProxyKey30",1395,[960],"R_G_B"
12,"ProxyKey31",1395,[1],""
13,"ProxyKey32",1395,[1],""
14,"ProxyKey33",1395,[1],""
15,"ProxyKey34",1395,[1],""
16,"ProxyKey35",1395,[1],""
17,"ProxyKey10",1395,[1596],""
18,"ProxyKey11",1395,[1603],""
19,"ProxyKey12",1395,[1604],""
20,"ProxyKey13",1395,[1607],""
21,"ProxyKey14",1395,[1611],""
22,"ProxyKey15",1395,[1615],""
23,"ProxyKey16",1395,[1621],""
24,"ProxyKey17",1395,[1623],""
25,"ProxyKey18",1395,[1659],""
26,"ProxyKey19",1395,[1662],""
27,"ProxyKey20",1395,[1665],""
28,"ProxyKey21",1395,[1691],""
29,"ProxyKey22",1395,[1721],""
30,"ProxyKey23",1395,[1739],""
31,"ProxyKey24",1395,[1742],""
32,"ProxyKey25",1395,[1779],""
33,"ProxyKey26",1395,[1834],""
34,"ProxyKey27",1395,[1855],""
35,"ProxyKey36",1395,[1875],""
36,"ProxyKey37",1395,[1881],""
37,"ProxyKey38",1395,[1885],""
