"rownum","BaseItemTypesKey","Critical","Speed","DamageMin","DamageMax","RangeMax","i32_36"
0,375,500,833,1,1,13,0
1,376,830,667,5,9,120,0
2,377,800,714,7,13,120,0
3,378,800,625,9,16,120,0
4,379,800,690,12,23,120,0
5,380,800,690,11,32,120,0
6,381,870,667,17,32,120,0
7,382,800,690,20,37,120,0
8,383,800,714,21,38,120,0
9,384,800,625,19,36,120,0
10,385,800,690,24,45,120,0
11,386,800,690,18,55,120,0
12,387,870,667,24,45,120,0
13,388,800,690,28,52,120,0
14,389,800,714,31,57,120,0
15,390,800,625,27,50,120,0
16,391,800,690,30,56,120,0
17,392,800,690,22,65,120,0
18,393,870,667,26,48,120,0
19,394,800,690,30,56,120,0
20,395,850,667,15,28,120,0
21,396,850,667,23,43,120,0
22,397,850,667,27,50,120,0
23,398,850,625,9,18,120,0
24,399,850,625,21,39,120,0
25,400,850,625,29,54,120,0
26,401,800,667,13,23,120,0
27,402,800,667,25,47,120,0
28,403,800,667,28,52,120,0
29,404,830,690,4,8,120,0
30,405,800,667,6,10,10,0
31,406,800,690,4,17,10,0
32,407,850,690,3,26,10,0
33,408,830,667,7,27,10,0
34,409,850,690,8,34,10,0
35,410,900,769,10,41,10,0
36,411,850,690,11,43,10,0
37,412,900,833,15,59,10,0
38,413,850,741,14,54,10,0
39,414,800,714,11,45,10,0
40,415,850,714,7,62,10,0
41,416,830,667,13,52,10,0
42,417,850,714,15,59,10,0
43,418,900,833,19,75,10,0
44,419,850,690,16,64,10,0
45,420,900,833,22,87,10,0
46,421,900,741,19,74,10,0
47,422,900,714,19,76,10,0
48,423,850,714,10,86,10,0
49,424,830,667,19,74,10,0
50,425,850,714,20,79,10,0
51,426,900,833,24,95,10,0
52,427,850,667,18,73,10,0
53,428,900,833,24,97,10,0
54,429,850,741,22,88,10,0
55,430,880,714,12,46,10,0
56,431,880,714,18,71,10,0
57,432,880,714,20,79,10,0
58,433,850,690,12,47,10,0
59,434,850,690,18,73,10,0
60,435,850,690,21,85,10,0
61,436,730,625,4,11,11,0
62,437,800,667,6,17,11,0
63,438,750,645,7,23,11,0
64,439,700,625,12,22,11,0
65,440,750,645,12,31,11,0
66,441,800,769,16,43,11,0
67,442,700,625,14,38,11,0
68,443,750,667,12,46,11,0
69,444,750,667,15,44,11,0
70,445,800,769,20,53,11,0
71,446,750,667,15,51,11,0
72,447,700,625,23,43,11,0
73,448,750,667,20,53,11,0
74,449,800,769,26,68,11,0
75,450,700,625,21,56,11,0
76,451,750,667,17,69,11,0
77,452,750,667,21,64,11,0
78,453,800,769,30,78,11,0
79,454,750,667,21,73,11,0
80,455,700,625,29,55,11,0
81,456,750,667,26,68,11,0
82,457,800,769,29,76,11,0
83,458,700,625,25,65,11,0
84,459,750,667,18,71,11,0
85,460,750,667,23,68,11,0
86,461,700,625,13,24,11,0
87,462,700,625,20,37,11,0
88,463,700,625,22,41,11,0
89,464,500,667,6,11,11,0
90,465,500,690,10,15,11,0
91,466,500,667,11,21,11,0
92,467,500,769,12,35,11,0
93,468,500,741,19,34,11,0
94,469,500,714,14,42,11,0
95,470,500,833,27,50,11,0
96,471,500,769,29,48,11,0
