"rownum","BaseItemTypesKey","SocketedImage","SocketedImageLarge","SoundEffect"
0,2466,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveRed","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveRedAlt",""
1,2467,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveGreen","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveGreenAlt",""
2,2468,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActive_Blue","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActive_BlueAlt",""
3,2469,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActivePrismatic","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActivePrismaticAlt",""
4,2470,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",819
5,2471,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",819
6,2472,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",819
7,2473,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",819
8,2474,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",819
9,2475,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveLegion","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveLegionAlt",""
10,2476,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAltPurple",219
11,2477,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAltBlue",218
12,2478,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAltRed",217
13,4962,"Art/2DArt/UIImages/InGame/Azmeri/AnimalCharmSocketedBear","",542
14,4963,"Art/2DArt/UIImages/InGame/Azmeri/AnimalCharmSocketedWolf","",543
15,4964,"Art/2DArt/UIImages/InGame/Azmeri/AnimalCharmSocketedCat","",544
