"rownum","Id","UIFile","ClientString","IsEnabled","i32_33","[i32]_37","QuestFlag","i32_69","[i32]_73","bool_89","bool_90","i32_91"
0,"SkillGemTutorial","",60,"",0,[],11,100,[],"",1,0
1,"LifeFlaskTutorial","",60,"",0,[],22,100,[],"",1,0
2,"ManaFlaskTutorial","",60,"",0,[],219,100,[],"",1,0
3,"SupportGemTutorial","",60,"",0,[],218,100,[],"",1,0
4,"PassivePointTutorial","",60,"",0,[],280,100,[],"",1,0
5,"SecondPassivePointTutorial","",60,"",0,[],368,100,[],"",1,0
6,"StashTutorial","",60,"",0,[],431,100,[],"",1,0
7,"OverlapMapTutorial","",60,"",0,[],432,100,[],"",1,0
8,"AttackInPlaceTutorial","",60,"",0,[],893,100,[],"",1,0
9,"WaypointTutorial","",60,"",0,[],111,100,[],"",1,0
10,"ItemComparisonTutorial","",60,"",0,[],90,100,[],"",1,0
11,"WisdomScrollTutorial","",60,"",0,[],369,100,[],"",1,0
12,"GemLevelUpTutorial","",60,"",0,[],370,100,[],"",1,0
13,"PortalScrollTutorial","",60,"",0,[],1861,100,[],"",1,0
14,"ReturnToCoastTutorial","",60,"",0,[],1862,100,[],"",1,0
15,"ShopOrCosmeticsTabOpened","",60,"",0,[],1783,100,[],"",1,0
16,"XboxDelveBindingTutorial","",60,"",0,[],2026,100,[],"",1,0
17,"AllTutorials","",60,"",0,[],367,100,[],"",1,0
18,"WatchstoneTutorial","",60,"",0,[],1879,100,[],"",1,0
19,"Example","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",64,"",0,[],"",100,[],"",1,0
20,"LongText","Metadata/UI/InGameState/Tutorials/longtext.ui",113,"",0,[],"",100,[],"",1,0
21,"DisabledTutorialExample","Metadata/UI/InGameState/Tutorials/fplaceholder.ui",96,"",0,[],"",100,[],"",1,0
22,"HeapsOfPictures","Metadata/UI/InGameState/Tutorials/heapsofpictures.ui",172,"",0,[],"",100,[],"",1,0
23,"HelpPanelIntro","Metadata/UI/InGameState/TutorialPanel/TheHelpPanel.ui",3528,1,2,[124],1760,3,[],"",1,0
24,"SkillGemBasics","Metadata/UI/InGameState/TutorialPanel/SkillGemBasics.ui",2957,1,2,[124],1718,3,[],"","",0
