"rownum","BaseItemTypesKey","ArtFile","Effects","MaskFile"
0,3087,"Art/2DItems/Divination/Images/ThreeFacesInTheDark",[],""
1,3088,"Art/2DItems/Divination/Images/TheDoctor",[],""
2,3089,"Art/2DItems/Divination/Images/TheHermit",[],""
3,3090,"Art/2DItems/Divination/Images/LantadorsLostLove",[],""
4,3091,"Art/2DItems/Divination/Images/TheMetalsmithsGift",[],""
5,3092,"Art/2DItems/Divination/Images/TheBattleBorn",[],""
6,3093,"Art/2DItems/Divination/Images/TheGladiator",[],""
7,3094,"Art/2DItems/Divination/Images/TheScholar",[],""
8,3095,"Art/2DItems/Divination/Images/TheBrittleEmperor",[],""
9,3096,"Art/2DItems/Divination/Images/ThePoet",[],""
10,3097,"Art/2DItems/Divination/Images/TheCarrionCrow",[],""
11,3098,"Art/2DItems/Divination/Images/Hope",[],""
12,3099,"Art/2DItems/Divination/Images/TheFiend",[],""
13,3100,"Art/2DItems/Divination/Images/BirthOfTheThree",[],""
14,3101,"Art/2DItems/Divination/Images/ViniasToken",[],""
15,3102,"Art/2DItems/Divination/Images/TheSummoner",[],""
16,3103,"Art/2DItems/Divination/Images/TheCataclysm",[],""
17,3104,"Art/2DItems/Divination/Images/TheHunger",[],""
18,3105,"Art/2DItems/Divination/Images/TheHoarder",[],""
19,3106,"Art/2DItems/Divination/Images/TheDrunkenAristocrat",[],""
20,3107,"Art/2DItems/Divination/Images/TheSun",[],""
21,3108,"Art/2DItems/Divination/Images/TheWarden",[],""
22,3109,"Art/2DItems/Divination/Images/TheScarredMeadow",[],""
23,3110,"Art/2DItems/Divination/Images/TheDarkMage",[],""
24,3111,"Art/2DItems/Divination/Images/TheGemcutter",[],""
25,3112,"Art/2DItems/Divination/Images/TheGambler",[],""
26,3113,"Art/2DItems/Divination/Images/TheLover",[],""
27,3114,"Art/2DItems/Divination/Images/ChaoticDisposition",[],""
28,3115,"Art/2DItems/Divination/Images/TheRoadToPower",[],""
29,3116,"Art/2DItems/Divination/Images/TheAvenger",[],""
30,3117,"Art/2DItems/Divination/Images/EmperorsLuck",[],""
31,3118,"Art/2DItems/Divination/Images/TimeLostRelic",[],""
32,3119,"Art/2DItems/Divination/Images/LuckyConnections",[],""
33,3120,"Art/2DItems/Divination/Images/TheFeast",[],""
34,3121,"Art/2DItems/Divination/Images/RainOfChaos",[],""
35,3122,"Art/2DItems/Divination/Images/TheWatcher",[],""
36,3123,"Art/2DItems/Divination/Images/TheIncantation",[],""
37,3124,"Art/2DItems/Divination/Images/CovetedPossession",[],""
38,3125,"Art/2DItems/Divination/Images/TheKingsHeart",[],""
39,3126,"Art/2DItems/Divination/Images/AbandonedWealth",[],""
40,3127,"Art/2DItems/Divination/Images/TheWind",[],""
41,3128,"Art/2DItems/Divination/Images/ThePact",[],""
42,3129,"Art/2DItems/Divination/Images/GemcuttersPromise",[],""
43,3130,"Art/2DItems/Divination/Images/TheCelestialJusticar",[],""
44,3131,"Art/2DItems/Divination/Images/TheChainsThatBind",[],""
45,3132,"Art/2DItems/Divination/Images/TheArtist",[],""
46,3133,"Art/2DItems/Divination/Images/TheInventor",[],""
47,3134,"Art/2DItems/Divination/Images/ThePackLeader",[],""
48,3135,"Art/2DItems/Divination/Images/JackInTheBox",[],""
49,3136,"Art/2DItems/Divination/Images/TheUnion",[],""
50,3137,"Art/2DItems/Divination/Images/TheQueen",[],""
51,3138,"Art/2DItems/Divination/Images/Humility",[],""
52,3139,"Art/2DItems/Divination/Images/TheExplorer",[],""
53,3140,"Art/2DItems/Divination/Images/TheSpoiledPrince",[],""
54,3141,"Art/2DItems/Divination/Images/TheBetrayal",[],""
55,3142,"Art/2DItems/Divination/Images/TheFlorasGift",[],""
56,3143,"Art/2DItems/Divination/Images/TheSiren",[],""
57,3144,"Art/2DItems/Divination/Images/TheOneWithAll",[],""
58,3145,"Art/2DItems/Divination/Images/TheLastOneStanding",[],""
59,3146,"Art/2DItems/Divination/Images/DoedresMadness",[],""
60,3147,"Art/2DItems/Divination/Images/TheEncroachingDarkness",[],""
61,3148,"Art/2DItems/Divination/Images/TheWrath",[],""
62,3149,"Art/2DItems/Divination/Images/TheKingsBlade",[],""
63,3150,"Art/2DItems/Divination/Images/TheTrial",[],""
64,3151,"Art/2DItems/Divination/Images/TheGentleman",[],""
65,3152,"Art/2DItems/Divination/Images/HouseOfMirrors",[],""
66,3153,"Art/2DItems/Divination/Images/WealthAndPower",[],""
67,3154,"Art/2DItems/Divination/Images/TheCatalyst",[],""
68,3155,"Art/2DItems/Divination/Images/TheVast",[],""
69,3156,"Art/2DItems/Divination/Images/GiftOfTheGemlingQueen",[],""
