"rownum","string_0","string_8","string_16","i32_24","i32_28","i32_32","string_36"
0,"UulNetolGraft1","Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_GraftDaemonArmR.ao","aleBuff.ais",0,0,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/UulNetolHandSlam.ais"
1,"UulNetolGraft2","Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_NailedGraftDaemonArmR.ao","氀攀䈀甀昀昀⸀愀椀猀",0,0,6,""
2,"UulNetolGraft3","Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_RedArmourGraftDaemonArmR.ao","leBuff.ais",0,0,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/UulNetolImpaleBuff.ais"
3,"UulNetolGraft4","Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_RedGraftDaemonArmR.ao","攀䈀甀昀昀⸀愀椀猀",0,0,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/UulNetolLowLifeBuff.ais"
4,"XophGraft1","Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_GraftDaemonArmR.ao","mpaleBuff.ais",0,0,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/XophMoltenShell.ais"
5,"XophGraft2","Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_NailedGraftDaemonArmR.ao","瀀愀氀攀䈀甀昀昀⸀愀椀猀",0,0,1,""
6,"XophGraft3","Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_RedArmourGraftDaemonArmR.ao","paleBuff.ais",0,0,4,""
7,"XophGraft4","Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_RedGraftDaemonArmR.ao","愀氀攀䈀甀昀昀⸀愀椀猀",0,0,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/XophAilmentBuff.ais"
8,"EshGraft1","Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_GraftDaemonArmR.ao","eBuff.ais",0,0,1,""
9,"EshGraft2","Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_NailedGraftDaemonArmR.ao","䈀甀昀昀⸀愀椀猀",0,0,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/EshLightningClones.ais"
10,"EshGraft3","Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_RedArmourGraftDaemonArmR.ao","Buff.ais",0,0,1,""
11,"EshGraft4","Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_RedGraftDaemonArmR.ao","甀昀昀⸀愀椀猀",0,0,3,""
12,"TulGraft1","Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_GraftDaemonArmR.ao","uff.ais",0,0,1,""
13,"TulGraft2","Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_NailedGraftDaemonArmR.ao","昀昀⸀愀椀猀",0,0,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/TulIceMortar.ais"
14,"TulGraft3","Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_RedArmourGraftDaemonArmR.ao","ff.ais",0,0,5,""
15,"TulGraft4","Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_RedGraftDaemonArmR.ao","昀⸀愀椀猀",0,0,12,""
