"rownum","MtxTypeGameSpecific","bool_16","bool_17","bool_18","i32_19","bool_23"
0,4225,1,1,1,1,1
1,4224,1,1,"",1,1
2,4434,"",1,"",1,1
3,6611,"",1,"",2,1
4,6610,"",1,"",2,1
5,4570,"",1,"",2,1
6,7047,"",1,"",2,1
7,7037,"",1,"",2,1
8,7017,"",1,"",2,1
9,7123,"",1,"",2,1
10,7212,"",1,"",2,1
11,7256,"",1,"",2,1
12,7311,1,1,"",1,1
13,7319,"",1,"",2,1
14,7320,"",1,"",2,1
15,7321,"",1,"",2,1
16,7391,"",1,"",2,1
17,7423,"",1,"",2,1
18,7503,1,1,"",1,1
19,7504,1,1,"",1,1
20,7522,"",1,"",2,1
21,7695,1,1,"",1,1
22,7664,"",1,"",2,1
23,7645,"",1,"",2,1
