"rownum","Id","Projectile","bool_20","i32_21","bool_25","i32_26","i32_30","bool_34","i32_35","i32_39","i32_43","bool_47","i32_48","i32_52","bool_56","i32_57","bool_61","bool_62","GeometryChannel","bool_79","rid_80","i32_96"
0,0,607,1,9,1,4,7,1,1000,5,10,1,0,0,"",0,"","","","","",0
1,1,608,1,19,"",2,4,1,0,20,60,1,0,0,"",0,"","","","","",0
2,2,618,1,6,"",2,4,1,0,15,45,1,0,0,"",0,"","","","","",0
3,3,619,1,4,"",2,4,1,0,20,60,1,0,0,"",0,"","","","","",0
4,4,631,1,3,1,2,7,1,0,20,60,1,0,0,"",0,"","","","","",0
5,5,657,1,2,1,2,7,1,0,20,60,1,0,0,"",0,"","","","","",0
6,6,658,"",4,"",4,2,"",0,0,0,"",0,0,"",0,"","","","","",0
7,7,658,"",0,"",4,2,"",0,0,0,"",0,0,"",0,"","","","","",0
8,8,658,"",3,"",4,2,"",0,0,0,"",0,0,"",0,"","","","","",0
9,9,664,"",0,"",4,6,"",0,0,0,"",0,0,"",0,"","","","","",0
10,10,691,"",14,"",4,7,"",2600,0,0,"",0,0,"",0,"","","","","",0
11,11,693,"",0,"",4,7,"",0,0,0,"",0,220,"",0,"","","","","",0
12,14,722,1,6,1,2,7,1,0,30,60,1,0,0,"",0,"","","","","",0
13,15,708,"",1,1,4,2,1,0,0,0,"",90,0,"",0,"","","","","",0
14,16,709,"",1,1,4,2,1,0,0,0,"",0,0,"",0,"","","","","",0
15,17,710,"",1,1,4,2,1,0,0,0,"",0,0,"",0,"","","","","",0
16,18,696,1,0,"",3,7,1,0,5,30,1,0,0,"",0,"","","","","",0
17,19,730,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
18,20,730,"",0,"",3,4,"",0,0,0,"",0,0,"",0,"","","","","",0
19,21,730,"",0,"",3,4,"",0,0,0,"",20,0,"",0,"","","","","",0
20,22,730,"",0,"",3,4,"",0,0,0,"",-20,0,"",0,"","","","","",0
21,23,720,"",7,1,2,7,"",200,0,0,"",0,0,"",0,"","","","","",0
22,24,745,"",5,1,3,7,1,0,0,0,"",0,0,"",0,"","","","","",0
23,25,771,1,9,"",2,4,1,0,20,60,1,0,45,"",0,"","","","","",0
24,26,782,"",10,1,4,7,"",0,0,0,"",0,0,"",0,"","","","","",0
25,27,800,1,16,1,4,7,1,1000,5,20,1,0,0,"",0,"","","","","",0
26,28,289,"",5,"",2,6,"",500,0,0,"",0,15,"",0,"","","","","",0
27,29,808,"",0,"",2,7,"",0,0,0,"",0,15,"",0,"","","","","",0
