"rownum","Wordlist","Text","SpawnWeight_Tags","SpawnWeight_Values","HASH32","Text2","Text2 (French)","Text2 (German)","Text2 (Japanese)","Text2 (Korean)","Text2 (Portuguese)","Text2 (Russian)","Text2 (Spanish)","Text2 (Thai)","Text2 (Traditional Chinese)","Inflection","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)"
0,1,"Dire","[727,644,3,2,655,26,21,8,7,62,63,64,65,66,67,68,57,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",4053401100,"Dire","<if:MS>{ sinistre}<elif:FS>{ sinistre}<elif:NS>{ NONEXISTENT}<elif:MP>{ sinistres}<elif:FP>{ sinistres}<elif:NP>{NONEXISTENT}","<if:MS>{Grässlicher }<elif:FS>{Grässliche }<elif:NS>{Grässliches }<elif:MP>{Grässliche }<elif:FP>{Grässliche }<elif:NP>{Grässliche }","恐ろしい","지독한","<if:MS>{ Terrível}<elif:FS>{ Terrível}<elif:NS>{ Terrível}<elif:MP>{ Terríveis}<elif:FP>{ Terríveis}<elif:NP>{ Terríveis}","<if:MS>{Несчастный}<elif:FS>{Несчастная}<elif:NS>{Несчастное}<elif:MP>{Несчастные}<elif:FP>{Несчастные}<elif:NP>{Несчастные}","<if:MS>{ horrible}<elif:FS>{ horrible}<elif:MP>{ horribles}<elif:FP>{ horribles}","Dire","不祥","","","","","","","","","",""
1,1,"Cinder","[62,64,67,57,0]","[1000,1000,1000,1000,0]",285558415,"Cinder","<if:MS>{ cendreux}<elif:FS>{ cendreuse}<elif:NS>{ NONEXISTENT}<elif:MP>{ cendreux}<elif:FP>{ cendreuses}<elif:NP>{NONEXISTENT}","Zunder-","黒焦げの","재투성이"," de Brasa","<if:MS>{Пепельный}<elif:FS>{Пепельная}<elif:NS>{Пепельное}<elif:MP>{Пепельные}<elif:FP>{Пепельные}<elif:NP>{Пепельные}","<if:MS>{ de ceniza}<elif:FS>{ de ceniza}<elif:MP>{ de ceniza}<elif:FP>{ de ceniza}","Cinder","燃盡","","","","","","","","","",""
2,1,"Iron","[727,69,63,67,57,0]","[1000,1000,1000,1000,1000,0]",1748293915,"Iron","<if:MS>{ de fer}<elif:FS>{ de fer}<elif:NS>{ NONEXISTENT}<elif:MP>{ de fer}<elif:FP>{ de fer}<elif:NP>{NONEXISTENT}","Eisen-","鉄の","철의"," de Ferro","<if:MS>{Железный}<elif:FS>{Железная}<elif:NS>{Железное}<elif:MP>{Железные}<elif:FP>{Железные}<elif:NP>{Железные}","<if:MS>{ de hierro}<elif:FS>{ de hierro}<elif:MP>{ de hierro}<elif:FP>{ de hierro}","Iron","鍛鐵","","","","","","","","","",""
3,1,"Steel","[727,69,63,57,0]","[1000,1000,1000,1000,0]",1890903384,"Steel","<if:MS>{ d'acier}<elif:FS>{ d'acier}<elif:NS>{ NONEXISTENT}<elif:MP>{ d'acier}<elif:FP>{ d'acier}<elif:NP>{NONEXISTENT}","Stahl-","鋼鉄の","강철"," de Aço","<if:MS>{Стальной}<elif:FS>{Стальная}<elif:NS>{Стальное}<elif:MP>{Стальные}<elif:FP>{Стальные}<elif:NP>{Стальные}","<if:MS>{ de acero}<elif:FS>{ de acero}<elif:MP>{ de acero}<elif:FP>{ de acero}","Steel","堅鋼","","","","","","","","","",""
4,1,"Agony","[116,644,3,2,655,26,21,8,7,62,63,64,65,66,67,68,69,57,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",3254327256,"Agony","<if:MS>{ de l'agonie}<elif:FS>{ de l'agonie}<elif:NS>{ NONEXISTENT}<elif:MP>{ de l'agonie}<elif:FP>{ de l'agonie}<elif:NP>{NONEXISTENT}","Tortur-","苦しみの","괴로운"," da Agonia","<if:MS>{Агонический}<elif:FS>{Агоническая}<elif:NS>{Агоническое}<elif:MP>{Агонические}<elif:FP>{Агонические}<elif:NP>{Агонические}","<if:MS>{ de agonía}<elif:FS>{ de agonía}<elif:MP>{ de agonía}<elif:FP>{ de agonía}","Agony","苦痛","","","","","","","","","",""
5,1,"Dark","[116,727,69,62,63,64,65,66,67,68,57,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",1205947952,"Dark","<if:MS>{ sombre}<elif:FS>{ sombre}<elif:NS>{NONEXISTENT}<elif:MP>{ sombres}<elif:FP>{ sombres}<elif:NP>{NONEXISTENT}","<if:MS>{Dunkler }<elif:FS>{Dunkle }<elif:NS>{Dunkles }<elif:MP>{Dunkle }<elif:FP>{Dunkle }<elif:NP>{Dunkle }","闇の","어두운","<if:MS>{ Sombrio}<elif:FS>{ Sombria}<elif:NS>{ Sombrio}<elif:MP>{ Sombrios}<elif:FP>{ Sombrias}<elif:NP>{ Sombrios}","<if:MS>{Тёмный}<elif:FS>{Тёмная}<elif:NS>{Тёмное}<elif:MP>{Тёмные}<elif:FP>{Тёмные}<elif:NP>{Тёмные}","<if:MS>{ oscuro}<elif:FS>{ oscura}<elif:MP>{ oscuros}<elif:FP>{ oscuras}","Dark","幽暗","","","","","","","","","",""
6,1,"Cruel","[116,727,63,64,65,66,67,68,57,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",3751867882,"Cruel","<if:MS>{ cruel}<elif:FS>{ cruelle}<elif:NS>{NONEXISTENT}<elif:MP>{ cruels}<elif:FP>{ cruelles}<elif:NP>{NONEXISTENT}","<if:MS>{Grausamer }<elif:FS>{Grausame }<elif:NS>{Grausames }<elif:MP>{Grausame }<elif:FP>{Grausame }<elif:NP>{Grausame }","残酷な","잔혹한","<if:MS>{ Cruel}<elif:FS>{ Cruel}<elif:NS>{ Cruel}<elif:MP>{ Cruéis}<elif:FP>{ Cruéis}<elif:NP>{ Cruéis}","<if:MS>{Жестокий}<elif:FS>{Жестокая}<elif:NS>{Жестокое}<elif:MP>{Жестокие}<elif:FP>{Жестокие}<elif:NP>{Жестокие}","<if:MS>{ cruel}<elif:FS>{ cruel}<elif:MP>{ crueles}<elif:FP>{ crueles}","Cruel","殘忍","","","","","","","","","",""
7,1,"Death","[116,727,69,644,3,2,655,26,21,8,7,63,64,65,66,67,68,57,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",1693771686,"Death","<if:MS>{ mortel}<elif:FS>{ mortelle}<elif:NS>{NONEXISTENT}<elif:MP>{ mortels}<elif:FP>{ mortelles}<elif:NP>{NONEXISTENT}","Todes-","死の","죽음의"," da Morte","<if:MS>{Смертельный}<elif:FS>{Смертельная}<elif:NS>{Смертельное}<elif:MP>{Смертельные}<elif:FP>{Смертельные}<elif:NP>{Смертельные}","<if:MS>{ de muerte}<elif:FS>{ de muerte}<elif:MP>{ de muerte}<elif:FP>{ de muerte}","Death","死寂","","","","","","","","","",""
8,1,"Chaos","[116,69,63,64,65,66,67,57,0]","[1000,1000,1000,1000,1000,1000,1000,1000,0]",1742788125,"Chaos","<if:MS>{ du chaos}<elif:FS>{ du chaos}<elif:NS>{NONEXISTENT}<elif:MP>{ du chaos}<elif:FP>{ du chaos}<elif:NP>{NONEXISTENT}","Chaos-","混沌の","카오스"," do Caos","<if:MS>{Хаотический}<elif:FS>{Хаотическая}<elif:NS>{Хаотическое}<elif:MP>{Хаотические}<elif:FP>{Хаотические}<elif:NP>{Хаотические}","<if:MS>{ de caos}<elif:FS>{ de caos}<elif:MP>{ de caos}<elif:FP>{ de caos}","Chaos","混沌","","","","","","","","","",""
9,1,"Blood","[116,644,3,2,655,26,21,8,7,62,63,64,66,67,68,57,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",306773410,"Blood","<if:MS>{ sanguinaire}<elif:FS>{ sanguinaire}<elif:NS>{NONEXISTENT}<elif:MP>{ sanguinaires}<elif:FP>{ sanguinaires}<elif:NP>{NONEXISTENT}","Blut-","血","피의"," Sangrento","<if:MS>{Кровавый}<elif:FS>{Кровавая}<elif:NS>{Кровавое}<elif:MP>{Кровавые}<elif:FP>{Кровавые}<elif:NP>{Кровавые}","<if:MS>{ de sangre}<elif:FS>{ de sangre}<elif:MP>{ de sangre}<elif:FP>{ de sangre}","Blood","鮮血","","","","","","","","","",""
