"rownum","Id","Name","GrantedEffect","SupportText","SupportName","GemTags","Consumed_Mod","ItemColor","[rid]","AdditionalGrantedEffects","bool","bool","[i32]","i32"
0,"Firebolt","",27,"","","[11,24,4,14,5,0]","",3,[],[],"","",[],-1
1,"IceNova","",28,"","","[11,24,4,14,1,33]","",3,[],[],"","",[],-1
2,"LeapSlam","",29,"","","[9,24,13,14,7,35,31,52]","",3,[],[],"","",[],-1
3,"ShieldCharge","",30,"","","[9,24,13,14,7,30,28,31]","",3,[],[],"","",[],-1
4,"DetonateDead","",31,"","","[11,24,4,14,30,0,47]","",3,[],[],"","",[],-1
5,"VolatileDead","",89,"","","[11,24,4,14,0]","",3,[],[],"","",[],-1
6,"AddedFireDamageSupport","",392,"Supports [Attack|Attacks], causing them to [Gain] [Fire] Damage but deal less [Cold] and [Lightning] Damage.","","[16,13,0]","",3,[],[],"","",[],-1
7,"FasterAttackSupport","",393,"Supports [Attack|Attacks], causing them to [Attack] faster.","","[16,13]","",3,[],[],"","",[],-1
8,"MultipleProjectilesSupport","",394,"Supports [Projectile|Projectile] skills, making them fire extra [Projectile|Projectiles]. Also lowers [Attack] and Cast speed of supported skills, as well as lessening their damage.","","[16,5]","",3,[],[],"","",[],-1
9,"FasterProjectilesSupport","",395,"Supports [Projectile|Projectile] skills, making those [Projectile|Projectiles] travel faster.","","[16,5]","",3,[],[],"","",[],-1
10,"AddedColdDamageSupport","",396,"Supports [Attack|Attacks], causing them to [Gain] [Cold] Damage but deal less [Fire] and [Lightning] Damage.","","[16,13,1]","",3,[],[],"","",[],-1
11,"AdditionalAccuracySupport","",397,"Supports [Attack|Attacks], causing them to gain [Accuracy].","","[16,13]","",3,[],[],"","",[],-1
12,"IncreasedAreaOfEffectSupport","",398,"Supports any skill with an area of effect, making it larger.","","[16,14]","",3,[],[],"","",[],-1
13,"AddedLightningDamageSupport","",399,"Supports [Attack|Attacks], causing them to [Gain] [Lightning] Damage but deal less [Cold] and [Fire] Damage.","","[16,13,2]","",3,[],[],"","",[],-1
14,"RaiseZombie","",32,"","","[11,24,8,30,15]","",3,[],[],"","",[],-1
15,"InspirationSupport","",400,"Supports any skill, making it cost less to use. Cannot support skills which reserve [Spirit].","",[16],"",3,[],[],"","",[],-1
16,"IncreasedCriticalDamageSupport","",401,"Supports any skill that [HitDamage|Hits] enemies, causing it to deal more damage with [Critical|Critical Hits] but have less [Critical|Critical Hit] chance.","","[16,38]","",3,[],[],"","",[],-1
17,"KnockbackSupport","",402,"Supports any skill that [HitDamage|Hits] enemies, causing it to [Knockback|Knock Back] enemies.","",[16],"",3,[],[],"","",[],-1
18,"LifeLeechSupport","",403,"Supports [Attack|Attacks], causing their [Physical] damage to [LifeLeech|Leech] Life.","","[16,13,30]","",3,[],[],"","",[],-1
19,"ManaLeechSupport","",404,"Supports [Attack|Attacks], causing their [Physical] damage to [ManaLeech|Leech] Mana.","","[16,13,30]","",3,[],[],"","",[],-1
20,"AddedChaosDamageSupport","",405,"Supports [Attack|Attacks], causing them to [Gain] [Chaos] Damage but deal less Damage of other [DamageTypes|Types].","","[16,13,3]","",3,[],[],"","",[],-1
21,"FlickerStrike","",33,"","","[10,11,24,13,14,7,32]","",3,[],[],"","",[],-1
22,"Spark","",34,"","","[11,24,4,5,2,15]","",3,[],[],"","",[],-1
23,"UniqueEarthboundTriggeredSpark","",35,"","","[11,24,4,5,2,15]","",3,[],[],"","",[],-1
24,"PierceSupport","",406,"Supports [Projectile|Projectile] skills, making their [Projectile|Projectiles] [Pierce|Pierce] an enemy but deal less damage after doing so.","","[16,5]","",3,[],[],"","",[],-1
25,"SummonSpectre","",37,"","","[11,24,8,49]","",3,[],[],"","",[],-1
26,"FrostWall","",38,"","","[11,24,4,14,1,15]","",3,[],[],"","",[],-1
27,"ShockNova","",39,"","","[11,24,4,14,2,33]","",3,[],[],"","",[],-1
28,"MeleePhysicalDamageSupport","",407,"Supports [Melee] [Attack|Attacks], boosting their [Physical] damage at the cost of [Attack] Speed.","","[16,13,7,30]","",3,[],[],"","",[],-1
29,"FasterCastSupport","",408,"Supports [Spell|Spells], causing them to cast faster.","","[16,4]","",3,[],[],"","",[],-1
30,"TemporalChains","",40,"","","[11,24,4,14,15,17]","",3,[],[],"","",[],-1
31,"Enfeeble","",41,"","","[11,24,4,14,15,17]","",3,[],[],"","",[],-1
32,"SnipersMark","",42,"","","[10,24,4,36,15]","",3,[],[],"","",[],-1
33,"Despair","",90,"","","[11,24,4,14,3,15,17]","",3,[],[],"","",[],-1
34,"LightningWarp","",44,"","","[11,24,4,14,2,15]","",3,[],[],"","",[],-1
35,"ArmourBreaker","",45,"","","[9,24,13,14,7,32,30]","",3,[],[],"","",[],-1
36,"RainOfArrows","",92,"","","[10,24,13,14,5,51]","",3,[],[],"","",[],-1
37,"ConcentratedEffectSupport","",409,"Supports any skill with an area of effect, causing that area to be smaller but any area damage it deals to be higher.","","[16,14]","",3,[],[],"","",[],-1
38,"BloodlustSupport","",421,"Supports [Melee] [Attack|Attacks], causing them to deal more damage against [Bleeding] enemies, but preventing them from inflicting [Bleeding].","","[16,13,7,30]","",3,[],[],"","",[],-1
39,"Firestorm","",46,"","","[11,24,4,14,51,0,15,52]","",3,[],[],"","",[],-1
40,"FallingThunder","",47,"","","[10,11,24,13,14,7,35,5,2]","",3,[],[],"","",[],-1
41,"PowerSiphon","",48,"","","[11,24,4,30]","",3,[],[],"","",[],-1
42,"LightningArrow","",49,"","","[10,24,13,14,5,2,18]","",3,[],[],"","",[],-1
43,"Discipline","",50,"","","[9,11,24,48,49,12]","",3,[],[],1,"",[],-1
44,"ShockwaveTotem","",51,"","","[9,24,13,19,14,7,35,30,15,33]","",3,[],[52],"","",[],1
45,"BlindSupport","",410,"Supports any skill that [HitDamage|Hits] enemies, causing them to [Blind|Blind] on [HitDamage|Hit].","",[16],"",3,[],[],"","",[],-1
46,"Arc","",54,"","","[11,24,4,2,18]","",3,[],[],"","",[],-1
47,"ArcticArmour","",55,"","","[48,11,24,4,49,51,1,56]","",3,[],[],1,"",[],-1
48,"FirePenetrationSupport","",411,"Supports any skill that [HitDamage|Hits] enemies, making those [HitDamage|Hits] [Penetration|Penetrate] enemy [Fire|Fire] resistance.","","[16,0]","",3,[],[],"","",[],-1
49,"ColdPenetrationSupport","",412,"Supports any skill that [HitDamage|Hits] enemies, making those [HitDamage|Hits] [Penetration|Penetrate] enemy [Cold|Cold] resistance.","","[16,1]","",3,[],[],"","",[],-1
50,"LightningPenetrationSupport","",413,"Supports any skill that [HitDamage|Hits] enemies, making those [HitDamage|Hits] [Penetration|Penetrate] enemy [Lightning|Lightning] resistance.","","[16,2]","",3,[],[],"","",[],-1
51,"ChainSupport","",414,"Supports [Projectile|Projectile] skills and any other skills that [Chain|Chain], causing them to [Chain|Chain] additional times.","","[16,5,18]","",3,[],[],"","",[],-1
52,"ForkSupport","",415,"Supports [Projectile] skills, making their [Projectile|Projectiles] [Fork].","","[16,5]","",3,[],[],"","",[],-1
53,"Flammability","",56,"","","[11,24,4,14,0,15,17]","",3,[],[],"","",[],-1
54,"Hypothermia","",57,"","","[11,24,4,14,1,15,17]","",3,[],[],"","",[],-1
55,"Conductivity","",58,"","","[11,24,4,14,2,15,17]","",3,[],[],"","",[],-1
56,"Incinerate","",91,"","","[11,24,4,14,51,0,15,28,56]","",3,[],[],"","",[],-1
57,"SpellEchoSupport","",416,"Supports [Spell|Spells] that affect an area around you or a target location. Supported [Spell|Spells] echo, causing their effects to happen again after a short delay. Cannot support [Channelling] skills [Remote] skills or skills which are [Trigger|Triggered].","","[16,4,14]","",3,[],[],"","",[],-1
58,"ElementalArmySupport","",417,"Supports skills which create [Minion|Minions], bolstering the Elemental [Resistances] of those [Minion|Minions].","","[16,8]","",3,[],[],"","",[],-1
59,"SlowerProjectilesSupport","",418,"Supports [Projectile|Projectile] skills, making those [Projectile|Projectiles] travel more slowly.","","[16,5]","",3,[],[],"","",[],-1
60,"PurityOfFire","",60,"","","[9,11,24,48,49,12,0]","",3,[],[],1,"",[],-1
61,"PurityOfIce","",61,"","","[9,11,24,48,49,12,1]","",3,[],[],1,"",[],-1
62,"PurityOfLightning","",62,"","","[9,11,24,48,49,12,2]","",3,[],[],1,"",[],-1
63,"Flameblast","",63,"","","[11,24,4,14,0,28,33,56]","",3,[],[],"","",[],-1
64,"Barrage","",64,"","","[10,24,4,48,15]","",3,[],[],"","",[],-1
65,"BallLightning","",59,"","","[11,24,4,14,5,51,2]","",3,[],[],"","",[],-1
