"rownum","Id","Label","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness","DamageIncrementalEffectiveness","IgnoredStats","bool"
0,"MeleePlayer","",[605],[16250],[10],1,0.055,0,[],""
1,"MeleeUnarmedPlayer","",[605],[16250],[10],1,0.055,0,[],""
2,"MeleeQuarterstaffPlayer","",[605],[16250],[10],1,0.055,0,[],""
3,"MeleeFlailPlayer","",[605],[16250],[10],1,0.055,0,[],""
4,"Melee1HSwordPlayer","",[605],[16250],[10],1,0.055,0,[],""
5,"MeleeSwordSwordPlayer","",[605],"[16250,9704]","[10,-30]",1,0.055,0,[],""
6,"Melee2HSwordPlayer","",[605],[16250],[10],1,0.055,0,[],""
7,"Melee1HAxePlayer","",[605],[16250],[10],1,0.055,0,[],""
8,"MeleeAxeAxePlayer","",[605],"[16250,9704]","[10,-30]",1,0.055,0,[],""
9,"Melee2HAxePlayer","",[605],[16250],[10],1,0.055,0,[],""
10,"Melee1HMacePlayer","",[605],[16250],[10],1,0.055,0,[],""
11,"MeleeMaceMacePlayer","","[605,1117]","[16250,9704]","[10,-30]",1,0.055,0,[],""
12,"Melee2HMacePlayer","",[605],[16250],[10],1,0.055,0,[],""
13,"MeleeClawPlayer","",[605],[16250],[10],1,0.055,0,[],""
14,"MeleeClawClawPlayer","",[605],"[16250,9704]","[10,-30]",1,0.055,0,[],""
15,"MeleeDaggerPlayer","",[605],[16250],[10],1,0.055,0,[],""
16,"MeleeDaggerDaggerPlayer","",[605],"[16250,9704]","[10,-30]",1,0.055,0,[],""
17,"MeleeSpearPlayer","",[605],"[16250,1228]","[15,4]",1,0.055,0,[],""
18,"MeleeSpearOffHandPlayer","",[605],[16250],[15],1,0.055,0,[],""
19,"MeleeBowPlayer","","[488,4430,6491,10057,854,18585,18673,18349]","[18578,18639,20365]","[-70,160,60]",1,0.055,0,[],""
20,"MeleeCrossbowPlayer","","[488,18349,18435,4430,6491,10057,18473,9017,8812,18585]","[18434,18481,18488,18489,18490,18506,18578,18639,20365]","[90,10,2,8,300,0,-70,160,60]",1,0.055,0,[],""
21,"PlaytestAttack",33,[605],[16250],[10],1,0,0,[],""
22,"PlaytestSlam","",[605],"[16250,17728]","[10,25]",1,0,0,[],""
23,"PlaytestSpell",3,"[488,4430,10057,18585,6491,18673]",[],[],1,0,0,[],""
24,"PlaytestSpellExplosion",5,[605],[17728],[7],1,0,0,[],""
25,"FireboltPlayer",3,"[488,4430,10057,18585,6491,18673]","[18578,18639,20365,11456,22463]","[-70,160,60,100,25]",2.8,0.14,0.0068,[],""
26,"FireboltExplosionPlayer",5,"[605,20689]",[17728],[7],1,0.055,0,[],""
27,"CommandCompanionPlayer",85,"[18536,18585,18879]","[18578,18639,20365]","[-70,160,60]",1,0.055,0,[],""
28,"CommandUnloadAmmoPlayer","","[18536,18585,18879,2899]","[18578,18639,20365,18408]","[-70,160,60,7]",1,0.055,0,[],""
29,"IceNovaPlayer",12,"[605,104,18585]","[17959,17958,17960,17728,7975,16699,18578,18639,20365]","[50,-90,20,32,1,100,-70,160,60]",1.46,0.14,0.0068,[],""
30,"LeapSlamPlayer","","[605,9331,1986,19830]","[18477,16612,16250,17520,16616,16635,18428,17728,1896]","[1,650,5,15,500,30,500,25,-30]",0,0.0927,0,[],""
31,"ShieldChargePlayer",38,"[605,9348,1986,21717,22501]","[17728,18258,349,18649,452,18712,18713,18718,18719,18730]","[24,1300,5000,120,80,0,400,10,-20,0]",1.21,0.2735,0,[],""
32,"DetonateDeadPlayer","","[605,18585,22154]","[17728,18578,18639,20365,18873,18951]","[26,-70,160,60,26,400]",6,0.05,0.0025,[],""
33,"RaiseZombiePlayer",79,"[18585,20353]","[447,18419,159,18840,18578,18639,20365,18947,18949,20482,349]","[1,25,10,0,-70,160,80,25,100,30,20000]",0,0.0927,0,[],""
34,"FlickerStrikePlayer","","[1842,1986,17982,605]",[17981],[2],0,0.0927,0,[],""
35,"SparkPlayer","","[488,17914,4430,6491,10057,18585]","[349,17529,11386,18578,18639,20365,21640]","[2000,20,1009,-70,160,60,660]",1.14,0.14,0.0045,[],""
36,"UniqueEarthboundTriggeredSparkPlayer","","[488,17914,4430,6491,10057,18585]","[349,17529,11386,18578,18639,20365,21640,20769]","[2000,20,1009,-70,160,60,660,100]",1.14,0.14,0.0045,[],""
37,"SummonSpectrePlayer",79,"[18410,20353]","[18411,22322,22323,22324]","[12000,100,30,100]",0,0.0927,0,[],""
38,"FrostWallPlayer","","[1986,605,18585]","[498,349,17728,18578,18639,20365,18418]","[150,8000,20,-70,160,60,50]",2.28,0.14,0.0055,[],""
39,"ShockNovaPlayer","","[605,18585,17725]","[18578,18639,20365,17947]","[-70,160,60,100]",1.306,0.14,0.0068,[],""
40,"TemporalChainsPlayer","","[2899,18585]","[18413,18578,18639,20365]","[1500,-70,160,60]",0,0.0927,0,[],""
41,"EnfeeblePlayer","","[2899,18585]","[18413,18578,18639,20365]","[1500,-70,160,60]",0,0.0927,0,[],""
42,"SnipersMarkPlayer","","[2899,18585]","[349,18578,18639,20365,20630]","[8000,-70,160,60,1]",0,0.0927,0,[],""
43,"VulnerabilityPlayer","","[2899,18585]","[18413,18578,18639,20365]","[1500,-70,160,60]",0,0.0927,0,[],""
44,"LightningWarpPlayer","","[1986,605,17954,18585]","[17728,3093,18578,18639,20365]","[40,10000,-70,160,60]",4.09,0.14,0.0082,[],""
45,"ArmourBreakerPlayer","","[104,605,9245]","[1228,16250,9704]","[2,17,40]",1,0.055,0,[],""
46,"FirestormPlayer",80,"[1986,605,18585,2279,22154]","[599,11754,349,17728,17731,18578,18639,20365,21133,22468]","[100,1,6000,10,56,-70,160,60,150,5]",1.1,0.14,0.0068,[],""
47,"FallingThunderPlayer",2,[605],"[1102,16250,18227,17728]","[60,21,120,40]",0.62,0.055,0,[],""
48,"FallingThunderProjectilePlayer",3,"[488,4400,17914,4430,6491,10057,20149,20689]","[6713,1102,17591,19632,17589]","[50,40,3,100,50]",0.62,0.055,0,"[17728,17730]",""
49,"PowerSiphonPlayer","","[17954,18585,1220]","[18578,18639,20365]","[-70,160,60]",1.2,0.14,0.0068,[],""
50,"LightningArrowPlayer",3,"[488,4430,6491,10057,854,18349,18585,18605,18673,22153,22583]","[1102,17728,18578,18639,20365]","[40,24,-70,160,60]",0.67,0.0927,0,[],""
51,"DisciplinePlayer","",[2899],[18969],[1],1,0.0927,0,[],""
52,"ShockwaveTotemPlayer",77,"[860,18958,18665,13539,18668]","[866,868,18701,18707,872]","[12000,80,500,3000,1]",1.21,0.2735,0,[],""
53,"ShockwaveTotemQuakePlayer",43,"[605,9348,1780]","[17728,17731,16593]","[30,60,2]",1,0.055,0,[],""
54,"ShockwaveTotemJaggedQuakePlayer",16,[],[],[],1,0.055,0,[],1
55,"KnifeFlipPlayer","",[488],"[10277,10353,6713,349,169,2475]","[40,1,50,6000,-30,80]",2.1717,0.14,0.0068,[],""
56,"ArcPlayer","","[8812,18585,18673,22279]","[8370,18656,18578,18639,20365]","[35,0,-70,160,60]",2.51,0.14,0.0055,[],""
57,"ArcticArmourPlayer","",[],[],[],2.18,0.14,0.0068,[],""
58,"FlammabilityPlayer","","[2899,18585]","[18413,18578,18639,20365]","[1500,-70,160,60]",1,0.0927,0,[],""
59,"HypothermiaPlayer","","[2899,18585]","[18413,18578,18639,20365]","[1500,-70,160,60]",1,0.0927,0,[],""
60,"ConductivityPlayer","","[2899,18585]","[18413,18578,18639,20365]","[1500,-70,160,60]",1,0.0927,0,[],""
61,"BallLightningPlayer","","[488,605,18585,22154]","[18656,18578,18639,20365,17728,19110]","[750,-70,160,60,18,200]",0.36,0.14,0.0055,[],""
62,"PurityOfFirePlayer","",[2899],[18969],[1],1,0.0927,0,[],""
63,"PurityOfIcePlayer","",[2899],[18969],[1],1,0.0927,0,[],""
64,"PurityOfLightningPlayer","",[2899],[18969],[1],1,0.0927,0,[],""
65,"FlameblastPlayer","","[605,1986,18716,18202,18585]","[1990,7587,12332,17612,18258,18578,18639,20365,20481]","[75,6,10,600,490,-70,160,60,30]",2.3,0.14,0.0082,[],""
66,"BarragePlayer","","[18585,2899,21569,22155]","[349,18961,18624,18625,18578,18639,20365,20486]","[5000,30000,2,1,-70,160,60,50]",1,0.0927,0,[],""
67,"BoneOfferingPlayer",39,"[18585,20353]","[349,3093,18578,18639,20365,18980]","[5000,5000,-70,160,60,1]",1.71,0.055,0,[],""
68,"HeraldOfAshPlayer",39,"[2899,21758]",[17955],[20],1,0.055,0,[],""
69,"HeraldOfAshOnKillPlayer",5,[20353],"[349,17728]","[3000,12]",1,0.055,0,"[17955,2899]",""
70,"HeraldOfIcePlayer",39,"[2899,20353,21053]",[],[],1,0.055,0,[],""
71,"HeraldOfIceOnKillPlayer",5,"[605,1986,3086,1713,1324,696]","[17728,1101]","[16,100]",1,0.055,0,"[2899,20353,21053]",""
72,"HeraldOfThunderPlayer",39,[2899],[],[],1,0.055,0,[],""
73,"HeraldOfThunderOnKillPlayer",28,"[1986,1323,3086,696]","[1102,17728]","[100,14]",1,0.055,0,[2899],""
74,"InfernalCryPlayer","","[11451,18585,20353,22281]","[17964,17965,11183,349,17728,18293,18723,18578,18639,20365]","[25,100,1,8000,40,200,1,-70,160,80]",1,0.055,0,[],""
75,"InfernalCryCorpseExplosionPlayer","","[1986,2260,605,11215,20689,1633]","[17728,18130]","[16,10]",1.41,0.2735,0,[],""
76,"SSMQuadrillaRock","","[2416,892]","[888,2127,4612]","[1022,1,-99]",1,0.0927,0,[],""
77,"MarakethUndeadPriestRollingMagma","","[605,488,12818,4430,6491,18612,18585,18673,1885]","[18578,18639,169,17728,18992,18993,18994,167]","[0,50,150,10,7,25,12,2]",5.25,0.1,0.0175,[],""
78,"RollingMagmaPlayer","","[605,488,12818,4430,6491,18612,18585,18673]","[18578,18639,20365,18992,18993,18994,18995,18996,18997]","[-70,160,60,10,25,6,40,6,50]",2.56,0.14,0.0068,[],""
79,"FrostBombPlayer","","[605,1986,9017,18585]","[17728,349,3093,18385,649,18578,18639,20365]","[20,3000,5000,20,400,-70,160,60]",5.02,0.14,0.0075,[],""
80,"OrbOfStormsPlayer","","[1713,13183,8812,18585]","[8370,17728,17731,18807,18578,18639,20365,18924,18860,349]","[35,56,28,1,-70,160,80,25,75,10000]",1.09,0.14,0.0075,[],""
81,"EarthquakePlayer",4,"[605,14001,20772,22280]","[18629,18630,17728,17734,16250,1896]","[4000,100,18,22,10,-30]",1.5,0.0927,0,[],""
82,"EarthquakeAftershockPlayer",18,[20689],[17728],[16],1,0.055,0,[18629],1
83,"ContagionPlayer","","[3546,18585,22264]","[349,17728,18596,18920,18578,18639,20365,19611]","[5000,17,100,300,-70,160,60,10000]",1.8,0.18,0.0092,[],""
84,"WitherPlayer","",[18585],"[3317,18578,18639,20365]","[6,-70,160,60]",1,0.055,0,[],""
85,"EssenceDrainPlayer",3,"[488,4430,10057,5637,18585,8812,18673,22028]","[18578,18639,20365,19611]","[-70,160,60,10000]",1.7,0.14,0.0068,[],""
86,"EssenceDrainDotPlayer",10,"[3546,20689]",[349],[4000],8.5,0.18,0.0092,"[1470,1471]",""
87,"SunderPlayer",15,"[605,18248,1986,19830]","[18477,11571,11572,11594,16612,5563,16250,17524,95,17728,1896]","[1,2,5,5,900,0,11,24,100,9,-30]",1,0.0927,0,[],""
88,"SunderShockwavePlayer",24,[20689],[17731],[12],1,0.055,0,"[8126,17728,11571,11572,16612]",1
89,"DarkPactPlayer","","[605,5974,18585]","[4431,5070,18578,18639,20365]","[13,100,-70,160,60]",0.57,0.14,0.0068,[],""
90,"SummonSkeletalWarriorsPlayer",79,"[18410,20353]","[447,18411,22092,22145]","[2,12000,2,2]",0,0.0927,0,[],""
91,"SummonSkeletalReaversPlayer",79,"[18410,20353]","[447,18411]","[2,12000]",0,0.0927,0,[],""
92,"SummonSkeletalBrutesPlayer",79,"[18410,20353]","[447,18411]","[2,12000]",1,0.055,0,[],""
93,"SummonSkeletalSnipersPlayer",79,"[18410,20353]","[447,18411]","[2,12000]",1,0.055,0,[],""
94,"SummonSkeletalFrostMagesPlayer",79,"[18410,20353]","[447,18411]","[2,12000]",1,0.055,0,[],""
95,"SummonSkeletalStormMagesPlayer",79,"[18410,20353]","[447,18411]","[2,12000]",1,0.055,0,[],""
96,"SummonSkeletalArsonistsPlayer",79,"[18410,20353]","[447,18411]","[2,12000]",1,0.055,0,[],""
97,"SummonSkeletalClericsPlayer",79,"[18410,20353]","[447,18411]","[2,12000]",1,0.055,0,[],""
98,"VolatileDeadPlayer","","[605,1986,18585]","[6157,17728,18578,18639,20365]","[1,14,-70,160,60]",3.75,0.14,0.0082,[],""
99,"DespairPlayer","","[2899,18585]","[18413,18578,18639,20365]","[1500,-70,160,60]",1,0.0927,0,[],""
100,"IncineratePlayer","","[605,18585,18716,18202,1986]","[19099,17728,349,19102,19103,18258,18578,18639,20365,14410,18483,20554,21134]","[20,46,2000,50,8,600,-70,160,60,-25,360,40,-98]",3.15,0.14,0.0082,[],""
101,"IncinerateGroundPlayer",76,[20689],"[349,17731]","[4000,8]",1,0.055,0,"[349,14410]",""
102,"RainOfArrowsPlayer","","[488,854,18349,18585,605,20790]","[17728,17731,19831,18610,18578,18639,20365,21004,21006,21133,19191]","[36,7,100,50,-70,160,60,1,80,120,1]",0,0.0927,0,[],""
103,"SoulrendPlayer",3,"[488,4400,18585]","[6713,18578,18639,20365]","[25,-70,160,60]",1.44,0.14,0.0068,[],""
104,"SoulrendDotPlayer",10,"[3546,20689]","[349,19611]","[600,600]",1.44,0.14,0.0082,"[488,4400,1470,1471]",""
105,"PlagueBearerPlayer","",[2899],[9412],[4],1,0.055,0,[],""
106,"ArtilleryBallistaPlayer",71,"[18958,860,9919,18585,13539,2899,18665,18667]","[868,866,18701,18707,18704,872,18578,18639,20365]","[80,16000,500,2500,90,1,-70,160,60]",1.86,0.2735,0,[],""
107,"ArtilleryBallistaProjectilePlayer",70,"[488,605,20930,1780,21911]","[18434,18388,18392,17731,17734,18429,16593,3108,1100,316]","[90,3,800,5,45,70,1,16,60,90]",1,0.055,0,[],""
108,"ArtilleryBallistaProjectileExplodePlayer",5,[1780],"[17731,1100]","[13,40]",1,0.055,0,[],1
109,"SnipePlayer",29,"[488,4430,6491,10057,854,18349,18203,18717,17998]","[18483,16420,18715,18161,18258,95,20512,20668]","[120,2,300,16,300,200,2500,133]",1,0.0927,0,[],""
110,"SnipeExplosionPlayer",5,"[605,340,20689]",[17728],[15],1,0.0927,0,"[18258,18161]",""
111,"SeismicCryPlayer","","[104,9017,11479,13203,605,1633,18324,18585]","[11183,11228,18427,17728,18322,18323,18321,18723,18578,18639,20365]","[1,2,400,40,30,1,5,1,-70,160,60]",2.1,0.14,0.0082,[],""
112,"EarthshatterPlayer",43,"[605,22282]","[349,11591,17728,9704]","[6000,6,10,-30]",1,0.055,0,[],""
113,"SigilOfPowerPlayer","","[12547,18585]","[11713,19416,11712,18578,18639,20365,17728]","[4,1,50,-70,160,60,30]",0.163,0.055,0,[],""
114,"FlameWallPlayer",58,"[605,18585]","[11817,15383,18578,18639,20365,21134]","[3,1,-70,160,60,-92]",3,0.14,0.0082,[],""
115,"FlameWallProjectileBuffPlayer",120,[20689],[],[],0.6,0.14,0.0018,"[349,1464,1465]",""
116,"FlameWallLingeringIgnitePlayer",0,[20689],[],[],1,0.055,0,"[12360,349,21015,21016]",""
117,"DoomBlastPlayer","","[11748,605]","[19013,17728]","[15,20]",1.72,0.14,0.0068,[],""
118,"HexblastPlayer","","[605,18585,22478]","[18593,17728,17731,18578,18639,20365]","[3,20,28,-70,160,60]",7.8,0.14,0.0082,[],""
119,"AncestralWarriorTotemPlayer","","[10087,860,18958,18641,18665,20353,18666,21727]","[866,868,18643,18701,18707,18704,872]","[8000,60,600,500,1000,13,1]",1.86,0.2735,0,[],""
120,"SupportAncestralWarriorTotemPlayer","",[1780],[16593],[2],1,0.055,0,[],""
121,"SummonMetaTotemSpellTotemPlayer","","[10087,860,18958]","[866,868]","[8000,80]",1,0.0927,0,[],""
122,"SupportMetaTotemSpellTotemPlayer","",[1780],[16593],[2],1,0.055,0,[],""
123,"SummonMetaTotemBallistaPlayer","","[10087,9919,18958]","[866,868,872]","[12000,80,1]",1,0.0927,0,[],""
124,"SupportMetaTotemBallistaPlayer","",[],[16593],[2],1,0.055,0,[],""
125,"RapidAssaultPlayer",33,"[9245,605]","[1228,13145,16250]","[6,-60,13]",1,0.055,0,[],""
126,"RapidAssaultFinalHitPlayer",9,"[20689,104]","[1228,21903,349,19034]","[6,5,10000,100]",1,0.055,0,[],1
127,"RapidAssaultDetonation",5,[20689],[17728],[20],1,0.055,0,[1228],1
128,"BloodHuntPlayer",86,"[9245,605,2634,21714]","[17939,16612,16250,21751]","[50,150,15,1]",1,0.0927,0,[],""
129,"BloodHuntExplosionPlayer",5,"[20689,22154]","[17728,21752,18172]","[13,10,25]",1,0.055,0,"[17939,18151,16612,16250,21751]",1
130,"DisengagePlayer",8,"[605,21634]","[7872,17524,1228,16612,22277,21609]","[50,-8,25,200,40,1]",1,0.0927,0,[],""
131,"ExsanguinatePlayer",119,"[13485,18585]","[166,18578,18639,20365,13170]","[2,-70,160,60,3]",0.81,0.14,0.0068,[],""
132,"ExsanguinateDotPlayer",10,"[3546,20689]","[349,19611]","[1000,2000]",0.81,0.18,0.0092,"[166,13170,1462,1463,13485]",""
133,"ReapPlayer","","[605,18585]","[349,18578,18639,20365]","[1000,-70,160,60]",2.65,0.14,0.0068,[],""
134,"BoneshatterPlayer",8,"[18675,18676]","[1228,16250,18427,1896]","[2,17,-100,-30]",0.1828,0.0927,0,[],""
135,"BoneshatterShockwavePlayer",24,"[605,20689]",[17728],[20],0.1828,0.0927,0,"[18427,1228,18676]",1
136,"EyeOfWinterPlayer","","[488,13726,18585]","[13727,13857,19112,18578,18639,20365]","[8,100,75,-70,160,60]",0.19,0.14,0.0068,[],""
137,"WhirlingSlashPlayer",2,"[605,18292,104]","[17959,17958,17960,16250]","[50,-90,15,26]",1,0.055,0,[],""
