"rownum","rid","[rid]","[rid]","[rid]","[rid]","i32","[rid]"
0,17430,[],[],[1960],[],3,[]
1,9400,[],[],[1143],[],3,[]
2,9399,[],[],[1142],[],3,[]
3,3986,[],[],[574],[],3,[]
4,4024,[],[],[576],[],3,[]
5,12594,[],[],[1457],[],3,[]
6,10184,[],[],[871],[],3,[]
7,17030,[2551],[],[],[],3,[]
8,17494,[],[],[],"[563,564]",3,[]
9,17652,[3547],[],[],[],3,[]
10,17834,[],[],[1983],[],3,[]
11,18587,[8203],[],[],[],3,[]
12,18909,[],[],[],[],3,[171]
13,20071,[8756],[],[],[],3,[]
14,20338,[8794],[],[],[],3,[]
15,20627,[],[],[2247],[],3,[]
16,20766,[8795],[],[],[],3,[]
17,12726,[],[],[1478],[],3,[]
18,21950,[],[],[],"[1011,1012]",3,[]
19,22498,[9287],[],[],[],3,[]
