"rownum","BaseItemType","Scaling","Name"
0,1037,0.85,"Bazira"
1,1038,0.85,"Tsvet Matvei"
2,1039,0.85,"Bazira"
3,1040,0.85,"Count Geonor"
4,1041,0.85,"The Crimson Scribe"
5,1042,0.85,"The Midnight Tinkerer"
6,1043,0.85,"Aline Koltz"
7,1044,0.85,"Tsvet Matvei"
8,1045,0.85,"Administrator Qotra"
9,1046,0.85,"Count Geonor"
10,1047,0.85,"Nishem"
11,1048,0.85,"Aline Koltz"
12,1049,0.85,"Count Geonor"
13,1050,0.85,"Marcine Clavus"
14,1051,0.85,"Marcine Clavus"
15,1052,0.85,"Marcine Clavus"
16,1053,0.85,"Marcine Clavus"
17,1054,0.85,"Marcine Clavus"
18,1055,1.2,"Selwyn Eddard"
19,1056,1.2,"Kondor Larcius"
20,1057,1.2,"Grond Ironeye"
21,1058,1.2,"Bazira"
22,1059,1.2,"Bazira"
23,1060,1.2,"Kondor Larcius"
24,1061,1.2,"The Crimson Scribe"
25,1062,1.2,"Administrator Qotra"
26,1063,1.2,"Administrator Qotra"
27,1064,1.2,"The Crimson Scribe"
28,1065,1.2,"Remus Hestor"
29,1066,1.2,"Nishem"
30,1067,1.2,"The Crimson Scribe"
31,1068,1.2,"Anton Laffrey"
32,1069,1.5,"Tsvet Matvei"
33,1070,1.5,"Kondor Larcius"
34,1071,1.5,"The Midnight Tinkerer"
35,1072,1.5,"Bazira"
36,1073,1.5,"Kondor Larcius"
37,1074,1.5,"The Crimson Scribe"
38,1075,3,"Administrator Qotra"
39,1076,3,"Cardinal Uthelius"
40,1077,3,"Castor Pollinius III"
41,1078,0.3,""
42,1079,0.3,""
43,1080,0.3,""
44,1081,0.3,""
45,1082,0.3,""
46,1083,0.3,""
47,1084,0,"Karst"
48,1085,0,"Karst"
49,1086,0,"Karst"
50,1087,0,"Tibbs"
51,1088,0,"Tibbs"
52,1089,0,"Huck"
53,1090,0,"Huck"
54,1091,0,"Vinderi"
55,1092,0,"Vinderi"
56,1093,0,"Gianna"
57,1094,0,"Gianna"
58,1095,0,"Tullina"
59,1096,0,"Tullina"
60,1097,0,"Niles"
61,1098,0,"Niles"
62,1099,0,"Nenet"
63,1100,0,"Nenet"
64,1101,0,"Isla"
65,1102,0,"Isla"
66,1103,0,"Isla"
67,1104,0,"Adiyah"
68,1105,0,"Adiyah"
69,1106,0,"Adiyah"
70,1107,0,"Whakano"
71,1108,0,"Whakano"
72,1109,0,"Whakano"
73,1110,0,"Faustus"
74,1112,0,"Faustus"
75,1113,0,"Faustus"
76,1114,0,"Kurai"
77,1115,0,"Kurai"
78,1116,0,"Kurai"
79,1117,0,"Kurai"
