"rownum","string","rid","bool","bool"
0,"PickUpToCursor",2834,"",""
1,"PlaceFromCursor",2883,"",""
2,"Equip",2874,"",1
3,"UnEquip",2876,"",1
4,"Identify",2888,"",1
5,"Use",2868,"",1
6,"StartApplyMode",2868,"",1
7,"ApplyOnItem",7272,"",1
8,"EndApplyMode",7207,"",""
9,"Unstack",2871,"",""
10,"MoveToStash",2869,"",1
11,"TakeNPCItem",2870,"",1
12,"Buy",2884,"",1
13,"Sell",2885,"",""
14,"Discard",2873,"",""
15,"CorruptItem",6780,"",1
16,"CorruptGem",6780,"",1
17,"ApplyToWorldObject",2840,"",1
18,"QuickMove",2891,"",""
19,"ReturnCursorHeldItem",7208,"",""
20,"BindToActionBar",2847,"",""
21,"EquipReplace",7217,"",""
22,"ReclaimSellItem",3126,"",""
23,"SocketSkillGem",2878,"",1
24,"LevelSkillGem",7238,"",""
25,"CraftUncutSkillGem",7267,"",1
26,"CraftUncutSupportGem",7268,"",1
27,"ChangeShownWeaponSet",7271,"",""
28,"ApplyOnItemOnce",2840,"",1
29,"RitualDeferItem",5636,"",1
30,"Disenchant",1182,"",1
31,"ShowUseItemFailedError",1,1,""
32,"CraftUncutReservationGem",7267,"",1
33,"TransferToOtherCouchCoopPlayer",7495,"",""
34,"OfferInTrade",4059,"",""
35,"LinkItemToChat",5158,"",""
36,"ShowQuest",7589,"",1
37,"QuickMoveActionButton",2891,"",1
38,"SalvageItem",7892,"",1
39,"OpenItemNoteEditor",3644,"",1
40,"PlaceJewelInEquipment",8367,"",""
41,"PickUpJewelFromEquipment",2834,"",""
42,"ManageEquipmentSockets",2877,"",""
43,"EndManageEquipmentSockets",111,"",""
44,"PlaceSingleFromCursor",8386,"",""
45,"CancelApplyMode",7207,"",""
46,"ViewTrialProgress",8390,"",""
47,"ApplyApplicableMTX",2840,"",1
48,"ReclaimItemSkin",5153,"",1
49,"PropagateEquipment",8469,"",""
