"rownum","Id","Name","Description","Icon","NextUpgradeOptions","i32","Tier","Radius","i32","SpendResourceAchievement","StatsKey","StatsKeys","StatsKeys2","bool"
0,"EmptyNode","Tower Foundation","A powered base for one of Cassia's towers.","Art/2DArt/UIImages/InGame/Placeholder/temp_league_prototype_placeholder","[1,6,11,16,21,26]",1487001455,"",0,-1,"","",[],[],""
1,"ChillingTower1","Chilling Tower Mk I","Damage: Low\r\nChills and Damages nearby enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold",[2],-1090896293,"I",35,3,"",9810,"[9809,9811,9812,11521,16877]","[24,3435,193,11526,16876]",""
2,"ChillingTower2","Chilling Tower Mk II","Increased Damage\r\nIncreased effect of Chill\r\nAffects more Targets","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold",[3],1371628040,"II",35,3,"",9810,"[9809,9811,9812,11521,16877]","[24,3435,193,11526,16876]",""
3,"ChillingTower3","Chilling Tower Mk III","Increased Damage\r\nIncreased effect of Chill\r\nAffects more targets","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold","[4,5]",-48389433,"III",35,3,"",9810,"[9809,9811,9812,11521,16877]","[24,3435,193,11526,16876]",""
4,"FreezingTower","Freezebolt Tower","Damage: Very High\r\nShoots a Piercing projectile which Freezes enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFreezing",[],-632665268,"IV",75,4,"",9814,"[9813,9815,9816,11511,11521,16877]","[24,9815,167,8223,11526,16876]",""
5,"IcePrisonTower","Glacial Cage Tower","Deals no Damage\r\nImprisons Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconIcePrison",[],1141601187,"IV",60,5,"",9818,"[9817,9819,9820,11512,11521,16877]","[209,9819,3239,423,11526,16876]",""
6,"ShockingTower1","Shock Nova Tower Mk I","Damage: Low\r\nCreates Shocked Ground\r\nCasts Shock Nova\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning",[7],1459477666,"I",20,6,"",9800,"[9801,9821,9822,9823,9824,11521,16877]","[24,9821,3436,9892,2234,11526,16876]",1
7,"ShockingTower2","Shock Nova Tower Mk II","Increased Damage\r\nIncreased chance to Shock\r\nIncreased Area of Effect","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning",[8],1368253867,"II",25,6,"",9800,"[9801,9821,9822,9823,9824,11521,16877]","[24,9821,3436,9892,2234,11526,16876]",1
8,"ShockingTower3","Shock Nova Tower Mk III","Increased Damage\r\nIncreased chance to Shock\r\nIncreased Area of Effect","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning","[9,10]",94056515,"III",30,6,"",9800,"[9801,9821,9822,9823,9824,11521,16877]","[24,9821,3436,9892,2234,11526,16876]",1
9,"LightningStormTower","Lightning Storm Tower","Damage: High\r\nLightning rapidly strikes around the Tower\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightningStorm",[],1277124932,"IV",45,7,"",9826,"[9825,9885,9828,11513,11521,16877]","[24,9827,206,11513,11526,16876]",1
