"rownum","Id","Function","Arguments","TextAudio","i32","i32","rid","i32","i32"
0,0,"reroll_affixes_highest_of_X","prefix count 1",1,0,150,0,0,1
1,1,"reroll_affixes_highest_of_X","suffix count 1",2,0,234,0,0,2
2,2,"reroll_mods_lucky","prefix suffix single ignore_max count 1",12,0,446,0,0,3
3,3,"reroll_mods_lucky","prefix ignore_max count 1",13,0,574,0,0,4
4,4,"reroll_mods_lucky","suffix ignore_max count 1",14,0,702,0,0,5
5,5,"add_mod_to_rare_highest_of_X","prefix 1",4,0,830,0,0,10
6,6,"add_mod_to_rare_highest_of_X","suffix 1",5,0,898,0,0,11
7,7,"remove_X_lowest_level_mods","1",6,0,1076,0,0,9
8,8,"remove_affixes_of_type","prefix",15,0,1200,0,0,21
9,9,"remove_affixes_of_type","suffix",16,0,1276,0,0,22
10,10,"upgrade_X_mods_to_max_tier","1 only_one_tier",17,0,1454,0,0,8
11,11,"fill_mods_on_rare","",9,0,1560,0,0,12
12,12,"add_mod_to_magic_making_rare","1",18,0,1682,0,0,10
13,13,"reroll_affixes_highest_of_X","prefix count 1",1,0,1682,0,0,1
14,14,"reroll_affixes_highest_of_X","suffix count 1",2,0,1682,0,0,2
15,15,"reroll_mods_lucky","prefix suffix single ignore_max count 1",12,0,1682,0,0,3
16,16,"reroll_mods_lucky","prefix ignore_max count 1",13,0,1682,0,0,4
17,17,"reroll_mods_lucky","suffix ignore_max count 1",14,0,1682,0,0,5
18,18,"add_mod_to_rare_highest_of_X","prefix 1",4,0,1682,0,0,10
19,19,"add_mod_to_rare_highest_of_X","suffix 1",5,0,1682,0,0,11
20,20,"remove_X_lowest_level_mods","1",6,0,1682,0,0,9
21,21,"remove_affixes_of_type","prefix",15,0,1682,0,0,21
22,22,"remove_affixes_of_type","suffix",16,0,1682,0,0,22
23,23,"upgrade_X_mods_to_max_tier","1 only_one_tier",8,0,1682,0,0,8
24,24,"fill_mods_on_rare","",9,0,1682,0,0,12
25,25,"add_mod_to_magic_making_rare","1",18,0,1682,0,0,10
26,26,"reroll_affixes_highest_of_X","prefix count 1",1,0,1682,0,0,1
27,27,"reroll_affixes_highest_of_X","suffix count 1",2,0,1682,0,0,2
28,28,"reroll_mods_lucky","prefix suffix single ignore_max count 1",12,0,1682,0,0,3
29,29,"reroll_mods_lucky","prefix ignore_max count 1",13,0,1682,0,0,4
30,30,"reroll_mods_lucky","suffix ignore_max count 1",14,0,1682,0,0,5
31,31,"add_mod_to_rare_highest_of_X","prefix 1",4,0,1682,0,0,10
32,32,"add_mod_to_rare_highest_of_X","suffix 1",5,0,1682,0,0,11
33,33,"remove_X_lowest_level_mods","1",6,0,1682,0,0,9
34,34,"remove_affixes_of_type","prefix",15,0,1682,0,0,21
35,35,"remove_affixes_of_type","suffix",16,0,1682,0,0,22
36,36,"upgrade_X_mods_to_max_tier","1 only_one_tier",17,0,1682,0,0,8
37,37,"fill_mods_on_rare","",9,0,1682,0,0,12
38,38,"add_mod_to_magic_making_rare","1",18,0,1682,0,0,10
