"rownum","rid","i32","[rid]"
0,97,1,[354]
1,376,1,[354]
2,98,1,[355]
3,377,1,[355]
4,99,1,[356]
5,378,1,[356]
6,94,1,"[360,361,362,363,364,365,366]"
7,373,1,"[360,361,362,363,364,365,366]"
8,95,1,[367]
9,374,1,[367]
10,93,1,[359]
11,372,1,[359]
12,100,1,[357]
13,379,1,[357]
14,101,1,[358]
15,380,1,[358]
16,103,1,[370]
17,382,1,[370]
18,203,2,[558]
19,482,2,[558]
20,204,2,[559]
21,483,2,[559]
22,207,2,[560]
23,486,2,[560]
24,212,2,[561]
25,491,2,[561]
26,219,2,[562]
27,498,2,[562]
28,225,2,[563]
29,504,2,[563]
30,232,2,[564]
31,511,2,[564]
32,242,2,[565]
33,521,2,[565]
34,250,2,[566]
35,529,2,[566]
36,195,2,[567]
37,474,2,[567]
