"rownum","Id","XOffset","YOffset","FirstSlotIndex","Width","Height","bool","Tab","SlotSize","HideIfEmpty","Subtab","StoredItems","bool","string","i32"
0,"Metadata/Items/MapFragments/CurrencyVaalFragment1_1",220,74,0,1,1,"",0,70,"",0,[596],"","",0
1,"Metadata/Items/MapFragments/CurrencyVaalFragment1_2",220,169,1,1,1,"",0,70,"",0,[597],"","",0
2,"Metadata/Items/MapFragments/CurrencyVaalFragment1_3",122,169,2,1,1,"",0,70,"",0,[598],"","",0
3,"Metadata/Items/MapFragments/CurrencyVaalFragment1_4",122,74,3,1,1,"",0,70,"",0,[599],"","",0
4,"Metadata/Items/MapFragments/CurrencyVaalFragment2_1",744,74,4,1,1,"",0,70,"",0,[601],"","",0
5,"Metadata/Items/MapFragments/CurrencyVaalFragment2_2",744,169,5,1,1,"",0,70,"",0,[602],"","",0
6,"Metadata/Items/MapFragments/CurrencyVaalFragment2_3",647,169,6,1,1,"",0,70,"",0,[603],"","",0
7,"Metadata/Items/MapFragments/CurrencyVaalFragment2_4",647,74,7,1,1,"",0,70,"",0,[604],"","",0
8,"Metadata/Items/MapFragments/CurrencyProphecyFragment1",482,74,8,1,1,"",0,70,1,0,[606],"","",0
9,"Metadata/Items/MapFragments/CurrencyProphecyFragment2",482,169,9,1,1,"",0,70,1,0,[607],"","",0
10,"Metadata/Items/MapFragments/CurrencyProphecyFragment3",385,169,10,1,1,"",0,70,1,0,[608],"","",0
11,"Metadata/Items/MapFragments/CurrencyProphecyFragment4",385,74,11,1,1,"",0,70,1,0,[609],"","",0
12,"Metadata/Items/MapFragments/CurrencyShaperFragment1",482,697,12,1,1,"",0,70,"",0,[611],"","",0
13,"Metadata/Items/MapFragments/CurrencyShaperFragment2",482,791,13,1,1,"",0,70,"",0,[612],"","",0
14,"Metadata/Items/MapFragments/CurrencyShaperFragment3",385,791,14,1,1,"",0,70,"",0,[613],"","",0
15,"Metadata/Items/MapFragments/CurrencyShaperFragment4",385,697,15,1,1,"",0,70,"",0,[614],"","",0
16,"Metadata/Items/MapFragments/CurrencyFragmentPantheonFlask",122,584,16,1,1,"",0,70,"",0,[631],"","",0
17,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire",228,315,17,1,1,"",1,74,"",0,[633],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsFireInvSlots",10
18,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold",329,315,18,1,1,"",1,74,"",0,[634],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsColdInvSlots",11
19,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning",430,315,19,1,1,"",1,74,"",0,[635],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsLightningInvSlots",12
20,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical",532,315,20,1,1,"",1,74,"",0,[636],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsPhysicalInvSlots",13
21,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos",633,315,21,1,1,"",1,74,"",0,[637],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsChaosInvSlots",14
22,"Metadata/Items/Currency/CurrencyBreachFireShard",228,197,22,1,1,1,1,74,"",0,[94],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardFireInvSlots",5
23,"Metadata/Items/Currency/CurrencyBreachColdShard",329,197,23,1,1,1,1,74,"",0,[95],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardColdInvSlots",6
24,"Metadata/Items/Currency/CurrencyBreachLightningShard",430,197,24,1,1,1,1,74,"",0,[96],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardLightningInvSlots",7
25,"Metadata/Items/Currency/CurrencyBreachPhysicalShard",532,197,25,1,1,1,1,74,"",0,[97],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardPhysicalInvSlots",8
26,"Metadata/Items/Currency/CurrencyBreachChaosShard",633,197,26,1,1,1,1,74,"",0,[98],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardChaosInvSlots",9
27,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddess",247,584,27,1,1,"",0,70,"",0,[669],"","",0
28,"Metadata/Items/Scarabs/ScarabBreach1",491,677,28,1,1,"",2,75,"",0,[803],"","",0
29,"Metadata/Items/Scarabs/ScarabBreach2",592,677,29,1,1,"",2,75,"",0,[804],"","",0
30,"Metadata/Items/Scarabs/ScarabBreach3",693,677,30,1,1,"",2,75,"",0,[805],"","",0
31,"Metadata/Items/Scarabs/ScarabMaps1",491,287,31,1,1,"",2,75,"",0,[807],"","",0
32,"Metadata/Items/Scarabs/ScarabMaps2",592,287,32,1,1,"",2,75,"",0,[808],"","",0
33,"Metadata/Items/Scarabs/ScarabMaps3",693,287,33,1,1,"",2,75,"",0,[809],"","",0
34,"Metadata/Items/Scarabs/ScarabUniques1",68,186,34,1,1,"",2,75,"",0,[811],"","",0
35,"Metadata/Items/Scarabs/ScarabUniques2",169,186,35,1,1,"",2,75,"",0,[812],"","",0
36,"Metadata/Items/Scarabs/ScarabUniques3",270,186,36,1,1,"",2,75,"",0,[813],"","",0
37,"Metadata/Items/Scarabs/ScarabBeasts1",68,89,37,1,1,"",2,75,"",0,[815],"","",0
38,"Metadata/Items/Scarabs/ScarabBeasts2",169,89,38,1,1,"",2,75,"",0,[816],"","",0
39,"Metadata/Items/Scarabs/ScarabBeasts3",270,89,39,1,1,"",2,75,"",0,[817],"","",0
40,"Metadata/Items/Scarabs/ScarabShaperRares1",491,89,40,1,1,"",2,75,"",0,[823],"","",0
41,"Metadata/Items/Scarabs/ScarabShaperRares2",592,89,41,1,1,"",2,75,"",0,[824],"","",0
